created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,possibly_sensitive,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status.user.entities.url.urls
Wed Mar 08 03:05:17 +0000 2023,1633302840079945728,1633302840079945728,"@sushiniesta Real
Varca
Bayern 
Milan
Liverpool 
United 
Juve
Inter 
Chelsea 
Arsenal",False,"[13, 85]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.632818489340711e+18,1632818489340710912,1.5477872981247058e+18,1547787298124705792,sushiniesta,,,,,False,0,0,False,False,en,en,recent,1555172104567279621,1555172104567279621,Saatvik,saatvikculer,,"Anulo Mufa, average Xavier ball enjoyer",,[],False,31,310,0,Thu Aug 04 12:41:54 +0000 2022,11171,,,False,False,1521,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1613197382883344388/oUddqtK4_normal.jpg,https://pbs.twimg.com/profile_images/1613197382883344388/oUddqtK4_normal.jpg,https://pbs.twimg.com/profile_banners/1555172104567279621/1671794766,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:55:19 +0000 2023,1633300333387456514,1633300333387456514,"@sushiniesta Real madrid
Bayern
Milan
Liverpool
Inter
Juve/man united
Chelsea 
Arsenal",False,"[13, 86]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.632818489340711e+18,1632818489340710912,1.5477872981247058e+18,1547787298124705792,sushiniesta,,,,,False,0,0,False,False,en,en,recent,1481779857583448069,1481779857583448069,@SportsNautas,SportsNautas,LATAM,El Futbol es mas que un deporte,,[],False,26,214,8,Fri Jan 14 00:07:20 +0000 2022,267,,,False,False,2028,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630699177364668417/7ckNQIpA_normal.jpg,https://pbs.twimg.com/profile_images/1630699177364668417/7ckNQIpA_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:45:57 +0000 2023,1633297977673666560,1633297977673666560,"Messi loves to score against big teams.

His top 6 favorite victims are La Liga's all time top 6 (beside Barca) + 46 goals vs teams with a Badge of Honour (Madrid, Milan, Bayern, Liverpool, Ajax).

Statpad against minnows like Xerez, Rubin Kazan, or Inter wont satisfy the GOAT. https://t.co/ebvQ6p3zY3",False,"[0, 278]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,22242869,22242869,Pac,radhitarega,,"berŕac, scheque, bønť",,[],False,707,1126,3,Sat Feb 28 09:22:08 +0000 2009,33544,,,False,False,68762,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1266703837693308929/iM2eTp5x_normal.jpg,https://pbs.twimg.com/profile_images/1266703837693308929/iM2eTp5x_normal.jpg,https://pbs.twimg.com/profile_banners/22242869/1604396601,009999,FFFFFF,EFEFEF,333333,True,True,False,False,False,False,False,none,[],1.6332420340928758e+18,1633242034092875779,False,Tue Mar 07 23:03:39 +0000 2023,1.6332420340928758e+18,1633242034092875779,Try to spot Inter! (Hint: It isn’t possible!) https://t.co/NNMBcXUSfB,False,"[0, 45]",en,recent,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,1.0505075397067612e+18,1050507539706761218,Haunt,HakanReformed,,@Inter @Azzurri // Calhanoglu’s #1 Defender // Talent Scout // Block me to admit defeat 🤣// Inzaghi Enjoyer // Dumfries Enthusiast,,[],False,1094.0,375.0,13.0,Thu Oct 11 22:04:49 +0000 2018,44425.0,,,False,False,8121.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627836844481150977/9Edyv8AV_normal.jpg,https://pbs.twimg.com/profile_images/1627836844481150977/9Edyv8AV_normal.jpg,https://pbs.twimg.com/profile_banners/1050507539706761218/1674130830,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,10.0,62.0,False,False,False,en,,,,,,,,,,,,,
Wed Mar 08 02:37:07 +0000 2023,1633295754512175104,1633295754512175104,@BBrownCFCVT Inter Milan or Real Madrid. Maybe ppl will disagree with me but this Real Madrid from last year is different atm. Inter Milan is also easy. Getting either of these two will get the big gun out of the way first rather than facing Benfica first.,False,"[13, 256]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332948307710976e+18,1633294830771097600,490066571.0,490066571,BBrownCFCVT,,,,,False,0,1,False,False,en,en,recent,939300793957650432,939300793957650432,CFC Flash ⚡,BlueFlash_CFC,USA,"Chelsea FC | Reece James, Silva, , Mudryk, Felix, & Badiashile 💪",,[],False,63,121,0,Sat Dec 09 01:08:55 +0000 2017,3305,,,False,False,734,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1619597595948552192/tyNR2DTe_normal.jpg,https://pbs.twimg.com/profile_images/1619597595948552192/tyNR2DTe_normal.jpg,https://pbs.twimg.com/profile_banners/939300793957650432/1611334480,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:35:00 +0000 2023,1633295222154342400,1633295222154342400,"1. madrid
2. barca
3. bayern
4. united
5. liverpool
6. ac milan
7.  juve
8. chelsea
9. inter
10. arsenal

psg out of top 100 https://t.co/QWoH7R6XJT",False,"[0, 124]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1567837828993945600,1567837828993945600,jdntee,jdntee10,,,,[],False,494,721,1,Thu Sep 08 11:31:01 +0000 2022,9974,,,False,False,4612,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1624271813193904128/E5UpBp3L_normal.jpg,https://pbs.twimg.com/profile_images/1624271813193904128/E5UpBp3L_normal.jpg,https://pbs.twimg.com/profile_banners/1567837828993945600/1672404569,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.632818489340711e+18,1632818489340710912,False,Mon Mar 06 19:00:38 +0000 2023,1.632818489340711e+18,1632818489340710912,Rank these clubs from biggest to smallest https://t.co/jFzAijsL5F,False,"[0, 41]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.5477872981247058e+18,1547787298124705792,Hamood,sushiniesta,,@visselkobe | parody account,,[],False,2889.0,492.0,8.0,Fri Jul 15 03:37:15 +0000 2022,8950.0,,,False,False,3846.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630674952226570242/ITIX3I-S_normal.jpg,https://pbs.twimg.com/profile_images/1630674952226570242/ITIX3I-S_normal.jpg,https://pbs.twimg.com/profile_banners/1547787298124705792/1677609977,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,17.0,466.0,False,False,False,en,,,,,,,,,,,,,
Wed Mar 08 02:31:04 +0000 2023,1633294231027736576,1633294231027736576,"So,  Transfer Talk: Barcelona, Inter Milan in line for Liverpool's Firmino https://t.co/2o887j6hLx https://t.co/Mr7E0ucco6",False,"[0, 98]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,415247944,415247944,Elisa,TrulyTG,DMV,"Stealth Transgender Survivalist. In other words: A Great Catch...with a Catch!  Sounding off about A&E, Sports, Tech, Men and...well, you know. THAT, too!",https://t.co/SBGzNcXaXp,[],False,242,999,19,Fri Nov 18 02:56:53 +0000 2011,43,,,False,False,80764,,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1644600994/SS_in_miami-pix_normal.jpg,https://pbs.twimg.com/profile_images/1644600994/SS_in_miami-pix_normal.jpg,https://pbs.twimg.com/profile_banners/415247944/1464272990,9D582E,D9B17E,EADEAA,333333,True,False,False,False,False,False,False,none,[],,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/SBGzNcXaXp', 'expanded_url': 'http://trulytg.blogspot.com/', 'display_url': 'trulytg.blogspot.com', 'indices': [0, 23]}]",,,,,,,,,,,,
Wed Mar 08 02:26:09 +0000 2023,1633292992248270849,1633292992248270849,"@Jfamily3502 Yes... but i dont really support another team. I just dont want Milán, inter or Madrid get it",False,"[13, 106]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331989958822748e+18,1633198995882274816,1.507142559122047e+18,1507142559122046978,Jfamily3502,,,,,False,0,0,False,False,en,en,recent,1628777519892557831,1628777519892557831,BianconeriCR⚪️⚫️,JdeTurin_87,,"⚫️Opinión, crítica, y un poco de humor sobre nuestra querida Juventus.
🇨🇷 Costa Rica
Forza Calcio - Forza Juve",,[],False,9,56,0,Thu Feb 23 15:23:39 +0000 2023,61,,,False,False,83,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631461930849259523/E7ol9etf_normal.jpg,https://pbs.twimg.com/profile_images/1631461930849259523/E7ol9etf_normal.jpg,https://pbs.twimg.com/profile_banners/1628777519892557831/1677620348,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:23:44 +0000 2023,1633292385709961217,1633292385709961217,@CFCKaz6 Benfica is actually very very good team rather take milan or inter,False,"[9, 75]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633256825758929e+18,1633256825758928898,1.2939733713409597e+18,1293973371340959744,CFCKaz6,,,,,False,0,0,False,False,en,en,recent,1530757562383183872,1530757562383183872,🐐,clinical_enzo,,Cfc Supporter #Mountout #Potterout,,[],False,53,186,0,Sun May 29 03:47:14 +0000 2022,173,,,False,False,81,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1621309798267379714/NlSzpRAl_normal.jpg,https://pbs.twimg.com/profile_images/1621309798267379714/NlSzpRAl_normal.jpg,https://pbs.twimg.com/profile_banners/1530757562383183872/1675385523,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:18:34 +0000 2023,1633291086801035265,1633291086801035265,"@CFCDP1 Of the matchups, I see winners being Milan, Man City, Inter, Napoli, RM, and Bayern.

From those, playing Inter would be a great storyline, Lukaku drama. RM would be the hardest. Napoli seem a dangerous team on offense, so would rather pull an AC Milan of the two. No Bayern.",False,"[8, 283]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332613220359496e+18,1633261322035949573,61293262.0,61293262,CFCDP1,,,,,False,0,1,False,False,en,en,recent,2565705542,2565705542,Chelsea in Middle Tennessee,cfcmidtn,"Nashville, TN",Blue is the color. Run by @ryngrn,,[],False,1759,348,23,Fri Jun 13 18:13:14 +0000 2014,11718,,,False,False,7973,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1557428138874896384/USNTwQIi_normal.jpg,https://pbs.twimg.com/profile_images/1557428138874896384/USNTwQIi_normal.jpg,https://pbs.twimg.com/profile_banners/2565705542/1402683516,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:00:50 +0000 2023,1633286621260050432,1633286621260050432,'I won league with Inter Milan but was treated like a parasite at next club.. now I play for peanuts but I’m happy' https://t.co/WbY1cRp5FF,False,"[0, 139]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,20689749,20689749,The Sun Football ⚽,TheSunFootball,,"Breaking news, goals, live coverage and more. Give us a like on Facebook too: https://t.co/e7co9KegRB",https://t.co/QFHSwUHHY6,"[{'url': 'https://t.co/e7co9KegRB', 'expanded_url': 'http://fb.com/TheSunFootball', 'display_url': 'fb.com/TheSunFootball', 'indices': [78, 101]}]",False,568741,626,3478,Thu Feb 12 16:21:06 +0000 2009,1586,,,True,True,361832,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1567939825474355200/qwJraMmT_normal.jpg,https://pbs.twimg.com/profile_images/1567939825474355200/qwJraMmT_normal.jpg,https://pbs.twimg.com/profile_banners/20689749/1662660998,00745F,000000,DEDEDE,000000,True,False,False,False,False,False,False,none,[],,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/QFHSwUHHY6', 'expanded_url': 'https://www.thesun.co.uk/sport/football/', 'display_url': 'thesun.co.uk/sport/football/', 'indices': [0, 23]}]",,,,,,,,,,,,
Wed Mar 08 01:53:50 +0000 2023,1633284860067315712,1633284860067315712,@calcio_danny he morata and depay could be a usefulattack for atletico especially as joao felix not working out. also see him in juve or milan as well as Marseille or lyon. even inter,False,"[14, 183]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332389011238707e+18,1633238901123870721,1.1788220222578934e+18,1178822022257893383,calcio_danny,,,,,False,0,0,False,False,en,en,recent,243880549,243880549,kevin b,kdb_stylin,trinidad and tobago,im a massive football fan who watches the 5top leagues n follow inter milan chelsea atletico madrid borussia dortmund and psg.football has been my life since 93,,[],False,460,1503,10,Fri Jan 28 00:52:41 +0000 2011,1253,,,True,False,36719,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1107462710801940482/NlD9ZBvI_normal.jpg,https://pbs.twimg.com/profile_images/1107462710801940482/NlD9ZBvI_normal.jpg,https://pbs.twimg.com/profile_banners/243880549/1646874805,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:49:28 +0000 2023,1633283762439045120,1633283762439045120,@d4mije Of course Inter over Milan triggers me but I agree with pretty much all of it,False,"[8, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331725322442342e+18,1633172532244234242,7.296641311675556e+17,729664131167555585,d4mije,,,,,False,0,0,False,False,en,en,recent,1435806802000625665,1435806802000625665,Brian,campeon1908,New Jersey,Inter Milan 🖤💙• Philly sports • I enjoy rapping along to violent rap music on my way to my 9-5 • Viva Honduras 🇭🇳,,[],False,15,72,0,Thu Sep 09 03:26:48 +0000 2021,4348,,,True,False,1763,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1513764909137420288/xfQREND8_normal.jpg,https://pbs.twimg.com/profile_images/1513764909137420288/xfQREND8_normal.jpg,https://pbs.twimg.com/profile_banners/1435806802000625665/1653325439,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:44:06 +0000 2023,1633282410300293122,1633282410300293122,"@sushiniesta Is 
1. Real 
2. Barca
3. Bayern 
4. Juve 
5. United 
6. Liverpool 
7. Milan 
8.arsenal 
9. Inter 
10. Arsenal",False,"[13, 122]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.632818489340711e+18,1632818489340710912,1.5477872981247058e+18,1547787298124705792,sushiniesta,,,,,False,0,0,False,False,en,en,recent,1114405183348514816,1114405183348514816,diino,juventiniforli1,,Football fan a hip hop fan a movie enthusiast loving everybody I worship God and live life as if is my last on this planet. freepalestine gobirds 🦅 Juve United,,[],False,77,2421,0,Sat Apr 06 05:51:15 +0000 2019,21590,,,False,False,16089,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629282683158245379/q4h0c_I0_normal.jpg,https://pbs.twimg.com/profile_images/1629282683158245379/q4h0c_I0_normal.jpg,https://pbs.twimg.com/profile_banners/1114405183348514816/1647153403,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:44:00 +0000 2023,1633282386589827074,1633282386589827074,"@AverageChiesa Is 
1. Real 
2. Barca
3. Bayern 
4. Juve 
5. United 
6. Liverpool 
7. Milan 
8.arsenal 
9. Inter 
10. Arsenal",False,"[15, 124]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332206624530555e+18,1633220662453055490,1.414655652602032e+18,1414655652602032128,AverageChiesa,,,,,False,0,0,False,False,en,en,recent,1114405183348514816,1114405183348514816,diino,juventiniforli1,,Football fan a hip hop fan a movie enthusiast loving everybody I worship God and live life as if is my last on this planet. freepalestine gobirds 🦅 Juve United,,[],False,77,2421,0,Sat Apr 06 05:51:15 +0000 2019,21590,,,False,False,16089,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629282683158245379/q4h0c_I0_normal.jpg,https://pbs.twimg.com/profile_images/1629282683158245379/q4h0c_I0_normal.jpg,https://pbs.twimg.com/profile_banners/1114405183348514816/1647153403,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:43:40 +0000 2023,1633282303920095232,1633282303920095232,"(ESPN):#Transfer #Talk: Barcelona, Inter Milan in line for Liverpool's Firmino : Barcelona and Internazionale are among the first clubs to register an interest in Liverpool forward Roberto Firmino. Transfer Talk has the latest. .. https://t.co/SsXcQ8HolP",False,"[0, 254]","<a href=""http://www.newsoneplace.com"" rel=""nofollow"">Newsoneplace To Twitter</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3534222021,3534222021,NewsOnePlace.com,newsoneplace,,"https://t.co/WWMmIk3wM3 is a News Aggregator, it gathers news all around the USA and the world for you, 24/7 automatically. All news in one place.",https://t.co/ojosfPiDhH,"[{'url': 'https://t.co/WWMmIk3wM3', 'expanded_url': 'http://Newsoneplace.com', 'display_url': 'Newsoneplace.com', 'indices': [0, 23]}]",False,1221,167,1431,Thu Sep 03 13:15:22 +0000 2015,11,,,False,False,1810987,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1393992289446412290/YHcCY0t3_normal.jpg,https://pbs.twimg.com/profile_images/1393992289446412290/YHcCY0t3_normal.jpg,https://pbs.twimg.com/profile_banners/3534222021/1621188638,6C00D9,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ojosfPiDhH', 'expanded_url': 'https://www.newsoneplace.com', 'display_url': 'newsoneplace.com', 'indices': [0, 23]}]",,,,,,,,,,,,
Wed Mar 08 01:42:25 +0000 2023,1633281989737414657,1633281989737414657,"@sunday_coach Is 
1. Real 
2. Barca
3. Bayern 
4. Juve 
5. United 
6. Liverpool 
7. Milan 
8.arsenal 
9. Inter 
10. Arsenal",False,"[14, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332785926363382e+18,1633278592636338177,1.486196083571282e+18,1486196083571281924,sunday_coach,,,,,False,0,1,False,False,en,en,recent,1114405183348514816,1114405183348514816,diino,juventiniforli1,,Football fan a hip hop fan a movie enthusiast loving everybody I worship God and live life as if is my last on this planet. freepalestine gobirds 🦅 Juve United,,[],False,77,2421,0,Sat Apr 06 05:51:15 +0000 2019,21590,,,False,False,16089,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629282683158245379/q4h0c_I0_normal.jpg,https://pbs.twimg.com/profile_images/1629282683158245379/q4h0c_I0_normal.jpg,https://pbs.twimg.com/profile_banners/1114405183348514816/1647153403,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:28:17 +0000 2023,1633278432996933636,1633278432996933636,"@Ulldep0p @ChampionsLeague @10Ronaldinho Ultimately, we were strong, but they were terrific. Was it not for Mourinho, we would have never won in 2010. See the psychological  (mom's work) and talent components in the games between man u and Milan in 2005 and man u inter Milan in 2009 and tell me which Milam team was more",False,"[41, 321]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332762854797066e+18,1633276285479706624,1861484280.0,1861484280,agiapong,,,,,False,0,0,False,False,en,en,recent,1861484280,1861484280,Emmanuel Kofi Agyapong,agiapong,"Bronx, NY","A computer science graduate of Spring 2022 @LehmanCollege, with honors (cum laude) and a GPA of 3.62. And incoming software engineer @AmericanExpress 08/23!",https://t.co/9cpDCyLVWm,[],False,18,193,0,Fri Sep 13 19:34:32 +0000 2013,1614,,,True,False,839,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1445078138615209988/PobP73kb_normal.jpg,https://pbs.twimg.com/profile_images/1445078138615209988/PobP73kb_normal.jpg,https://pbs.twimg.com/profile_banners/1861484280/1633386467,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/9cpDCyLVWm', 'expanded_url': 'http://emmanuelcodes.netlify.app', 'display_url': 'emmanuelcodes.netlify.app', 'indices': [0, 23]}]",002e24c6736f069d,https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json,city,Bronx,"Bronx, NY",US,United States,[],Polygon,"[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]]",1.6332784329969336e+18,
