created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive,quoted_status.user.entities.url.urls
Wed Mar 08 03:08:05 +0000 2023,1633303548447404032,1633303548447404032,just put a bologna sandwich in the air fryer https://t.co/aUcHkNIHHh,False,"[0, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1170001801279619076,1170001801279619076,¥,KGthreetimes,pittsburgh,,https://t.co/GPJn1KWfKQ,"[{'url': 'https://t.co/GPJn1KWfKQ', 'expanded_url': 'http://twitch.tv/ohsempiternal', 'display_url': 'twitch.tv/ohsempiternal', 'indices': [0, 23]}]",[],False,72,341,1,Fri Sep 06 15:52:30 +0000 2019,38,,,False,False,18095,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1608807352081203201/RFtCPF-7_normal.jpg,https://pbs.twimg.com/profile_images/1608807352081203201/RFtCPF-7_normal.jpg,https://pbs.twimg.com/profile_banners/1170001801279619076/1670557228,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:00:13 +0000 2023,1633301567573991424,1633301567573991424,@JoeySRaver I used to LOVE to eat pickled bologna.  I haven't bought any recently though. It has just gotten so expensive lately.,False,"[12, 129]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633299617327489e+18,1633299617327489026,3067869791.0,3067869791,JoeySRaver,,,,,False,0,0,False,False,,en,en,recent,2183231059,2183231059,Trippin' On A Hole In A Paper Heart,WillLew51464805,"Williamsburg, KY","Criminal Justice, Independent, Bengals & Reds fan, Go Irish! $wlewis1976  Stop, Drop, & Roll",,,[],False,778,845,17,Fri Nov 08 23:58:52 +0000 2013,33512,,,False,False,38784,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/828841148865138688/FyrrrRtE_normal.jpg,https://pbs.twimg.com/profile_images/828841148865138688/FyrrrRtE_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:58:01 +0000 2023,1633301011396739072,1633301011396739072,@KandonDortch A bunch of bologna 🫠,False,"[14, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332784469471396e+18,1633278446947139584,2386242781.0,2386242781,KandonDortch,,,,,False,0,0,False,False,,en,en,recent,965463548330758144,965463548330758144,𝒯.𝒜.𝑀.𝐼.𝒜🌻,TKC_Iam,,,,,[],False,114,94,0,Mon Feb 19 05:50:22 +0000 2018,24051,,,False,False,4890,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1614983965009477632/ZrQ6Kacg_normal.jpg,https://pbs.twimg.com/profile_images/1614983965009477632/ZrQ6Kacg_normal.jpg,https://pbs.twimg.com/profile_banners/965463548330758144/1655286807,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:54:59 +0000 2023,1633300249266515968,1633300249266515968,@PlusOneKeigan RIGHT??? This is bologna.,False,"[15, 40]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.63329958289655e+18,1633299582896549888,7.710634113167852e+17,771063411316785154,PlusOneKeigan,,,,,False,0,1,False,False,,en,en,recent,1339396991042916353,1339396991042916353,Black Hole ~Vtuber Mom Arc~,BlackHoleVT,"RA 12h30m49s | Dec +12° 23'28""",Hi! I'm a Black Hole ▪︎ seisont ENVtuber ▪︎ She/Her ▪︎ Anti-Idol Culture ▪︎ Happily Married ╰(*´︶`*)╯♡ ▪︎ 29 and too old for this shit ▪︎ pfp: @BlackHoleVT,https://t.co/MjWxINg9ii,"[{'url': 'https://t.co/MjWxINg9ii', 'expanded_url': 'http://blackholevt.carrd.co', 'display_url': 'blackholevt.carrd.co', 'indices': [0, 23]}]",[],False,303,383,20,Thu Dec 17 02:28:34 +0000 2020,6622,,,False,False,4462,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1608858418135109632/vzl5o1cD_normal.jpg,https://pbs.twimg.com/profile_images/1608858418135109632/vzl5o1cD_normal.jpg,https://pbs.twimg.com/profile_banners/1339396991042916353/1643596942,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:53:29 +0000 2023,1633299873012277249,1633299873012277249,@GreyWah You telling me there's bologna in there?,False,"[9, 49]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332804048986972e+18,1633280404898697218,3138221484.0,3138221484,GreyWah,,,,,False,0,1,False,False,,en,en,recent,1356447392992739330,1356447392992739330,Laprau 🦝🐝 🔜 TFF,RaccoonLaprau,"A Dumpster in Austin, TX","Laprau | He/Him | 28 | Back-end Software Engineer | DM friendly | Raccoon Bee! ~~ I do a lot of programming, and I play some video games. Tele - @raccoonlaprau",https://t.co/dU57hDcExX,"[{'url': 'https://t.co/dU57hDcExX', 'expanded_url': 'https://laprau.tumblr.com/', 'display_url': 'laprau.tumblr.com', 'indices': [0, 23]}]",[],False,471,740,5,Tue Feb 02 03:40:46 +0000 2021,8946,,,False,False,4075,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1538564209365200897/pzwaLP8C_normal.jpg,https://pbs.twimg.com/profile_images/1538564209365200897/pzwaLP8C_normal.jpg,https://pbs.twimg.com/profile_banners/1356447392992739330/1612237991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:52:28 +0000 2023,1633299617327489026,1633299617327489026,I love trail bologna https://t.co/6H3KudnxiO,False,"[0, 20]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,3067869791,3067869791,Joey Raver,JoeySRaver,Ohio,"Ohio born and raised. Reds, Buckeyes, Bengals, CBJ.",,,[],False,277,1173,1,Tue Mar 03 14:09:01 +0000 2015,5297,,,False,False,5960,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1590510696457961473/hD3t5wag_normal.jpg,https://pbs.twimg.com/profile_images/1590510696457961473/hD3t5wag_normal.jpg,https://pbs.twimg.com/profile_banners/3067869791/1678081697,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:49:56 +0000 2023,1633298978325381121,1633298978325381121,When I was little I use to make a Bologna and jelly sandwich 🤷🏾‍♂️😂 and it used to hit https://t.co/0WIxdoJP6s,False,"[0, 86]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,False,en,en,recent,3123927698,3123927698,DeMontre,Dtuggle24,"Houston, TX",Ohio University Football Alum | John 13:7 🙏🏾| MTXE |,https://t.co/7KLlAtJ3xY,"[{'url': 'https://t.co/7KLlAtJ3xY', 'expanded_url': 'https://youtu.be/deMdQ9SEEQU', 'display_url': 'youtu.be/deMdQ9SEEQU', 'indices': [0, 23]}]",[],False,1724,794,7,Wed Apr 01 11:15:29 +0000 2015,18843,,,True,False,12338,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1538205393880506368/7xYPh-nD_normal.jpg,https://pbs.twimg.com/profile_images/1538205393880506368/7xYPh-nD_normal.jpg,https://pbs.twimg.com/profile_banners/3123927698/1672194872,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],1.632864568878719e+18,1632864568878718979,Mon Mar 06 22:03:45 +0000 2023,1.632864568878719e+18,1632864568878718979,what are your weird food combinations?,False,"[0, 38]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.328842811857363e+18,1328842811857362947,key,iitskey,Atl,the ARIES,,[],False,3555.0,924.0,2.0,Tue Nov 17 23:30:09 +0000 2020,127539.0,,,True,False,2175.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629378963964395520/YmRGK_tU_normal.jpg,https://pbs.twimg.com/profile_images/1629378963964395520/YmRGK_tU_normal.jpg,https://pbs.twimg.com/profile_banners/1328842811857362947/1645330786,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,0.0,21.0,False,False,en,,
Wed Mar 08 02:45:41 +0000 2023,1633297909776101378,1633297909776101378,Ian gone lie y’all I been craving a burnt bologna samich yes indeed that thick slice just burnt up on some fresh light bread with a lil mayo,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1587289467244740610,1587289467244740610,Yak Foy,Yakidusssa,"Monroe, LA",Yahweh’s Daughter,,,[],False,371,1261,0,Tue Nov 01 03:45:04 +0000 2022,10657,,,False,False,57688,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1622309770051944451/yqTQibA6_normal.jpg,https://pbs.twimg.com/profile_images/1622309770051944451/yqTQibA6_normal.jpg,https://pbs.twimg.com/profile_banners/1587289467244740610/1667275782,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:44:20 +0000 2023,1633297568011816960,1633297568011816960,@CocaCola @StenhouseJr Oh i was thinking you offered free drinks in Bologna Book Fairs too for Zero!,False,"[23, 100]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6324711347582075e+18,1632471134758207489,26787673.0,26787673,CocaCola,,,,,False,0,0,False,False,,en,en,recent,1090274415135285248,1090274415135285248,Kelly,alisonlau228,Hong Kong,love watching movies.,,,[],False,24,664,4,Tue Jan 29 15:44:11 +0000 2019,14100,,,False,False,6618,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1200980143134560256/ssW_I5Pq_normal.jpg,https://pbs.twimg.com/profile_images/1200980143134560256/ssW_I5Pq_normal.jpg,https://pbs.twimg.com/profile_banners/1090274415135285248/1575170985,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:35:34 +0000 2023,1633295365267939329,1633295365267939329,@GOP Then why are you inventing new government oversight bologna?,False,"[5, 65]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633238347811537e+18,1633238347811536897,11134252.0,11134252,GOP,,,,,False,0,0,False,False,,en,en,recent,84974560,84974560,Doug Hall - CaptFun,jagad5,"Pataskala, OH","Married my best friend, 3 sons in @TBDBITL, MMPDS Program Manager @Battelle, Teacher & Student, INTP, retired @Honeywell_Aero, formr board @EdwardsburgPS",,,[],False,294,1309,3,Sun Oct 25 00:45:55 +0000 2009,24355,,,False,False,5497,,False,False,False,000000,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1356734679110455296/gWpmEV4j_normal.jpg,https://pbs.twimg.com/profile_images/1356734679110455296/gWpmEV4j_normal.jpg,https://pbs.twimg.com/profile_banners/84974560/1596422782,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:34:15 +0000 2023,1633295034102554624,1633295034102554624,Claim Your $Arbitrum 🙌 @Jing17197010 @Dung35166970 @Austinenonso2 @ArbazKh38136120 @0xSpuddy @Naejgomez21 @Huyvilla2 @Dolce_N_Bologna @iksab20 @fogeymane @vinallius @Leon_1899 @1GabrielMax1 @Cesarz999 @KobBja https://t.co/iY6TueUqFe,False,"[0, 208]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,0,False,False,False,en,en,recent,424211744,424211744,Mrs. Dunwell,mrsdunbury,"Massachusetts, USA",🍎 Grades 9-12 MATH educator 👧🏽👧🏽👦🏽 Mama x3 ☕️🍫 Tea & chocolate lover,,,[],False,37,230,1,Tue Nov 29 13:58:12 +0000 2011,118,,,False,False,59,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1627760365713952769/ENYAdqQ8_normal.jpg,https://pbs.twimg.com/profile_images/1627760365713952769/ENYAdqQ8_normal.jpg,https://pbs.twimg.com/profile_banners/424211744/1597931703,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.6332562155799675e+18,1633256215579967490,Wed Mar 08 00:00:00 +0000 2023,1.6332562155799675e+18,1633256215579967490,"Reminder ‼️
#Arbitrum Token Airdrop 1st round is live at:

➡️https://t.co/TZ7DgGAuHT

A total of 8 million $ARB will be distributеd.
Eligible people can clаim based on their chain-activity (🧡,💙) https://t.co/wXev0pXObX",False,"[0, 194]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.4814275351750656e+18,1481427535175065600,"Arbitrum (💙,🧡)",arbiltrum,,"Arbitrum offers a suite of Ethereum scaling solutions that are secure, fast, cheap & EVM compatible: @ArbitrumDevs, @arbitrumcore, @arbitrum_cn, @OffchainLabs",,[],False,70327.0,0.0,28.0,Thu Jan 13 00:47:47 +0000 2022,1124.0,,,True,False,746.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633223064690257926/M6ldqdGt_normal.jpg,https://pbs.twimg.com/profile_images/1633223064690257926/M6ldqdGt_normal.jpg,https://pbs.twimg.com/profile_banners/1481427535175065600/1678225698,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,461.0,1378.0,False,False,en,False,
Wed Mar 08 02:30:59 +0000 2023,1633294210895089664,1633294210895089664,fucking hate bologna,False,"[0, 20]","<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1394222228628119552,1394222228628119552,sal,_SALFlSHER_,nockfell (mostly bot),kills you (he/they),,,[],False,57,1,0,Mon May 17 09:24:26 +0000 2021,0,,,False,False,55998,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1394222351596752899/hZoRm2SV_normal.jpg,https://pbs.twimg.com/profile_images/1394222351596752899/hZoRm2SV_normal.jpg,https://pbs.twimg.com/profile_banners/1394222228628119552/1621251623,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:27:44 +0000 2023,1633293393911508993,1633293393911508993,Bologna turn on button bag this last day shirt signal tail box irealing,False,"[0, 71]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1493051618996236291,1493051618996236291,Queency,Queency93495222,,Sweetheart cool,,,[],False,21,407,0,Mon Feb 14 02:37:25 +0000 2022,15,,,False,False,9464,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1568999740246835200/iLxMJYhy_normal.jpg,https://pbs.twimg.com/profile_images/1568999740246835200/iLxMJYhy_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:26:26 +0000 2023,1633293063945682944,1633293063945682944,"Real deal Holyfield, niggas bologna",False,"[0, 35]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,938502855400542208,938502855400542208,JiGGiest Nigga Alive,rlynjiggy1,10th Place,God Body,https://t.co/boNKjbBtVj,"[{'url': 'https://t.co/boNKjbBtVj', 'expanded_url': 'https://unitedmasters.com/m/weirdointhetrap2', 'display_url': 'unitedmasters.com/m/weirdointhet…', 'indices': [0, 23]}]",[],False,141,124,0,Wed Dec 06 20:18:12 +0000 2017,35778,,,False,False,1333,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632165149057462274/Ixc5ujGu_normal.jpg,https://pbs.twimg.com/profile_images/1632165149057462274/Ixc5ujGu_normal.jpg,https://pbs.twimg.com/profile_banners/938502855400542208/1677973457,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:20:04 +0000 2023,1633291461457240064,1633291461457240064,"Their trick the people bologna
Doesn't work 
Without real holy blood 

Kinda fun isn't it 
😎🦁❤️🌳🐕🐎🦌⚔️🌳📖🏆👣 https://t.co/amSRXBd2tB",False,"[0, 105]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,4614670817,4614670817,Ava Barlow,AuthorAvaBarlow,"Michigan, USA","Author of Fiction Action/Adventure Novels.    If I wrote my bio, unbelievable. I have a lot more on my list to do. #AuthorAvaBarlow",https://t.co/XaKp0pY6UB,"[{'url': 'https://t.co/XaKp0pY6UB', 'expanded_url': 'http://bit.ly/AuthorAB', 'display_url': 'bit.ly/AuthorAB', 'indices': [0, 23]}]",[],False,1425,827,1,Sat Dec 26 21:22:40 +0000 2015,1625,,,False,False,17064,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/680862529522917376/qqrT4GZL_normal.jpg,https://pbs.twimg.com/profile_images/680862529522917376/qqrT4GZL_normal.jpg,https://pbs.twimg.com/profile_banners/4614670817/1622735062,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:19:59 +0000 2023,1633291442725552128,1633291442725552128,@atensnut HOW MANY MORE HUH HILLERY ..U ARE A KILLER .EVERYONE  KNOWS .ALL THEM SUICIDES ....BOLOGNA.HOW COULD U PLAN ALL THIS .I PRAY I LIVE LONG ENOUGH TO SEE U BEHIND BARS..,False,"[10, 176]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332855568042435e+18,1633285556804243464,22677397.0,22677397,atensnut,,,,,False,0,0,False,False,,en,en,recent,1466624304649490435,1466624304649490435,Dorothy Bowman,Dorothy39628059,,,,,[],False,29,56,0,Fri Dec 03 04:25:29 +0000 2021,1812,,,False,False,3241,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1466624607495016454/bqOQbmJ5_normal.jpg,https://pbs.twimg.com/profile_images/1466624607495016454/bqOQbmJ5_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:09:22 +0000 2023,1633288770085584897,1633288770085584897,@fchadfallout76 This is a faulty ranking anyway sugar smacks are not present and all know they are S tier both alone or with a fried Bologna sandwich,False,"[16, 149]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332167742367744e+18,1633216774236774408,1.1395135519352136e+18,1139513551935213568,fchadfallout76,,,,,False,0,1,False,False,,en,en,recent,1574534814790832137,1574534814790832137,The2ndBigfoot,BigfootThe2nd,"Charleston, SC",Backup account for Bigfoot2nd gaming and stuff trying to reconnect back to all the mutuals,,,[],False,164,314,0,Mon Sep 26 23:02:20 +0000 2022,1940,,,True,False,2137,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1574535762623844352/XL0Iro41_normal.jpg,https://pbs.twimg.com/profile_images/1574535762623844352/XL0Iro41_normal.jpg,https://pbs.twimg.com/profile_banners/1574534814790832137/1664233822,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:04:36 +0000 2023,1633287572293074945,1633287572293074945,@SlimWyldNReklez Okay is the bologna fried?,False,"[17, 43]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332780518269338e+18,1633278051826933762,354616703.0,354616703,SlimWyldNReklez,,,,,False,0,0,False,False,,en,en,recent,252727879,252727879,Full Figured Fudge,Sinfu11y_Yours,,"From where I'm standing, my grass is green.",,,[],False,1849,925,3,Tue Feb 15 19:50:09 +0000 2011,562,,,True,False,67204,,False,False,False,DBE9ED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1629568061375234052/D4lDcCT4_normal.jpg,https://pbs.twimg.com/profile_images/1629568061375234052/D4lDcCT4_normal.jpg,https://pbs.twimg.com/profile_banners/252727879/1667851104,CC3366,FFFFFF,E6F6F9,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:02:36 +0000 2023,1633287069131763712,1633287069131763712,"@TheEnemiesPE3 @AttitudeEraPod Considering Dawkins used to hang out and room with these dudes in developmental, I believe him about the bologna sandwiches lol.",False,"[31, 159]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332849195090903e+18,1633284919509090304,1.4243987388150252e+18,1424398738815025156,TheEnemiesPE3,,,,,False,0,3,False,False,,en,en,recent,29072581,29072581,J.K. Williams (a.k.a. Shuga Magnum),Phishbowl,"Lithia Springs, GA",INFP | 4w5 | Southern-bred | Pro wrestling enthusiast | Up and coming podcaster | Music addict | Sports fan,https://t.co/F48l1n9aQ5,"[{'url': 'https://t.co/F48l1n9aQ5', 'expanded_url': 'http://lnk.bio/jkale324', 'display_url': 'lnk.bio/jkale324', 'indices': [0, 23]}]",[],False,624,2190,4,Sun Apr 05 21:38:03 +0000 2009,142950,,,True,False,11280,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1587681357647462400/cADQsrZx_normal.jpg,https://pbs.twimg.com/profile_images/1587681357647462400/cADQsrZx_normal.jpg,https://pbs.twimg.com/profile_banners/29072581/1627981322,19CF86,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
