created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive
Tue Mar 07 22:37:03 +0000 2023,1633235339048284163,1633235339048284163,"@shirt_x Napoli Insigne new with tags, medium. Sampdoria medium, excellent condition, medium.
Looking for large arsenal, Roma, Ajax kits. https://t.co/Z5A4MyFR9C",False,"[9, 137]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633182287343829e+18,1633182287343828996,1.2218286417740145e+18,1221828641774014464,shirt_x,,,,,False,0,1,False,False,False,en,en,recent,1178501207972814854,1178501207972814854,Joe Orf,ORFJOE,"Miami, FL",Golf + Soccer + Architecture + Construction + Food = Life,https://t.co/rwxX7fzOF1,"[{'url': 'https://t.co/rwxX7fzOF1', 'expanded_url': 'http://joeorf.com', 'display_url': 'joeorf.com', 'indices': [0, 23]}]",[],False,103,1172,1,Mon Sep 30 02:46:09 +0000 2019,43271,,,True,False,8469,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632506208518127616/Zp8K8bUG_normal.jpg,https://pbs.twimg.com/profile_images/1632506208518127616/Zp8K8bUG_normal.jpg,https://pbs.twimg.com/profile_banners/1178501207972814854/1624587161,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:42:26 +0000 2023,1633221594033143816,1633221594033143816,"@TunisianShirts @FinderShirt @ShirtSellerList @shirt_x @ellis_platten @Jersey_aholic @KitsForTherapy @80s90sfootball @smivadee @AscotFooty @alexfoux1 Looking for:
- AC Milan away 1995/96
- Liverpool any away from 1991 to 1995
- Sampdoria 1994/95 home
- Italy 1996 Home
- Man Utd 1998/00 Home",False,"[150, 291]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331863904092037e+18,1633186390409203715,159108734.0,159108734,TunisianShirts,,,,,False,0,1,False,False,,en,en,recent,69731435,69731435,Antonico,AntonicoClarenZ,"London, England",Hate is baggage. Life's too short to be pissed off all the time. It’s just not worth it.,https://t.co/SwSPfHiiWi,"[{'url': 'https://t.co/SwSPfHiiWi', 'expanded_url': 'https://www.instagram.com/antonico.gragnaniello/', 'display_url': 'instagram.com/antonico.gragn…', 'indices': [0, 23]}]",[],False,241,604,3,Fri Aug 28 23:58:09 +0000 2009,1703,,,True,False,3734,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/572399862383316992/TbYjsd9g_normal.jpeg,https://pbs.twimg.com/profile_images/572399862383316992/TbYjsd9g_normal.jpeg,https://pbs.twimg.com/profile_banners/69731435/1429625812,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 20:41:03 +0000 2023,1633206147023872001,1633206147023872001,"I've been exposing Fernandes since he was kicked out of both Udinese and Sampdoria...
https://t.co/UFkhkNfRMa",False,"[0, 109]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,4,False,False,False,en,en,recent,1559235985673699329,1559235985673699329,Anonymous Lawyer,riffflawyer,,"Happily Married Father. Lawyer & Legal Consultant. 
Born in 🇪🇸, living in 🇨🇦. I speak 5 languages. 
Opinions expressed are solely my own.",,,[],False,372,170,0,Mon Aug 15 17:50:11 +0000 2022,980,,,False,False,6651,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1559242709633830912/LMU1XDXl_normal.jpg,https://pbs.twimg.com/profile_images/1559242709633830912/LMU1XDXl_normal.jpg,https://pbs.twimg.com/profile_banners/1559235985673699329/1660624519,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],1.6327087209613967e+18,1632708720961396736,Mon Mar 06 11:44:27 +0000 2023,1.6327087209613967e+18,1632708720961396736,@piersmorgan He was exposed yesterday and clearly a below average player but United fans hyped him 🤡,False,"[13, 100]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6327047842129183e+18,1632704784212918275,216299334.0,216299334,piersmorgan,2224406288.0,2224406288,Pritesh Indore Patil,PriteshSpeaks,"Boston, MA",26 | Boston 🇺🇸 🏡 Pune 🇮🇳 | Here with my personal views. retweets are not endorsements.,,[],False,442.0,332.0,4.0,Sun Dec 01 07:19:12 +0000 2013,73007.0,,,True,False,15764.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250669778311753728/e0dsgsXe_normal.jpg,https://pbs.twimg.com/profile_images/1250669778311753728/e0dsgsXe_normal.jpg,https://pbs.twimg.com/profile_banners/2224406288/1566958577,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,0.0,10.0,False,False,en,
Tue Mar 07 19:09:13 +0000 2023,1633183037511856132,1633183037511856132,"@SockCouncil @NUFC_1980_1994 No affiliation - Ace quality, fast delivery. Mancini Sampdoria socks nice. Overlook Hotel carpet best :) https://t.co/1LzmStWKai",False,"[29, 133]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331808125219308e+18,1633180812521930755,2269577839.0,2269577839,SockCouncil,,,,,False,1,1,False,False,False,en,en,recent,475080417,475080417,bluemooj,bluemooj,,Block 110 at City,,,[],False,157,1080,0,Thu Jan 26 17:24:10 +0000 2012,17772,,,False,False,943,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1588236475170275328/A6JHz_qW_normal.jpg,https://pbs.twimg.com/profile_images/1588236475170275328/A6JHz_qW_normal.jpg,https://pbs.twimg.com/profile_banners/475080417/1669079579,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:57:39 +0000 2023,1633180124353904640,1633180124353904640,@HarryWinks We be at the Juve V Sampdoria game Sunday with my kids for their birthday - give us something to cheer about when it comes to football please :),False,"[0, 156]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,602087588.0,602087588,HarryWinks,,,,,False,0,1,False,False,,en,en,recent,137734676,137734676,James Willmoth,willmothj,"Newbury, Berkshire",#COYS + #COLTS,,,[],False,778,1777,5,Tue Apr 27 16:00:35 +0000 2010,8738,,,True,False,14117,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1594055240143310848/IgSNby1h_normal.jpg,https://pbs.twimg.com/profile_images/1594055240143310848/IgSNby1h_normal.jpg,https://pbs.twimg.com/profile_banners/137734676/1668887314,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:26:47 +0000 2023,1633172356892962816,1633172356892962816,@Mathias_FFS @FancyFS_ @KITmagazine_ @Kaide601 @JSOH13597 @nb_shirts @TheyThinkKits @Thomas_shirts @shirts_original @TomsFootyKits @KitsOnDan22 what is the deal with the nice*sampdoria one,False,"[144, 188]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331298608129065e+18,1633129860812906498,1.180167084187226e+18,1180167084187226112,Mathias_FFS,,,,,False,0,1,False,False,,en,en,recent,1035615356579192834,1035615356579192834,The Last Reigning Regista 🇦🇷,TheRegista21,,Likes football and football shirts.,,,[],False,155,1525,1,Fri Aug 31 19:48:36 +0000 2018,9955,,,False,False,6179,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1590291394769346563/-fVBHxRL_normal.jpg,https://pbs.twimg.com/profile_images/1590291394769346563/-fVBHxRL_normal.jpg,https://pbs.twimg.com/profile_banners/1035615356579192834/1671407389,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:03:19 +0000 2023,1633151351172526087,1633151351172526087,🚨| A two-match ban and a €10k fine for Moise #Kean. He will miss the Sampdoria and Inter matches. @sportface2016,False,"[0, 112]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,6,False,False,,en,en,recent,1384595561370865677,1384595561370865677,Juventus Area,juventus_area,,"📲 All @Juventusfcen related news, stats and much more, are found here.",,,[],False,3214,131,45,Tue Apr 20 19:51:31 +0000 2021,632,,,False,False,12634,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1384598830793072641/E4VaMoxz_normal.jpg,https://pbs.twimg.com/profile_images/1384598830793072641/E4VaMoxz_normal.jpg,https://pbs.twimg.com/profile_banners/1384595561370865677/1618949609,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:57:52 +0000 2023,1633149979995828232,1633149979995828232,"@christotaylo Apropos of nothing, one of my favourite stories is when Genoa got relegated and Sampdoria fans staged a mock funeral procession through the city - complete with a coffin wrapped in the Genoa flag.",False,"[14, 210]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331468255815066e+18,1633146825581506561,1.385238088587305e+18,1385238088587304960,christotaylo,,,,,False,0,1,False,False,,en,en,recent,106185439,106185439,Justin Nolan,jus_tupp28,,Professional Idiot,,,[],False,121,939,0,Mon Jan 18 19:30:06 +0000 2010,1167,,,True,False,1554,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1506453135/aV2P7xTs_normal,https://pbs.twimg.com/profile_images/1506453135/aV2P7xTs_normal,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:51:56 +0000 2023,1633148488232980481,1633148488232980481,"@christotaylo Must be a sampdoria / Veron bar, mural, museum, statue somewhere????",False,"[14, 82]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331468255815066e+18,1633146825581506561,1.385238088587305e+18,1385238088587304960,christotaylo,,,,,False,0,0,False,False,,en,en,recent,800354198,800354198,Neil Meehan,NeilMeehan_,,Music. Football. Write about music & football for United We Stand @UWSmag . Music w/ @CarouselClouds and @optionalwallace . Views my own. He/him,https://t.co/fFBBGIrtMJ,"[{'url': 'https://t.co/fFBBGIrtMJ', 'expanded_url': 'http://www.uwsonline.com', 'display_url': 'uwsonline.com', 'indices': [0, 23]}]",[],False,1739,2398,15,Mon Sep 03 12:55:49 +0000 2012,20498,,,True,False,15617,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/840892754880282624/U5Ke0jgW_normal.jpg,https://pbs.twimg.com/profile_images/840892754880282624/U5Ke0jgW_normal.jpg,https://pbs.twimg.com/profile_banners/800354198/1454189919,DD2E44,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:28:52 +0000 2023,1633142682045251584,1633142682045251584,"🏃‍♂️ | TRAINING

Split session at the Mugnaini as preparations for #JuveSamp get under way

#FORZADORIA 🔵⚪🔴⚫⚪🔵",False,"[0, 110]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,0,4,False,False,,en,en,recent,3339704123,3339704123,Sampdoria English,sampdoria_en,"Genova, Liguria","U.C. @Sampdoria Official International Twitter: news & updates from the Club, live match, behind-the-scenes stories and more!",https://t.co/zggZvVYqxq,"[{'url': 'https://t.co/zggZvVYqxq', 'expanded_url': 'http://www.sampdoria.it', 'display_url': 'sampdoria.it', 'indices': [0, 23]}]",[],False,26309,205,436,Sun Jun 21 19:46:23 +0000 2015,816,,,True,True,23093,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1544720309974081544/8QQG6udd_normal.jpg,https://pbs.twimg.com/profile_images/1544720309974081544/8QQG6udd_normal.jpg,https://pbs.twimg.com/profile_banners/3339704123/1657124997,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:09:54 +0000 2023,1633137910185873409,1633137910185873409,@AK90s @AshroseUK @TavernFootball @jimdalycomedy he was the first player I knew and became a favorite when playing at Sampdoria,False,"[49, 127]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6291194219301683e+18,1629119421930168323,1664605597.0,1664605597,AK90s,,,,,False,0,0,False,False,,en,en,recent,1085762894,1085762894,MILIARDER,torex30,"Legok Hangseur, Indonesia",MILIARDER,,,[],False,35,31,0,Sun Jan 13 11:04:41 +0000 2013,387,,,False,False,6525,,False,False,False,01000D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1459401750306181121/2vFA44G9_normal.jpg,https://pbs.twimg.com/profile_images/1459401750306181121/2vFA44G9_normal.jpg,https://pbs.twimg.com/profile_banners/1085762894/1625980333,0084B4,000000,DDEEF6,333333,True,True,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:54:35 +0000 2023,1633134054462636032,1633134054462636032,"New Overtime AMM position bought
Juventus - Sampdoria
Amount: 47.50736249422245
Paid: 33.728 sUSD
Position: Juventus
Potential profit: 14 sUSD (41%)",False,"[0, 148]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:18:54 +0000 2023,1633125073006518278,1633125073006518278,@olloufcx @scfccharlie I remember having an argument like 5 years ago with him that beating Sampdoria 4-0 in a preseason friendly meant nothing and he called me an idiot who wanted to see Swansea fail and the swans ended up getting relegated at the end of that season,False,"[23, 267]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331242800650404e+18,1633124280065040384,9.309120535098819e+17,930912053509881856,olloufcx,,,,,False,0,0,False,False,,en,en,recent,1516481766546186246,1516481766546186246,Football Stuff,Fwotbawl,,Following football accounts,,,[],False,61,436,0,Tue Apr 19 18:20:11 +0000 2022,1688,,,False,False,872,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1581300185187090432/3woVuIfR_normal.jpg,https://pbs.twimg.com/profile_images/1581300185187090432/3woVuIfR_normal.jpg,https://pbs.twimg.com/profile_banners/1516481766546186246/1665754041,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:16:50 +0000 2023,1633124553210707977,1633124553210707977,"@_Luke_A_ Was always a player for Sampdoria, glad he is showing his ability now",False,"[10, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.63309805688209e+18,1633098056882089984,1.489043538281177e+18,1489043538281177094,_Luke_A_,,,,,False,0,1,False,False,,en,en,recent,1581292004,1581292004,James,JamesKelly2398,Solihull/ London,📺 @SkySportsNews | @SkyNews | ‘James on Autocue’ ⚽️@BCFC @LUFC @SolihullMoors  | 🏏@WarwickshireCCC | All Opinions & views are my own,,,[],False,3464,4899,11,Tue Jul 09 19:49:46 +0000 2013,89379,,,True,False,49793,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1573286273187516416/kzD9U8Fb_normal.jpg,https://pbs.twimg.com/profile_images/1573286273187516416/kzD9U8Fb_normal.jpg,https://pbs.twimg.com/profile_banners/1581292004/1665438187,3B94D9,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:10:53 +0000 2023,1633123056141967361,1633123056141967361,"🏃🏻‍♀️ | TRAINING

The Blucerchiate hard at work at the 3 Campanili in #Bogliasco

#SampdoriaWomen 🔵⚪🔴⚫⚪🔵",False,"[0, 104]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,0,3,False,False,,en,en,recent,3339704123,3339704123,Sampdoria English,sampdoria_en,"Genova, Liguria","U.C. @Sampdoria Official International Twitter: news & updates from the Club, live match, behind-the-scenes stories and more!",https://t.co/zggZvVYqxq,"[{'url': 'https://t.co/zggZvVYqxq', 'expanded_url': 'http://www.sampdoria.it', 'display_url': 'sampdoria.it', 'indices': [0, 23]}]",[],False,26309,205,436,Sun Jun 21 19:46:23 +0000 2015,816,,,True,True,23093,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1544720309974081544/8QQG6udd_normal.jpg,https://pbs.twimg.com/profile_images/1544720309974081544/8QQG6udd_normal.jpg,https://pbs.twimg.com/profile_banners/3339704123/1657124997,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:33:20 +0000 2023,1633113609352929282,1633113609352929282,"@Record_Sport @IFTVofficial Vieri has no problem though. Mind you he played for Juventus, Inter, Milan, Lazio, Atalanta, Venezia, Pisa, Ravenna, Sampdoria, Fiorentina and Torino. What a mercenary haha 😂",False,"[28, 202]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6327418205128417e+18,1632741820512841728,358235006.0,358235006,Record_Sport,,,,,False,0,0,False,False,,en,en,recent,1527328397357027328,1527328397357027328,Brizbaldinho,brizbaldinho,,,,,[],False,4,30,0,Thu May 19 16:40:58 +0000 2022,94,,,False,False,1140,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1527329211303616528/JttfLlh__normal.jpg,https://pbs.twimg.com/profile_images/1527329211303616528/JttfLlh__normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:30:01 +0000 2023,1633112771490377728,1633112771490377728,⚽️ Football Club Boardrooms. Former players account for only three out of the 109 current #SerieA club directors. #Atalanta and #Sampdoria are the clubs that include at least a representative with such background in their Board 🏛️ https://t.co/TvOnQYToAG,False,"[0, 230]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,5,False,False,False,en,en,recent,1061986177207750657,1061986177207750657,CIES Sports Intelligence,CIESsportsintel,"Neuchâtel, Switzerland","IG: https://t.co/PAs9McnvyG
EM: sports.intelligence@cies.ch",,,"[{'url': 'https://t.co/PAs9McnvyG', 'expanded_url': 'http://bit.ly/2HKEqz3', 'display_url': 'bit.ly/2HKEqz3', 'indices': [4, 27]}]",False,4672,423,77,Mon Nov 12 14:16:50 +0000 2018,195,,,True,False,589,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1370771623771582464/6MbxYpPr_normal.jpg,https://pbs.twimg.com/profile_images/1370771623771582464/6MbxYpPr_normal.jpg,https://pbs.twimg.com/profile_banners/1061986177207750657/1615652127,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:11:24 +0000 2023,1633108087165837312,1633108087165837312,"@knockemdownes @ASRomaEN @C_S_G_B @ASRomaEspanol @ASRomaPidgin @ASRomaFRA @ASRomaBosnia @X_Stitch_Shirts @DiadoraUSA @calciocolours @philharrison192 Well maybe just the three home shirts… Ooh, you know what would also be nice? Sampdoria!",False,"[149, 237]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331077879442145e+18,1633107787944214528,527664993.0,527664993,knockemdownes,,,,,False,0,1,False,False,,en,en,recent,14571692,14571692,James Campbell Taylor,jamestaylor,"Greenport, NY",British Manhattanite. NoFoer. Calcio Historian. Football Shirt Enthusiast. Egg Cream Aficionado. Lapsed Flâneur. Born on the Day of Saudade. Forza Viola & LCFC.,https://t.co/F8XJbYa4gU,"[{'url': 'https://t.co/F8XJbYa4gU', 'expanded_url': 'http://www.jamescampbelltaylor.com', 'display_url': 'jamescampbelltaylor.com', 'indices': [0, 23]}]",[],False,2687,3561,44,Mon Apr 28 16:50:00 +0000 2008,26018,,,True,False,11519,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/1423857101680660484/cfffrogu_normal.jpg,https://pbs.twimg.com/profile_images/1423857101680660484/cfffrogu_normal.jpg,https://pbs.twimg.com/profile_banners/14571692/1636744283,FA2323,000000,AAAAAA,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
