created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,possibly_sensitive,user.profile_banner_url,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
Wed Mar 08 14:58:12 +0000 2023,1633482254012784640,1633482254012784640,Crossroads moment for Tottenham Hotspur Football Club today.,False,"[0, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,241268637,241268637,Sumukh Rao,ssrao424,"Arlington, VA",,,[],False,268,519,2,Fri Jan 21 21:27:11 +0000 2011,9327,,,True,False,37061,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/960564372757151744/1VIUecIA_normal.jpg,https://pbs.twimg.com/profile_images/960564372757151744/1VIUecIA_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 14:56:47 +0000 2023,1633481895584362502,1633481895584362502,"New Overtime AMM position bought
Tottenham Hotspur - AC Milan
Amount: 6.03
Paid: 2.999 sUSD
Position: X2
Potential profit: 3 sUSD (101%)",False,"[0, 136]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,107096,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",,,,,,,,,,
Wed Mar 08 16:53:38 +0000 2023,1633511304576081928,1633511304576081928,"Hey Spurs,I’m selling My 2x Tottenham ticket for the home game Tottenham vs Ac Milan
At Tottenham Hotspur Stadium
Wed 08 Mar 20:00
Kindly DM me if you’re interested #TottenhamHotspur #Tottenham #TottenhamHotspurTicket #TottenhamTicket #SpursTicket #ChampionsLeague #ACMilan",False,"[0, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3123770539,3123770539,Ellis,Ellis12274,,,,[],False,272,4,0,Wed Apr 01 10:04:58 +0000 2015,0,,,False,False,138,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1633374895793905664/npZr87mE_normal.jpg,https://pbs.twimg.com/profile_images/1633374895793905664/npZr87mE_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:17 +0000 2023,1633511214239162374,1633511214239162374,"Hey Spurs,I’m selling My 2x Tottenham ticket for the home game Tottenham vs Ac Milan
At Tottenham Hotspur Stadium
Wed 08 Mar 20:00
Kindly DM me if you’re interested #TottenhamHotspur #Tottenham #TottenhamHotspurTicket #TottenhamTicket #SpursTicket #ChampionsLeague #ACMilan",False,"[0, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,893539680544841729,893539680544841729,Dylan,dylan27012,,,,[],False,39,120,0,Fri Aug 04 18:30:35 +0000 2017,9,,,False,False,1189,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1624432311352557573/IqBGDYni_normal.jpg,https://pbs.twimg.com/profile_images/1624432311352557573/IqBGDYni_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:59 +0000 2023,1633511138582249474,1633511138582249474,@ChampionsLeague BAYERN MUNICH AND TOTTENHAM HOTSPUR ARE GOING TO WIN,False,"[17, 69]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6333619142890988e+18,1633361914289098758,627673190.0,627673190,ChampionsLeague,,,,,False,0,0,False,False,en,en,recent,1505657130086457345,1505657130086457345,@lucas mahamba,1Mahamba,,,,[],False,449,1122,0,Sun Mar 20 21:27:25 +0000 2022,759,,,False,False,1276,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1579411608887066624/vVymyTJr_normal.jpg,https://pbs.twimg.com/profile_images/1579411608887066624/vVymyTJr_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:17 +0000 2023,1633510965479178241,1633510965479178241,"That’s what I want too. But I can’t stand Conte and want him to continue flopping in Europe: 

But would love to go see Inter again at the Tottenham Hotspur Stadium https://t.co/BSS7KAMYc6",False,"[0, 164]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1123336531,1123336531,S Nerazzurro,SaifNerazzurro,"London, England",#ItIsWhatItIs,,[],False,3550,697,62,Sat Jan 26 22:28:57 +0000 2013,77511,,,True,False,65760,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1585621254450696198/cyNhIb2v_normal.jpg,https://pbs.twimg.com/profile_images/1585621254450696198/cyNhIb2v_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],1.6335103924742472e+18,1633510392474247168,True,https://pbs.twimg.com/profile_banners/1123336531/1666876555,Wed Mar 08 16:50:01 +0000 2023,1.6335103924742472e+18,1633510392474247168,"@SaifNerazzurro Spurs, in hope of Inter getting a game in London...",False,"[16, 67]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.63350875546266e+18,1633508755462660096,1123336531.0,1123336531,SaifNerazzurro,1.3533026606031176e+18,1353302660603117568,Rhys Griffiths,rhysdgriffiths,"Folkestone, England",Reporter @Kent_Online | Man of Kent | @folkestone_36 | Hopeless #FPL addict | Tweets self-destruct after one week,https://t.co/BrhlGfMzvS,"[{'url': 'https://t.co/BrhlGfMzvS', 'expanded_url': 'https://www.kentonline.co.uk/', 'display_url': 'kentonline.co.uk', 'indices': [0, 23]}]",[],False,1790.0,755.0,3.0,Sun Jan 24 11:24:39 +0000 2021,5349.0,,,False,True,48.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1413129069399474177/JNkgdkxP_normal.jpg,https://pbs.twimg.com/profile_images/1413129069399474177/JNkgdkxP_normal.jpg,https://pbs.twimg.com/profile_banners/1353302660603117568/1661363193,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,0.0,0.0,False,False,en,,,,,,,,,,,
Wed Mar 08 16:52:00 +0000 2023,1633510890745245696,1633510890745245696,"Watch Tottenham vs Milan Live Stream 

Here: https://t.co/viLR17Y14L

#2sporttv #sporttv2 #sport2tv #livesporttv #sporttvlive #sporttvportugal https://t.co/m7ao1FVy6U",False,"[0, 142]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1553354571732627456,1553354571732627456,2sportTV,2sporttv, Cardiff	United Kingdom,"2SportTV - Watch Live Football Matches Today
#2sporttv #sporttv2 #sport2tv #livesporttv #sporttvlive #sporttv #livesportontv
Mail: contact.2sporttv@gmail.com",https://t.co/JreUslP0uF,[],False,36,83,1,Sat Jul 30 12:19:34 +0000 2022,30,,,False,False,231,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607202437554896898/cixPlD2p_normal.jpg,https://pbs.twimg.com/profile_images/1607202437554896898/cixPlD2p_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,False,https://pbs.twimg.com/profile_banners/1553354571732627456/1672021897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/JreUslP0uF', 'expanded_url': 'https://2sport.tv', 'display_url': '2sport.tv', 'indices': [0, 23]}]",,,,,,,,,,
Wed Mar 08 16:47:04 +0000 2023,1633509651953356800,1633509651953356800,Tottenham drop AC Milan team news hint that highlights Daniel Levy Mauricio Pochettino decision https://t.co/6KmIxvlsE2 https://t.co/6Q6l5cRoSA,False,"[0, 119]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1423386804611285001,1423386804611285001,America's Finest City Spurs,FinestSpurs,"San Diego, California","America's Finest City Spurs is based in San Diego, CA. Our primary matchday meeting points are Fairplay and Bluefoot located in North Park, San Diego.",https://t.co/mGdtpnetOY,[],False,65,46,2,Thu Aug 05 20:54:18 +0000 2021,41,,,False,False,1963,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1425333164822601733/4Qt0qA-3_normal.jpg,https://pbs.twimg.com/profile_images/1425333164822601733/4Qt0qA-3_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,False,https://pbs.twimg.com/profile_banners/1423386804611285001/1676938606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/mGdtpnetOY', 'expanded_url': 'http://www.FinestSpurs.com', 'display_url': 'FinestSpurs.com', 'indices': [0, 23]}]",,,,,,,,,,
Wed Mar 08 16:46:29 +0000 2023,1633509501826474000,1633509501826474000,"Tottenham Hotspur vs AC Milan tickets available.
Only single tickets remaining
Meet at stadium.

Dm for more info. Vouched seller. 
@HotspurTickets",False,"[0, 147]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1084859695557459968,1084859695557459968,Dome of Tickets,DomeofTickets,,"Tickets for all football, rugby, nfl, boxing and concerts in UK. Check likes for vouches/reviews",,[],False,538,6,2,Mon Jan 14 17:08:01 +0000 2019,42,,,False,False,772,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632160250886254593/jP3XnnDV_normal.jpg,https://pbs.twimg.com/profile_images/1632160250886254593/jP3XnnDV_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:56 +0000 2023,1633509366367236096,1633509366367236096,I’ve got 2X tickets available for Tottenham hotSpur vs AC Milan for tonight. Kindly send a Dm if interested.#TicketsSpurs #SpursTicketCOYs #tottenhamtickets #Spurstickets #Tottenham #ChampionsLeague,False,"[0, 198]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,171061045,171061045,Karely💐🌺🌺❤️‍🩹,karely_shl,,,,[],False,218,47,0,Mon Jul 26 13:18:37 +0000 2010,5,,,False,False,147,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1629832846696218625/DMdd62ql_normal.jpg,https://pbs.twimg.com/profile_images/1629832846696218625/DMdd62ql_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,https://pbs.twimg.com/profile_banners/171061045/1677417418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:54 +0000 2023,1633509355277385729,1633509355277385729,"Hello everybody. I’m selling 3 tickets to watch the Round of 16 leg 2 of 2 between Tottenham vs AC Milan at the Tottenham Hotspur Stadium tonight, please dm if interested.#Spurs #tottenhamvsmilan #thfc #COYI #TottenhamMilan #TOTACM #Tottenhamtickets #Tottenham",False,"[0, 260]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,544763741,544763741,Andyy🦄,AndyyBery,"Islington, London",stay happy ❤️,,[],False,553,441,0,Wed Apr 04 02:15:01 +0000 2012,610,,,False,False,566,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1632218093631021058/-O55OBjU_normal.jpg,https://pbs.twimg.com/profile_images/1632218093631021058/-O55OBjU_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,https://pbs.twimg.com/profile_banners/544763741/1678278170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:01 +0000 2023,1633509134279507968,1633509134279507968,"Sadly I am selling 3x tickets for Tottenham Hotspur vs AC Milan , we’re unavailable for this game, that’s why I am putting them on sale, anyone interested in buying them should message me for details about the tickets and proof of tickets.",False,"[0, 239]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,174811944,174811944,Harry Jessica,Harry_jessica_,,"Be yourself,there is no one better.😘",,[],False,521,108,0,Wed Aug 04 22:04:42 +0000 2010,274,,,False,False,272,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1627595495903313921/mZZ_RMy-_normal.jpg,https://pbs.twimg.com/profile_images/1627595495903313921/mZZ_RMy-_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,https://pbs.twimg.com/profile_banners/174811944/1676883991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:56:51 +0000 2023,1633512112575193109,1633512112575193109,"Will this be Harry Kane's last attempt at winning a trophy with Tottenham.

Not in my opinion and with that in mind, here are my best bets for tonight's #ChampionsLeague clash with AC Milan.

Courtesy of @TheLinesUS 

https://t.co/laT7F88BKg",False,"[0, 241]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,601907830,601907830,Dan Tracey,dantracey1983,"Newcastle Upon Tyne, England","Spurs fan in #NUFC. Words/Voice/Stats For Hire. Contact For Content.
@realfootballpod @freebetsdotcom Pod Host. 
@nbsfc2018 Media Man. All views are mine #COYS",https://t.co/yXsPj9bYvQ,[],False,19488,19421,94,Thu Jun 07 14:12:18 +0000 2012,16381,,,True,False,58415,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1424789479471058948/Mw1cwhB__normal.jpg,https://pbs.twimg.com/profile_images/1424789479471058948/Mw1cwhB__normal.jpg,1B95E0,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,False,https://pbs.twimg.com/profile_banners/601907830/1609084822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/yXsPj9bYvQ', 'expanded_url': 'http://dantracey.com/', 'display_url': 'dantracey.com', 'indices': [0, 23]}]",,,,,,,,,,
Wed Mar 08 16:55:18 +0000 2023,1633511722207125523,1633511722207125523,"What a great week celebrating International Women's Day. From the  amazing Golf Networking Day to an incredible afternoon at The Tottenham Hotspur Stadium for the Women's Edition Virtual Conference. 

@everythinginspt #iwd23 https://t.co/DRoX2gMmaA",False,"[0, 224]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,4350016935,4350016935,James Roach,CoachRoach20,"South East, England","UEFA A license - FA Advanced Youth Award - BSc (hons) Sports, Fitness & Coaching",,[],False,936,808,2,Wed Dec 02 11:33:03 +0000 2015,3600,,,True,False,566,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1511589042554613760/KMJujbcL_normal.jpg,https://pbs.twimg.com/profile_images/1511589042554613760/KMJujbcL_normal.jpg,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,False,https://pbs.twimg.com/profile_banners/4350016935/1573126709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:38 +0000 2023,1633511304576081928,1633511304576081928,"Hey Spurs,I’m selling My 2x Tottenham ticket for the home game Tottenham vs Ac Milan
At Tottenham Hotspur Stadium
Wed 08 Mar 20:00
Kindly DM me if you’re interested #TottenhamHotspur #Tottenham #TottenhamHotspurTicket #TottenhamTicket #SpursTicket #ChampionsLeague #ACMilan",False,"[0, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3123770539,3123770539,Ellis,Ellis12274,,,,[],False,272,4,0,Wed Apr 01 10:04:58 +0000 2015,0,,,False,False,138,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1633374895793905664/npZr87mE_normal.jpg,https://pbs.twimg.com/profile_images/1633374895793905664/npZr87mE_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:17 +0000 2023,1633511214239162374,1633511214239162374,"Hey Spurs,I’m selling My 2x Tottenham ticket for the home game Tottenham vs Ac Milan
At Tottenham Hotspur Stadium
Wed 08 Mar 20:00
Kindly DM me if you’re interested #TottenhamHotspur #Tottenham #TottenhamHotspurTicket #TottenhamTicket #SpursTicket #ChampionsLeague #ACMilan",False,"[0, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,893539680544841729,893539680544841729,Dylan,dylan27012,,,,[],False,39,120,0,Fri Aug 04 18:30:35 +0000 2017,9,,,False,False,1189,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1624432311352557573/IqBGDYni_normal.jpg,https://pbs.twimg.com/profile_images/1624432311352557573/IqBGDYni_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:59 +0000 2023,1633511138582249474,1633511138582249474,@ChampionsLeague BAYERN MUNICH AND TOTTENHAM HOTSPUR ARE GOING TO WIN,False,"[17, 69]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6333619142890988e+18,1633361914289098758,627673190.0,627673190,ChampionsLeague,,,,,False,0,0,False,False,en,en,recent,1505657130086457345,1505657130086457345,@lucas mahamba,1Mahamba,,,,[],False,449,1122,0,Sun Mar 20 21:27:25 +0000 2022,759,,,False,False,1276,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1579411608887066624/vVymyTJr_normal.jpg,https://pbs.twimg.com/profile_images/1579411608887066624/vVymyTJr_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:17 +0000 2023,1633510965479178241,1633510965479178241,"That’s what I want too. But I can’t stand Conte and want him to continue flopping in Europe: 

But would love to go see Inter again at the Tottenham Hotspur Stadium https://t.co/BSS7KAMYc6",False,"[0, 164]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1123336531,1123336531,S Nerazzurro,SaifNerazzurro,"London, England",#ItIsWhatItIs,,[],False,3550,697,62,Sat Jan 26 22:28:57 +0000 2013,77511,,,True,False,65760,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1585621254450696198/cyNhIb2v_normal.jpg,https://pbs.twimg.com/profile_images/1585621254450696198/cyNhIb2v_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],1.6335103924742472e+18,1633510392474247168,True,https://pbs.twimg.com/profile_banners/1123336531/1666876555,Wed Mar 08 16:50:01 +0000 2023,1.6335103924742472e+18,1633510392474247168,"@SaifNerazzurro Spurs, in hope of Inter getting a game in London...",False,"[16, 67]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.63350875546266e+18,1633508755462660096,1123336531.0,1123336531,SaifNerazzurro,1.3533026606031176e+18,1353302660603117568,Rhys Griffiths,rhysdgriffiths,"Folkestone, England",Reporter @Kent_Online | Man of Kent | @folkestone_36 | Hopeless #FPL addict | Tweets self-destruct after one week,https://t.co/BrhlGfMzvS,"[{'url': 'https://t.co/BrhlGfMzvS', 'expanded_url': 'https://www.kentonline.co.uk/', 'display_url': 'kentonline.co.uk', 'indices': [0, 23]}]",[],False,1790.0,755.0,3.0,Sun Jan 24 11:24:39 +0000 2021,5349.0,,,False,True,48.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1413129069399474177/JNkgdkxP_normal.jpg,https://pbs.twimg.com/profile_images/1413129069399474177/JNkgdkxP_normal.jpg,https://pbs.twimg.com/profile_banners/1353302660603117568/1661363193,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,0.0,0.0,False,False,en,,,,,,,,,,,
