created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,geo.type,geo.coordinates,coordinates.type,coordinates.coordinates
Mon Mar 06 07:29:32 +0000 2023,1632644565852102656,1632644565852102656,Young Wolverhampton Wanderers forward John Richards talks about scoring five in a reserve team match https://t.co/C2kHPuHIMM,False,"[0, 100]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,10,False,False,False,en,en,recent,482059469,482059469,The League Magazine,Theleaguemag,,"Tons of great articles on the website. I also wrote a book, ‘Blue Army’ which is available in paperback from Amazon, or hardback directly from me",https://t.co/tlQTfBLVXh,"[{'url': 'https://t.co/tlQTfBLVXh', 'expanded_url': 'http://www.readtheleague.com', 'display_url': 'readtheleague.com', 'indices': [0, 23]}]",[],False,37647,1320,356,Fri Feb 03 13:43:41 +0000 2012,48249,,,False,False,163794,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1411236790980255745/Oo2a1R5S_normal.jpg,https://pbs.twimg.com/profile_images/1411236790980255745/Oo2a1R5S_normal.jpg,https://pbs.twimg.com/profile_banners/482059469/1348328750,CC0000,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 07:20:16 +0000 2023,1632642234511237124,1632642234511237124,"On this day in 1993 West Ham beat Wolverhampton Wanderers 3-1 at Upton Park in front of 24,697.

The goals came from Trevor Morley, Julian Dicks (pen) and Matt Holmes.

Before the kick off there were tributes paid to the recently departed Bobby Moore.

 https://t.co/0UqLMYMvA0",False,"[0, 277]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,10,139,False,False,False,en,en,recent,23578382,23578382,VINNYWHUFC,vinnywhufc,,West Ham United | Slough Town | Groundhopping | On This Day Goals,https://t.co/Z2ffO6CzFG,"[{'url': 'https://t.co/Z2ffO6CzFG', 'expanded_url': 'https://www.mixcloud.com/vinny-ryan/rb-slowdown-ep-167/', 'display_url': 'mixcloud.com/vinny-ryan/rb-…', 'indices': [0, 23]}]",[],False,16558,8503,13,Tue Mar 10 10:44:14 +0000 2009,26117,,,True,False,37078,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1570149979439636487/RORbs273_normal.jpg,https://pbs.twimg.com/profile_images/1570149979439636487/RORbs273_normal.jpg,https://pbs.twimg.com/profile_banners/23578382/1647679660,A803A3,000000,252429,666666,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06168d1feda43857,https://api.twitter.com/1.1/geo/id/06168d1feda43857.json,admin,South East,"South East, England",GB,United Kingdom,[],Polygon,"[[[-1.95729593780907, 50.5746064789388], [1.45178800018019, 50.5746064789388], [1.45178800018019, 52.1962850088601], [-1.95729593780907, 52.1962850088601]]]",,,,
Mon Mar 06 07:17:54 +0000 2023,1632641640316665857,1632641640316665857,"Our Wolves fans have their say on the win over Spurs.
https://t.co/d91r6347Pw",False,"[0, 77]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,557815881,557815881,Emma Walker,EmmaWalker_Star,"Wolverhampton, England",News editor at Express & Star & Shropshire Star. Got a story? Get in touch emma.walker@mnamedia.co.uk,https://t.co/V49NhtLSO8,"[{'url': 'https://t.co/V49NhtLSO8', 'expanded_url': 'http://www.expressandstar.co.uk', 'display_url': 'expressandstar.co.uk', 'indices': [0, 23]}]",[],False,1389,372,30,Thu Apr 19 13:55:33 +0000 2012,539,,,True,False,6667,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/820995554981318657/guHTTzFQ_normal.jpg,https://pbs.twimg.com/profile_images/820995554981318657/guHTTzFQ_normal.jpg,https://pbs.twimg.com/profile_banners/557815881/1484579300,0099CC,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:26:26 +0000 2023,1633504455957131264,1633504455957131264,"Newcastle United v Wolverhampton Wanderers Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Sunday's game at St James' Park

#NUFC #WWFC 
https://t.co/PcsCbdoSTF https://t.co/xgk2bRMzuO",False,"[0, 189]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:19 +0000 2023,1633503673455378434,1633503673455378434,Football and Climate Change Newsletter: Wolverhampton Wanderer's Energy and Carbon Report 21/22 https://t.co/ik1U7rOT0G,False,"[0, 119]","<a href=""https://substack.com/"" rel=""nofollow"">Substack</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1583080505498640387,1583080505498640387,Football and Climate Change Newsletter,fbandclimate,London,Reports on how climate change impacts football and football impacts climate change. Free fortnightly(ish) newsletter. RT≠endorsed,https://t.co/1r5700NQo1,"[{'url': 'https://t.co/1r5700NQo1', 'expanded_url': 'https://footballandclimatechange.substack.com/', 'display_url': 'footballandclimatechange.substack.com', 'indices': [0, 23]}]",[],False,368,1316,4,Thu Oct 20 12:59:50 +0000 2022,152,,,False,False,489,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1595564132471914496/gQqnIoct_normal.jpg,https://pbs.twimg.com/profile_images/1595564132471914496/gQqnIoct_normal.jpg,https://pbs.twimg.com/profile_banners/1583080505498640387/1666280106,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:21:36 +0000 2023,1633503241051725824,1633503241051725824,"Newcastle United v Wolverhampton Wanderers All-Time Premier League Match Records ahead of Sunday's game at St James' Park

Newcastle Wins: 3
Draws: 10
Wolves Wins: 2
Goals Scored: Newcastle 20-17 Wolves     

#NUFC #WWFC 
https://t.co/dh5hv3tR4R https://t.co/VP9PzmmFgP",False,"[0, 245]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:00:02 +0000 2023,1633497815690416128,1633497815690416128,"Adama Traore insists he is happy at Wolves and focused on his football, with his deal at the club set to expire in the summer

https://t.co/djJmdpMkSd #Wolves #WWFC",False,"[0, 164]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,3,False,False,False,en,en,recent,1458410711030325249,1458410711030325249,ESWolves_Star,ESWolves_star,Wolverhampton,The Express & Star's official Wolves Twitter page.,https://t.co/S4zrqQveLn,"[{'url': 'https://t.co/S4zrqQveLn', 'expanded_url': 'https://www.expressandstar.com/sport/football/wolverhampton-wanderers-fc/', 'display_url': 'expressandstar.com/sport/football…', 'indices': [0, 23]}]",[],False,5738,170,28,Wed Nov 10 12:26:55 +0000 2021,0,,,False,False,3178,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1458410869784776709/jIdqg-9d_normal.jpg,https://pbs.twimg.com/profile_images/1458410869784776709/jIdqg-9d_normal.jpg,https://pbs.twimg.com/profile_banners/1458410711030325249/1636548476,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:36:06 +0000 2023,1633491791369609216,1633491791369609216,"United travelled to Anfield on an 11-match unbeaten streak but suffered the club's worst defeat since losing 7-0 to Wolverhampton Wanderers in 1931, with some former players saying Fernandes should lose the captaincy for his petulant performance. https://t.co/Fx5kK7CeH6",False,"[0, 270]","<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1127312545243717632,1127312545243717632,CDE News,CDNewsDispatch,,Global Outlook. Local Perspectives. Your Daily News Feed,https://t.co/gf5OsOClXo,"[{'url': 'https://t.co/gf5OsOClXo', 'expanded_url': 'http://www.cde.news', 'display_url': 'cde.news', 'indices': [0, 23]}]",[],False,359,201,14,Sat May 11 20:40:30 +0000 2019,52,,,False,False,69418,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1440425493069582336/KBefQVsu_normal.jpg,https://pbs.twimg.com/profile_images/1440425493069582336/KBefQVsu_normal.jpg,https://pbs.twimg.com/profile_banners/1127312545243717632/1601277784,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:17:34 +0000 2023,1633487127194353664,1633487127194353664,Two bold changes Eddie Howe must make for Newcastle United’s clash against Wolverhampton Wanderers: https://t.co/64UwwqcaLl,False,"[0, 123]","<a href=""http://www.footballnewsapps.co.uk"" rel=""nofollow"">NUFC News Feed</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,2867085491,2867085491,NUFC News,NUFCNewsApp,St James Park,"iOS: https://t.co/jHOpstU1Bz
Android: https://t.co/h3GvTZ6Q7l",,,"[{'url': 'https://t.co/jHOpstU1Bz', 'expanded_url': 'https://apps.apple.com/gb/developer/jimhunty/id527521972', 'display_url': 'apps.apple.com/gb/developer/j…', 'indices': [5, 28]}, {'url': 'https://t.co/h3GvTZ6Q7l', 'expanded_url': 'https://play.google.com/store/apps/details?id=uk.co.jimhunty.nufcnews', 'display_url': 'play.google.com/store/apps/det…', 'indices': [38, 61]}]",False,437,184,6,Sat Nov 08 09:22:41 +0000 2014,7,,,False,False,103610,,False,False,False,404040,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/561259464943087616/b1I-1KKF_normal.png,https://pbs.twimg.com/profile_images/561259464943087616/b1I-1KKF_normal.png,https://pbs.twimg.com/profile_banners/2867085491/1422649713,000000,C0DEED,DDEEF6,333333,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:14:22 +0000 2023,1633486323213537285,1633486323213537285,Shop Official Retro #Wolves Shirts at https://t.co/zrE3VTsHtX https://t.co/3hrwwUVhME,False,"[0, 61]","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1030438330918465539,1030438330918465539,Live WWFC News,LiveWWFCNews,"Wolverhampton, England",Bringing you all the latest Wolves news from across the web in one place!,,,[],False,3185,2598,10,Fri Aug 17 12:56:57 +0000 2018,109,,,False,False,23728,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1355238704235880450/u1DFi4-v_normal.jpg,https://pbs.twimg.com/profile_images/1355238704235880450/u1DFi4-v_normal.jpg,https://pbs.twimg.com/profile_banners/1030438330918465539/1540129519,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:09:04 +0000 2023,1633484986325123075,1633484986325123075,"Football News: Wolverhampton Wanderers Accounts
https://t.co/R1bZ7rBgbV",False,"[0, 71]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1513316725151969281,1513316725151969281,VCP Soccer,VCPSoccer,,"VCP Soccer is a curated soccer (football) website that pulls in articles, photos, and videos from sites around the globe.",https://t.co/GV6d8TbJAp,"[{'url': 'https://t.co/GV6d8TbJAp', 'expanded_url': 'https://vcpsoccer.com/', 'display_url': 'vcpsoccer.com', 'indices': [0, 23]}]",[],False,714,1734,1,Mon Apr 11 00:43:31 +0000 2022,10,,,False,False,35038,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1513318008051179521/9n5QFJbW_normal.jpg,https://pbs.twimg.com/profile_images/1513318008051179521/9n5QFJbW_normal.jpg,https://pbs.twimg.com/profile_banners/1513316725151969281/1651037719,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:01:24 +0000 2023,1633483060757897219,1633483060757897219,"I've #justsponsored Grace Peters, who's fundraising for Wolverhampton Wanderers Foundation on @JustGiving. Donate now https://t.co/7sqrFhSr5H",False,"[0, 141]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,842347904,842347904,Dean Peters,DMGautocare,bromley/selsdon,"friendly reliable honest mobile mechanic, servicing, brakes, MOT prep, for all your car and van related needs call for a very competitive quote 07960170019",https://t.co/nAW24YYQDO,"[{'url': 'https://t.co/nAW24YYQDO', 'expanded_url': 'http://www.dmgautocare.co.uk', 'display_url': 'dmgautocare.co.uk', 'indices': [0, 23]}]",[],False,1858,2056,125,Sun Sep 23 20:23:43 +0000 2012,3917,,,False,False,16340,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799288843140792320/60TLtFBi_normal.jpg,https://pbs.twimg.com/profile_images/799288843140792320/60TLtFBi_normal.jpg,https://pbs.twimg.com/profile_banners/842347904/1426837926,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:00:02 +0000 2023,1633482716489613312,1633482716489613312,Two bold changes Eddie Howe must make for Newcastle United’s clash against Wolverhampton Wanderers | @CharIieBennett https://t.co/pDnJvmtiZC,False,"[0, 140]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,1,5,False,False,False,en,en,recent,65033270,65033270,The Chronicle,ChronicleNUFC,Newcastle upon Tyne,𝗡𝗲𝘄𝗰𝗮𝘀𝘁𝗹𝗲 𝗨𝗻𝗶𝘁𝗲𝗱 ⚫⚪ News | Live Updates | Opinion | Matches | Transfers  | Rumours | Podcast: https://t.co/r0ijJHj5Ew,https://t.co/EAlYF1Fyqo,"[{'url': 'https://t.co/EAlYF1Fyqo', 'expanded_url': 'https://www.chroniclelive.co.uk/nufc/', 'display_url': 'chroniclelive.co.uk/nufc/', 'indices': [0, 23]}]","[{'url': 'https://t.co/r0ijJHj5Ew', 'expanded_url': 'http://bit.ly/3vP0TQM', 'display_url': 'bit.ly/3vP0TQM', 'indices': [94, 117]}]",False,151218,266,669,Wed Aug 12 13:22:21 +0000 2009,1377,,,True,True,189188,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1567944157913563138/RWEqjlBM_normal.jpg,https://pbs.twimg.com/profile_images/1567944157913563138/RWEqjlBM_normal.jpg,https://pbs.twimg.com/profile_banners/65033270/1661178387,0084B4,BDDCAD,BEBFBD,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:26:26 +0000 2023,1633504455957131264,1633504455957131264,"Newcastle United v Wolverhampton Wanderers Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Sunday's game at St James' Park

#NUFC #WWFC 
https://t.co/PcsCbdoSTF https://t.co/xgk2bRMzuO",False,"[0, 189]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:19 +0000 2023,1633503673455378434,1633503673455378434,Football and Climate Change Newsletter: Wolverhampton Wanderer's Energy and Carbon Report 21/22 https://t.co/ik1U7rOT0G,False,"[0, 119]","<a href=""https://substack.com/"" rel=""nofollow"">Substack</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1583080505498640387,1583080505498640387,Football and Climate Change Newsletter,fbandclimate,London,Reports on how climate change impacts football and football impacts climate change. Free fortnightly(ish) newsletter. RT≠endorsed,https://t.co/1r5700NQo1,"[{'url': 'https://t.co/1r5700NQo1', 'expanded_url': 'https://footballandclimatechange.substack.com/', 'display_url': 'footballandclimatechange.substack.com', 'indices': [0, 23]}]",[],False,368,1316,4,Thu Oct 20 12:59:50 +0000 2022,152,,,False,False,489,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1595564132471914496/gQqnIoct_normal.jpg,https://pbs.twimg.com/profile_images/1595564132471914496/gQqnIoct_normal.jpg,https://pbs.twimg.com/profile_banners/1583080505498640387/1666280106,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:21:36 +0000 2023,1633503241051725824,1633503241051725824,"Newcastle United v Wolverhampton Wanderers All-Time Premier League Match Records ahead of Sunday's game at St James' Park

Newcastle Wins: 3
Draws: 10
Wolves Wins: 2
Goals Scored: Newcastle 20-17 Wolves     

#NUFC #WWFC 
https://t.co/dh5hv3tR4R https://t.co/VP9PzmmFgP",False,"[0, 245]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:00:02 +0000 2023,1633497815690416128,1633497815690416128,"Adama Traore insists he is happy at Wolves and focused on his football, with his deal at the club set to expire in the summer

https://t.co/djJmdpMkSd #Wolves #WWFC",False,"[0, 164]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,3,False,False,False,en,en,recent,1458410711030325249,1458410711030325249,ESWolves_Star,ESWolves_star,Wolverhampton,The Express & Star's official Wolves Twitter page.,https://t.co/S4zrqQveLn,"[{'url': 'https://t.co/S4zrqQveLn', 'expanded_url': 'https://www.expressandstar.com/sport/football/wolverhampton-wanderers-fc/', 'display_url': 'expressandstar.com/sport/football…', 'indices': [0, 23]}]",[],False,5738,170,28,Wed Nov 10 12:26:55 +0000 2021,0,,,False,False,3178,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1458410869784776709/jIdqg-9d_normal.jpg,https://pbs.twimg.com/profile_images/1458410869784776709/jIdqg-9d_normal.jpg,https://pbs.twimg.com/profile_banners/1458410711030325249/1636548476,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
