created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,user.profile_banner_url,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,geo.type,geo.coordinates,coordinates.type,coordinates.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status.user.entities.url.urls,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 16:52:18 +0000 2023,1633510967114965021,1633510967114965021,"@xKyrieIrving Southampton was 4 games ago.

last 4 matches:

Toney:

Total NPxG - 1.9
Total xA - 0.6
Per 90 - 0.62",False,"[14, 114]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6335100267309548e+18,1633510026730954752,9.843729705955205e+17,984372970595520513,xKyrieIrving,,,,,False,0,0,False,False,en,en,recent,1230940698712645634,1230940698712645634,Dino!,FPL_Dino,United Kingdom,"Not very good at memes.

Not very good at banter neither.

Take me with a pinch of salt.",,[],False,1775,2563,14,Fri Feb 21 19:41:55 +0000 2020,24714,,,True,False,11521,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1572155144422178816/Zpy4aa4b_normal.jpg,https://pbs.twimg.com/profile_images/1572155144422178816/Zpy4aa4b_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:13 +0000 2023,1633510946189475841,1633510946189475841,"2x Manchester United v Southampton tickets available dm for details 

#MUFC #Mufctickets 
#Manutd #Mufcspares 
#unitedtickets",False,"[0, 125]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1238396429183389696,1238396429183389696,Pablo_Mufc,Laikan_mufc,"Belfast, Northern Ireland",,,[],False,26,338,0,Fri Mar 13 09:28:23 +0000 2020,260,,,True,False,209,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628521418471219200/bW9bU00c_normal.jpg,https://pbs.twimg.com/profile_images/1628521418471219200/bW9bU00c_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:51:17 +0000 2023,1633510711597965321,1633510711597965321,"🇩🇪 Jurgen Klopp is Manager of the Week for masterminding the 7-0 demolition of Man United 🧠

🇪🇬 Mo Salah is Player of the Week for a 10/10 performance to become Liverpool’s all time PL goalscorer 🔥

Brentford, Brighton, Chelsea, Southampton &amp; Man City players all feature in… https://t.co/k5yU9qJN9o https://t.co/fIXJatkz4f",False,"[0, 303]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1155693250344300550,1155693250344300550,Matchday365,Matchday365,"Birmingham, AL, USA","Here to bring football fans together, providing unique stats, news, and stories along the way. DMs open.

IG: @Matchday365",https://t.co/mkIU3VSovt,[],False,16165,6470,69,Mon Jul 29 04:15:17 +0000 2019,28239,,,False,False,15371,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1401283724839473167/kPJQQjck_normal.jpg,https://pbs.twimg.com/profile_images/1401283724839473167/kPJQQjck_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/mkIU3VSovt', 'expanded_url': 'https://matchday365.wordpress.com/', 'display_url': 'matchday365.wordpress.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1155693250344300550/1652994770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:39 +0000 2023,1633510550389882881,1633510550389882881,"UEFA info pack for the Man United match says four members of the Betis squad have played in England: Claudio Bravo, Martin Montoya, Willian Jose &amp; Ayoze Perez. Cannot believe they forgot Juanmi's year at Southampton... https://t.co/EBKYF68Haa",False,"[0, 222]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,15,False,False,en,en,recent,19569290,19569290,Simon Peach,SimonPeach,"""Ubiquitous"" Gareth Southgate",Chief football writer at @PA - the national news agency for the UK & Ireland. Man Utd & England reporter. RTs aren’t endorsements. Views my own,https://t.co/maBUMwpXyb,[],False,145935,2856,1646,Tue Jan 27 00:51:36 +0000 2009,1165,,,False,True,54869,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1590110845023158275/PhTaedUN_normal.jpg,https://pbs.twimg.com/profile_images/1590110845023158275/PhTaedUN_normal.jpg,080808,000000,000000,7D7B7D,False,True,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/maBUMwpXyb', 'expanded_url': 'http://www.instagram.com/SimonPeach', 'display_url': 'instagram.com/SimonPeach', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/19569290/1627404825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:25 +0000 2023,1633510493624180764,1633510493624180764,Selling 2 Arsenal vs Southampton tickets (home end) £45 each👍👍,False,"[0, 62]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1631679489087340546,1631679489087340546,Jack Thomson,afc_thommo,,Arsenal🔴 Home and Away🔴🔴,,[],False,7,52,0,Fri Mar 03 15:34:48 +0000 2023,9,,,False,False,8,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631682269361451011/7dI4qZzV_normal.jpg,https://pbs.twimg.com/profile_images/1631682269361451011/7dI4qZzV_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:00 +0000 2023,1633510387655102464,1633510387655102464,"Willy Caballero has an important role to play at Southampton this season 🧐

#SaintsFC 

https://t.co/nUBUMQG0yq",False,"[0, 111]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,1265695822756315136,1265695822756315136,Saints Live,Saints_FCLive,"St. Mary's, Southampton.",All the latest Southampton FC news... ️⚽️,https://t.co/jmTIlE4aEc,[],False,4699,237,58,Wed May 27 17:27:21 +0000 2020,53,,,False,True,20617,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1268200530150645762/VemIMjaA_normal.jpg,https://pbs.twimg.com/profile_images/1268200530150645762/VemIMjaA_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/jmTIlE4aEc', 'expanded_url': 'https://www.hampshirelive.news/newsletter-preference-centre/', 'display_url': 'hampshirelive.news/newsletter-pre…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1265695822756315136/1662835583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:49:53 +0000 2023,1633510361327603712,1633510361327603712,16:49 - Red Jet 6 is leaving Southampton,False,"[0, 40]","<a href=""http://stanford-clark.com"" rel=""nofollow"">MQTTweetjects</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,14142862,14142862,redjets,redjets,"Southampton, UK",Automated tweets from Red Funnel RedJets. Contact us @RF_Travel_News. By @andysc,http://t.co/NUHnSb2NR2,[],False,1869,3,28,Thu Mar 13 22:09:25 +0000 2008,0,,,False,False,460109,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/51748358/redject_normal.jpg,https://pbs.twimg.com/profile_images/51748358/redject_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,"[{'url': 'http://t.co/NUHnSb2NR2', 'expanded_url': 'http://redfunnel.co.uk', 'display_url': 'redfunnel.co.uk', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:48:42 +0000 2023,1633510060348383235,1633510060348383235,"Disappointing result at Anfield but we can't let that hold us down.

We face Southampton after our mid week game against Real Betis.

#ManchesterUnited https://t.co/F7P46Ia9Eb",False,"[0, 151]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1039858297292120064,1039858297292120064,Cleveland Red Devils,CleRedDevils,"Cleveland, OH",We are the official Manchester United supporters group for the Greater Cleveland area. Join us on match days at The Old Angle Tavern in Ohio City.,https://t.co/Z78fWBrAxJ,[],False,511,203,4,Wed Sep 12 12:48:32 +0000 2018,1003,,,False,False,1294,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1626261991093415937/YNjA_Pas_normal.jpg,https://pbs.twimg.com/profile_images/1626261991093415937/YNjA_Pas_normal.jpg,DA291C,000000,000000,000000,False,True,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/Z78fWBrAxJ', 'expanded_url': 'https://cleveland-red-devils.mailchimpsites.com/', 'display_url': '…eveland-red-devils.mailchimpsites.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1039858297292120064/1676566062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:48:01 +0000 2023,1633509888604229632,1633509888604229632,"@CW9_MCFC @lauren_mcfc Southampton where you can get a coach return

Vs a game with no direct flights 

Take off your blue tinted blinkers",False,"[23, 138]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633508498188247e+18,1633508498188247043,1.4261762654390395e+18,1426176265439039498,CW9_MCFC,,,,,False,0,0,False,False,en,en,recent,1632024790688055296,1632024790688055296,Mullway,MUFC_Mullans,"Salford, England",Manchester United,,[],False,17,30,0,Sat Mar 04 14:26:53 +0000 2023,27,,,False,False,14,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632024885458239488/JpHCRNeD_normal.jpg,https://pbs.twimg.com/profile_images/1632024885458239488/JpHCRNeD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,https://pbs.twimg.com/profile_banners/1632024790688055296/1678110550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:47:08 +0000 2023,1633509668663304197,1633509668663304197,"@Qskii3 Yes, southampton when they go down imo",False,"[8, 46]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335094891889295e+18,1633509489188929537,1.5667772975873884e+18,1566777297587388417,Qskii3,,,,,False,0,0,False,False,en,en,recent,1385033586122891266,1385033586122891266,Ja©k,44Jackk,21,80% of my sports teams suck | @D3ADB0YS,https://t.co/kZzsvQCxXT,[],False,398,904,2,Thu Apr 22 00:52:04 +0000 2021,47911,,,False,False,43709,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627697455889260544/r4Op6hlY_normal.jpg,https://pbs.twimg.com/profile_images/1627697455889260544/r4Op6hlY_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/kZzsvQCxXT', 'expanded_url': 'https://open.spotify.com/user/316wmay2soiu5g44ckznv7tavn7i?si=H2Zl99gkRNuz-bELSTur1g&dl_branch=1', 'display_url': 'open.spotify.com/user/316wmay2s…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1385033586122891266/1675533903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:23 +0000 2023,1633509227720491008,1633509227720491008,"Flight: #KLM919
Reg: PH-EZR
Oper: Klm Cityhopper
Route: AMS-SOU Amsterdam Airport Schiphol to Southampton Airport
Type: Embraer, Embraer EMB-190 STD
Heading: SW
Speed: 432.7 mph @ 16375 ft
Squawk: 6270
Seen: 16:43:52 #MovingQuickly #AircraftSE1 https://t.co/ekmXTCSvPh",False,"[0, 244]","<a href=""https://twitter.com"" rel=""nofollow"">WhatsAboveSe1</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1531898947895189504,1531898947895189504,Air Traffic @ SE1,whats_above_SE1,"London, England",Just a bot tweeting live aircraft stats over the London SE1 area,,[],False,176,4,6,Wed Jun 01 07:22:34 +0000 2022,9,,,False,False,235786,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1531934910675619842/G0KdjWVZ_normal.jpg,https://pbs.twimg.com/profile_images/1531934910675619842/G0KdjWVZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,https://pbs.twimg.com/profile_banners/1531898947895189504/1654076848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:12 +0000 2023,1633509179649318913,1633509179649318913,He’ll be injured before the Southampton game this weekend 🤞🏽 https://t.co/laoavcogt9,False,"[0, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,376346579,376346579,𝔖𝔧𝔢𝔨𝔲𝔩𝔞 ® 💀,VuyaniMjwara,Right Here ! 👇🏽🤧🤷🏽‍♂️,Absolute Liberal • In Good Music I believe • YOLO • I’m not here to insult or offend but neither am I here to babysit feelings and nurse egos✌🏽,,[],False,1313,1129,6,Mon Sep 19 18:38:28 +0000 2011,29643,,,True,False,21862,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1631697195983306755/x_Yazbqj_normal.jpg,https://pbs.twimg.com/profile_images/1631697195983306755/x_Yazbqj_normal.jpg,800000,000000,000000,000000,True,True,False,False,False,False,False,none,[],False,,https://pbs.twimg.com/profile_banners/376346579/1566664602,1.6334921519579464e+18,1633492151957946370,Wed Mar 08 15:37:32 +0000 2023,1.6334921519579464e+18,1633492151957946370,Anthony Martial back training with the squad #MUFC https://t.co/0Z6lrgZMmN,False,"[0, 50]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,284660112.0,284660112,MUFC Scoop,MUFCScoop,"Old Trafford, Manchester","🔴 Manchester United — Latest News, Quotes, Pictures, Videos and Stats",,[],False,301089.0,195.0,1047.0,Tue Apr 19 18:23:12 +0000 2011,59.0,,,False,False,47381.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1520544831411564546/TrzXCjIU_normal.jpg,https://pbs.twimg.com/profile_images/1520544831411564546/TrzXCjIU_normal.jpg,https://pbs.twimg.com/profile_banners/284660112/1623840775,0084B4,FFFFFF,DDEEF6,333333,False,True,False,False,False,False,False,none,[],,,,,False,37.0,710.0,False,False,False,en,,,,,,,,,,,,,,,,,
Wed Mar 08 16:44:03 +0000 2023,1633508892482347010,1633508892482347010,[Southampton FC] Southampton head coach already able to look ahead to next season https://t.co/uUvstO2Nrs https://t.co/tjgmwflEoR,False,"[0, 105]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,2,2,False,False,en,en,recent,23475683,23475683,SaintsFC: Daily Echo,dailyechosaints,"Southampton, UK",Latest Southampton FC news from the @dailyecho #saintsfc. Also at https://t.co/AA4lULduwF and https://t.co/1zK8h0g6R0,https://t.co/IzezD42TIb,"[{'url': 'https://t.co/AA4lULduwF', 'expanded_url': 'http://fb.com/dailyechosaints', 'display_url': 'fb.com/dailyechosaints', 'indices': [66, 89]}, {'url': 'https://t.co/1zK8h0g6R0', 'expanded_url': 'http://Instagram.com/dailyechosaints', 'display_url': 'Instagram.com/dailyechosaints', 'indices': [94, 117]}]",False,28751,113,291,Mon Mar 09 18:28:22 +0000 2009,13,,,True,True,22891,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1511654758716747778/OTY4z5hu_normal.png,https://pbs.twimg.com/profile_images/1511654758716747778/OTY4z5hu_normal.png,FF100A,FD0A08,C9CCC7,333333,True,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/IzezD42TIb', 'expanded_url': 'http://dailyecho.co.uk/saints', 'display_url': 'dailyecho.co.uk/saints', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/23475683/1669973307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,"[50.92752328, -1.4744752]",Point,"[-1.4744752, 50.92752328]",06168d1feda43857,https://api.twitter.com/1.1/geo/id/06168d1feda43857.json,admin,South East,"South East, England",GB,United Kingdom,[],Polygon,"[[[-1.95729593780907, 50.5746064789388], [1.45178800018019, 50.5746064789388], [1.45178800018019, 52.1962850088601], [-1.95729593780907, 52.1962850088601]]]",,,
Wed Mar 08 16:43:36 +0000 2023,1633508777927360512,1633508777927360512,"@Qskii3 That managers still in there, give him southampton job",False,"[8, 62]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335036158170644e+18,1633503615817064454,1.5667772975873884e+18,1566777297587388417,Qskii3,,,,,False,0,0,False,False,en,en,recent,1385033586122891266,1385033586122891266,Ja©k,44Jackk,21,80% of my sports teams suck | @D3ADB0YS,https://t.co/kZzsvQCxXT,[],False,398,904,2,Thu Apr 22 00:52:04 +0000 2021,47911,,,False,False,43709,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627697455889260544/r4Op6hlY_normal.jpg,https://pbs.twimg.com/profile_images/1627697455889260544/r4Op6hlY_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/kZzsvQCxXT', 'expanded_url': 'https://open.spotify.com/user/316wmay2soiu5g44ckznv7tavn7i?si=H2Zl99gkRNuz-bELSTur1g&dl_branch=1', 'display_url': 'open.spotify.com/user/316wmay2s…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1385033586122891266/1675533903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:43:07 +0000 2023,1633508654484791312,1633508654484791312,"Great to speak at Southampton’s #StrongFemaleLead event today, alongside the incredible and legendary @DameWendyDBE - and meet other amazing women from all professional backgrounds. 

Inspiring stuff! 

So much achieved, yet so much more to do. The work goes on.

#IWD2023 💪🏾 https://t.co/PtbzYLJfxm",False,"[0, 275]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,522273829,522273829,Satvir Kaur,LabourSatvir,Southampton,Labour Council Leader of @SouthamptonCC and Parliamentary Candidate for Southampton Test. Proud Sotonian. Love people & food. She/Her (all views my own),,[],False,5994,686,51,Mon Mar 12 13:59:41 +0000 2012,13910,,,True,False,8668,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/777467685487673345/Wq1dmpHU_normal.jpg,https://pbs.twimg.com/profile_images/777467685487673345/Wq1dmpHU_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,https://pbs.twimg.com/profile_banners/522273829/1411571156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:42:49 +0000 2023,1633508580136558593,1633508580136558593,"@jhowell694 But if we can't compete for (afford) the biggest proven players, it's odd that we think we can compete for the biggest proven managers.

And our best spell of recent times came under a somewhat low-key unproven manager we got from Southampton.",False,"[12, 255]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334609435136123e+18,1633460943513612299,1.4273322145351148e+18,1427332214535114758,jhowell694,,,,,False,0,1,False,False,en,en,recent,1567126792304992258,1567126792304992258,Gavin Pearson,Spurs_Optimist,,Long time Spurs fan. Still optimistic. #COYS,,[],False,97,127,2,Tue Sep 06 12:25:28 +0000 2022,2856,,,False,False,1959,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1567974221417955329/g0qB2-SC_normal.jpg,https://pbs.twimg.com/profile_images/1567974221417955329/g0qB2-SC_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,https://pbs.twimg.com/profile_banners/1567126792304992258/1662467723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:42:29 +0000 2023,1633508498188247043,1633508498188247043,"@MUFC_Mullans @lauren_mcfc Southampton mid week carabao and real betis European knockout game are so so similar aren’t they! 

Thought you had 4 billion on the waiting list?",False,"[27, 173]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335069125316116e+18,1633506912531611648,1.6320247906880553e+18,1632024790688055296,MUFC_Mullans,,,,,False,0,1,False,False,en,en,recent,1426176265439039498,1426176265439039498,Ναthan,CW9_MCFC,Manchester,IG: mcfcnathan,,[],False,2410,258,13,Fri Aug 13 13:38:20 +0000 2021,37303,,,False,False,12353,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628670080681709568/9_D3RaFd_normal.jpg,https://pbs.twimg.com/profile_images/1628670080681709568/9_D3RaFd_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,https://pbs.twimg.com/profile_banners/1426176265439039498/1675890474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:42:25 +0000 2023,1633508478303051777,1633508478303051777,"Are You A Good Person?
Subtitles-Select language-Auto-translate
https://t.co/9J0ihzHEKi
#Birmingham #Nottingham #Leicester #Bath #Newcastle #Oksford #Kingston #Cambridge #York #UnitedKingdom #England #Londyn #Bristol #Manchester #BorisJohnson #Southampton #Coventry #Portsmouth https://t.co/flaxfTjHDQ",False,"[0, 277]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1379720482417741825,1379720482417741825,Marcin,Marcin_34m,,,,[],False,73,216,0,Wed Apr 07 09:05:21 +0000 2021,12684,,,False,False,15157,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1379725912883793921/ttb7uBNO_normal.jpg,https://pbs.twimg.com/profile_images/1379725912883793921/ttb7uBNO_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,https://pbs.twimg.com/profile_banners/1379720482417741825/1618059207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
