created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.profile_banner_url,user.entities.url.urls,quoted_status_id,quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.place.id,quoted_status.place.url,quoted_status.place.place_type,quoted_status.place.name,quoted_status.place.full_name,quoted_status.place.country_code,quoted_status.place.country,quoted_status.place.contained_within,quoted_status.place.bounding_box.type,quoted_status.place.bounding_box.coordinates,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 16:52:50 +0000 2023,1633511103563984896,1633511103563984896,"He's Back💚✅❕❕
@Arsenal 
#Gunners 
#Jesus https://t.co/ThTvxVxYWU",False,"[0, 40]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1537893091725570048,1537893091725570048,suleiman usman sokomba,SuleimanSokomba,,,,[],False,18,208,0,Fri Jun 17 20:21:33 +0000 2022,459,,,False,False,631,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1613598862974779403/t6N1oQJZ_normal.jpg,https://pbs.twimg.com/profile_images/1613598862974779403/t6N1oQJZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:47 +0000 2023,1633511091283140634,1633511091283140634,@Rory_Talks_Ball Good luck Arsenal good,False,"[17, 39]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633428300528771e+18,1633428300528771074,1.507459023414698e+18,1507459023414697985,Rory_Talks_Ball,,,,,False,0,0,False,False,,en,en,recent,1622132260446109697,1622132260446109697,Abdui Jelili opeyemi Opeyemi,AbduiJelili,,,,[],False,3,111,0,Sun Feb 05 07:20:30 +0000 2023,62,,,False,False,66,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1622135462121902084/jCv5lyOr_normal.jpg,https://pbs.twimg.com/profile_images/1622135462121902084/jCv5lyOr_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:44 +0000 2023,1633511076942807040,1633511076942807040,"@Arsenal_Blog @Lionesses Not different hours, but possibly in some secondaries different sports offered",False,"[25, 103]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633362672556073e+18,1633362672556072964,128651301.0,128651301,Arsenal_Blog,,,,,False,0,0,False,False,,en,en,recent,1349293850,1349293850,Vicki ❤️📚🍫,chocfan1,"England, United Kingdom","Adviser at Hants SLS, governor at a Surrey secondary school, wife, mum, lover of books, beaches & chocolate - together when possible! All opinions are my own...",,[],False,244,675,1,Sat Apr 13 13:49:00 +0000 2013,9407,,,False,False,1625,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1562214644881788928/gRM858-D_normal.jpg,https://pbs.twimg.com/profile_images/1562214644881788928/gRM858-D_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1349293850/1647097295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:41 +0000 2023,1633511064846454784,1633511064846454784,hector back w his arsenal 2014 haircut is driving me crazyyyyy,False,"[0, 62]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1556714916194799620,1556714916194799620,🌊,viscahamiltxn,fcb • team lh,"• i've got my eye on you •
@lewishamilton",,[],False,205,176,1,Mon Aug 08 18:52:22 +0000 2022,7192,,,False,False,8114,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620884180321148962/qMla3tGv_normal.jpg,https://pbs.twimg.com/profile_images/1620884180321148962/qMla3tGv_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1556714916194799620/1675283877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:37 +0000 2023,1633511047708688385,1633511047708688385,@MisssMelina @Arsenal Happy women’s day Mel,False,"[22, 43]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335041837342065e+18,1633504183734206465,3412981565.0,3412981565,MisssMelina,,,,,False,0,0,False,False,,en,en,recent,875117165875212288,875117165875212288,RICE KILO,brice_ngeh,Bamenda ,Sports Soccer,,[],False,364,805,0,Wed Jun 14 22:26:06 +0000 2017,20825,,,True,False,1491,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620351884014780419/0DMwjxRl_normal.jpg,https://pbs.twimg.com/profile_images/1620351884014780419/0DMwjxRl_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/875117165875212288/1596441518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:33 +0000 2023,1633511030059077633,1633511030059077633,Arsenal fans anticipate return of Jesus https://t.co/CTQynNbNlh,False,"[0, 63]","<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,3010719202,3010719202,News Round The Clock,NRTCNigeria,,"NRTC is your one-stop hub for rich and reliable content covering entertainment, sports, politics, business, and more...",https://t.co/mrw9DyKtt2,[],False,6162,227,4,Sun Feb 01 18:43:26 +0000 2015,3371,,,False,False,10725,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1269762818267656199/3oXI_Zsf_normal.jpg,https://pbs.twimg.com/profile_images/1269762818267656199/3oXI_Zsf_normal.jpg,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/3010719202/1673036021,"[{'url': 'https://t.co/mrw9DyKtt2', 'expanded_url': 'https://www.newsroundtheclock.com/', 'display_url': 'newsroundtheclock.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:32 +0000 2023,1633511028012064769,1633511028012064769,Cancelo to Arsenal ? Who says no ? I love Ben White btw but I do think he’s an upgrade. He can also play LB if KT goes Newcastle. And again I love KT but cancelo over him all day. https://t.co/yEkf3I7qwB,False,"[0, 179]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,False,en,en,recent,1279449699431469057,1279449699431469057,arteta’s red army ! 🔴⚪️,saim187,"Manchester, England",Arsenal F.C. My views are my own.,,[],False,114,113,0,Sat Jul 04 16:19:21 +0000 2020,435,,,True,False,6660,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627471547173687296/eqs6PRRN_normal.jpg,https://pbs.twimg.com/profile_images/1627471547173687296/eqs6PRRN_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1279449699431469057/1662079213,,1.6335098460614042e+18,1633509846061404160,315b740b108481f6,https://api.twitter.com/1.1/geo/id/315b740b108481f6.json,city,Manchester,"Manchester, England",GB,United Kingdom,[],Polygon,"[[[-2.319934, 53.343623], [-2.147026, 53.343623], [-2.147026, 53.5702824], [-2.319934, 53.5702824]]]",Wed Mar 08 16:47:51 +0000 2023,1.6335098460614042e+18,1633509846061404160,"🇵🇹 Bayern Munich have rejected the chance to sign Joao Cancelo permanently, with Chelsea now reportedly ready to make a shock move 👀👇 https://t.co/KPqKI4qXco",False,"[0, 157]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,23075315.0,23075315,TEAMtalk,TEAMtalk,"Leeds, UK","Football transfer gossip and rumours, breaking news, stats, exclusive features and more...👇",https://t.co/0UB4N4Z2dr,"[{'url': 'https://t.co/0UB4N4Z2dr', 'expanded_url': 'http://www.teamtalk.com', 'display_url': 'teamtalk.com', 'indices': [0, 23]}]",[],False,88863.0,7668.0,1313.0,Fri Mar 06 15:19:44 +0000 2009,5541.0,,,False,True,188687.0,,False,False,False,156946,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1583035846290292737/g0neNv08_normal.jpg,https://pbs.twimg.com/profile_images/1583035846290292737/g0neNv08_normal.jpg,https://pbs.twimg.com/profile_banners/23075315/1666260132,156946,FFFFFF,F1F5EF,050605,True,True,False,False,False,False,False,none,[],,,,,False,0.0,1.0,False,False,False,en,,,,,,,,,,,,
Wed Mar 08 16:52:32 +0000 2023,1633511025143324672,1633511025143324672,@BaaBaaBet @realmadriden @Arsenal @AvaxScheun @Nirund14 @aaronntay @CharlieAVAX @ItzStr8Luck @cryptochimba @RicardOruka @GuyByTheStreet See Tuchel now. From top manager to mediocre because he took the job at Chelsea.,False,"[136, 216]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6335100437642732e+18,1633510043764273153,1.591683787456389e+18,1591683787456389120,BaaBaaBet,,,,,False,0,1,False,False,,en,en,recent,160572781,160572781,zizou.avax,zi_dune,,Retired soccer player. Humble man.,,[],False,2,2,0,Mon Jun 28 15:11:53 +0000 2010,11,,,False,False,19,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1628321745315971074/P3jfV8p9_normal.jpg,https://pbs.twimg.com/profile_images/1628321745315971074/P3jfV8p9_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/160572781/1677057308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:27 +0000 2023,1633511006810042368,1633511006810042368,"I never thought that what is in manga can only be done just in manga. 
But it can also be done in the real world. I thought what Aoi does as a leftback can't be done in the real world. it turns out that the most similar to Aoi did is Zinchenko.
#Arsenal#COYG https://t.co/8gkQvBd0kS",False,"[0, 258]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1208728147136524288,1208728147136524288,Raihansyah.A.D,RaihansyahAD,,Just original human being,,[],False,8,19,0,Sun Dec 22 12:37:11 +0000 2019,18,,,False,False,25,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313118624790519815/RVxP-Z_r_normal.jpg,https://pbs.twimg.com/profile_images/1313118624790519815/RVxP-Z_r_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1208728147136524288/1577019129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:26 +0000 2023,1633511001504063521,1633511001504063521,@Sharkfinn721 @TrollFootball This a pure Arsenal Mentality no wonder🚮,False,"[29, 69]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334754569544253e+18,1633475456954425344,1.4218034957164462e+18,1421803495716446208,Sharkfinn721,,,,,False,0,0,False,False,,en,en,recent,1565596721819828225,1565596721819828225,Swalehy @Pax Apuuli,Swalehypax,Fortportal ,A proud Clinician and A man Utd fan💪💪,,[],False,57,51,0,Fri Sep 02 07:06:26 +0000 2022,16873,,,True,False,1476,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1565603593717153794/hpLq0KSN_normal.jpg,https://pbs.twimg.com/profile_images/1565603593717153794/hpLq0KSN_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1565596721819828225/1662103958,,,,00c9ebb5278be587,https://api.twitter.com/1.1/geo/id/00c9ebb5278be587.json,admin,Kabarole,"Kabarole, Uganda",UG,Uganda,[],Polygon,"[[[29.9904013, 0.2662199], [30.5623557, 0.2662199], [30.5623557, 0.9759216], [29.9904013, 0.9759216]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:25 +0000 2023,1633510998509330456,1633510998509330456,"She cried at Chelsea store, now crying at arsenal. Women move on so fast. Herh Mama Frello smh https://t.co/gL8nYVOfII",False,"[0, 94]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,0,False,False,False,en,en,recent,360476499,360476499,Allen,MenameisAllen,location not found ,I believe in miracles. Zionite,,[],False,4559,1622,10,Tue Aug 23 08:14:35 +0000 2011,4281,,,True,False,121772,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1629919958372081664/AJ4j1IEJ_normal.jpg,https://pbs.twimg.com/profile_images/1629919958372081664/AJ4j1IEJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/360476499/1651913804,,1.633314977363755e+18,1633314977363755011,,,,,,,,,,,Wed Mar 08 03:53:30 +0000 2023,1.633314977363755e+18,1633314977363755011,🥺 Jorginho’s mother crying as she sees his shirt in the Arsenal dressing room. #afc https://t.co/otPndwI10W,False,"[0, 83]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.1289484942601585e+18,1128948494260158464,DailyAFC,DailyAFC,Arsenal News ➡️,"🚨 Bringing the latest updates, stats, team & transfer news about Arsenal Football Club.

📸 IG: https://t.co/XAEDtIQqrr",https://t.co/jlSFaeduTu,"[{'url': 'https://t.co/jlSFaeduTu', 'expanded_url': 'https://dailyafc.com', 'display_url': 'dailyafc.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/XAEDtIQqrr', 'expanded_url': 'http://instagram.com/dailyafc_', 'display_url': 'instagram.com/dailyafc_', 'indices': [95, 118]}]",False,102579.0,655.0,778.0,Thu May 16 09:01:10 +0000 2019,13829.0,,,False,False,16085.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1286238930539614211/3TpHoBem_normal.jpg,https://pbs.twimg.com/profile_images/1286238930539614211/3TpHoBem_normal.jpg,https://pbs.twimg.com/profile_banners/1128948494260158464/1677006996,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,1155.0,13531.0,False,False,False,en,,,,,,,,,,,,
Wed Mar 08 16:52:24 +0000 2023,1633510993954324480,1633510993954324480,"In April Liverpool play...
• Manchester City (a)
• Chelsea (a)
• Arsenal (h)
• Leeds (a)
• Forest (h)
• West Ham (a)
• Spurs (h) https://t.co/lbd2oT00gk",False,"[0, 128]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1148221499544940546,1148221499544940546,Anyone But United TV,AnyoneButUtdTV,Everywhere,"It's the watch-along channel for fans who love to see Manchester United lose and, ideally, lose badly.",https://t.co/wz5tJimnO1,[],False,3210,1305,2,Mon Jul 08 13:25:13 +0000 2019,1334,,,False,False,2276,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1600794888395710468/DoMLVH1F_normal.jpg,https://pbs.twimg.com/profile_images/1600794888395710468/DoMLVH1F_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1148221499544940546/1678055394,"[{'url': 'https://t.co/wz5tJimnO1', 'expanded_url': 'https://www.tiktok.com/@anyonebutunitedtv', 'display_url': 'tiktok.com/@anyonebutunit…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:22 +0000 2023,1633510985964167180,1633510985964167180,I’d like for arsenal to buy him…..then we could use Jesus as Rw sometimes to give Saka a rest…n Eddie as our 3rd striker 👀,False,"[0, 122]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335095966554358e+18,1633509596655435777,477831084.0,477831084,str8cashsunny,,,,,False,0,0,False,False,,en,en,recent,477831084,477831084,Pablo Dominguez 🇪🇸,str8cashsunny,,If ur reading this...ur truly a twitter addict...who reads bios?? Lol. instagram/snapchat Str8cashsunny #Arsenalfc,,[],False,608,287,3,Sun Jan 29 16:24:05 +0000 2012,7517,,,True,False,51774,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1594571945487568899/mopPiLgQ_normal.jpg,https://pbs.twimg.com/profile_images/1594571945487568899/mopPiLgQ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/477831084/1650619806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:19 +0000 2023,1633510970839506953,1633510970839506953,@SheWore @RedCabra @RikkiGreen @Arsenal Is that right.  As a percentage what’s the chances of a red v silver member being successful. Ie membership numbers versus availability?,False,"[40, 176]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633510088022405e+18,1633510088022405121,77797994.0,77797994,SheWore,,,,,False,0,0,False,False,,en,en,recent,24606183,24606183,tim payton,timpayton,North London,"Sports communications for work. Also tweet own views on Arsenal's ownership, finances & governance; custodianship matters: Join the AST.",https://t.co/BT00yylvEJ,[],False,54768,782,1024,Sun Mar 15 23:17:35 +0000 2009,1254,,,True,False,27683,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/469137459037495296/oDy7SV82_normal.jpeg,https://pbs.twimg.com/profile_images/469137459037495296/oDy7SV82_normal.jpeg,FF0000,F2E195,FFF7CC,0C3E53,True,True,False,False,False,False,False,none,[],,"[{'url': 'https://t.co/BT00yylvEJ', 'expanded_url': 'http://arsenaltrust.org', 'display_url': 'arsenaltrust.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:17 +0000 2023,1633510963595943950,1633510963595943950,"@theKloppEnd_ You see what happened to arsenal when they went half hearted. Salah woudlnt even want that either especially when he has just had a weeks rest, not like we play mid week",False,"[14, 183]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335039267198607e+18,1633503926719860738,1.3317034992441385e+18,1331703499244138496,theKloppEnd_,,,,,False,0,0,False,False,,en,en,recent,719533425015857152,719533425015857152,Josh,josh__al,,,,[],False,86,356,1,Mon Apr 11 14:31:51 +0000 2016,108836,,,False,False,6698,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1602777187278528513/uAey4lrQ_normal.jpg,https://pbs.twimg.com/profile_images/1602777187278528513/uAey4lrQ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/719533425015857152/1670275781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:16 +0000 2023,1633510958759911432,1633510958759911432,The Arsenal have arrived https://t.co/E9pNQHQdd1,False,"[0, 24]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,549424336,549424336,Thorney,alfiethorne2012,United Kingdom,🔴⚪️,,[],False,933,1688,2,Mon Apr 09 18:03:53 +0000 2012,7027,,,True,False,10802,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1410184562219618307/CoeDAOnn_normal.jpg,https://pbs.twimg.com/profile_images/1410184562219618307/CoeDAOnn_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/549424336/1674489118,,,,8198e85105936d3c,https://api.twitter.com/1.1/geo/id/8198e85105936d3c.json,country,Portugal,Portugal,PT,Portugal,[],Polygon,"[[[-31.2688154, 30.0302839], [-6.1902091, 30.0302839], [-6.1902091, 42.1542048], [-31.2688154, 42.1542048]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:02 +0000 2023,1633510900517806088,1633510900517806088,@rkidnunez Lost to arsenal and someone else I think. Drew with palace,False,"[11, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.63351004329848e+18,1633510043298480128,1.5632789882353746e+18,1563278988235374597,rkidnunez,,,,,False,0,0,False,False,,en,en,recent,857294492885549057,857294492885549057,Rob,_18Robbo92_,Liverpool,,,[],False,279,325,1,Wed Apr 26 18:05:09 +0000 2017,26212,,,True,False,16423,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1598481559534854144/hdPojRfc_normal.jpg,https://pbs.twimg.com/profile_images/1598481559534854144/hdPojRfc_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/857294492885549057/1678042948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:51:57 +0000 2023,1633510878657093646,1633510878657093646,@Arsenal It’s gonna be a champions league trip soon 😭,False,"[9, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6334991134875853e+18,1633499113487585280,34613288.0,34613288,Arsenal,,,,,False,0,1,False,False,,en,en,recent,1613968274051432450,1613968274051432450,Basit,Arsenalin98,Somewhere very cold,Addicted to Arsenal and Messi ⚽️,,[],False,15,173,0,Fri Jan 13 18:36:54 +0000 2023,6832,,,False,False,333,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623409080273408004/Ejwry0W-_normal.jpg,https://pbs.twimg.com/profile_images/1623409080273408004/Ejwry0W-_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1613968274051432450/1675885891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
