created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.possibly_sensitive
Wed Mar 08 16:53:28 +0000 2023,1633511260972097540,1633511260972097540,"@GlennJa36738454 Hi mate, the Newcastle United Mishmash jigsaw is now available at https://t.co/yvfCvOVYpF 👍🏻",False,"[17, 109]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.5273163715789824e+18,1527316371578982400,3243334203.0,3243334203,GlennJa36738454,,,,,False,0,0,False,False,False,en,en,recent,230191146,230191146,Alex Bennett,footymishmash,"Yarm, North Yorkshire. England","Sport obsessed illustrator. I sell prints of my stuff here... Clients include; Man City, Paddy Power, West Ham & Watford FC. https://t.co/M4v88dmPLh",https://t.co/syzNfemsRU,"[{'url': 'https://t.co/syzNfemsRU', 'expanded_url': 'http://www.roundheadillustration.com', 'display_url': 'roundheadillustration.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/M4v88dmPLh', 'expanded_url': 'http://roundheadillustration.com', 'display_url': 'roundheadillustration.com', 'indices': [125, 148]}]",False,9999,1137,58,Fri Dec 24 15:08:26 +0000 2010,1332,,,True,False,14807,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1241162837994725377/-IuBhjEC_normal.jpg,https://pbs.twimg.com/profile_images/1241162837994725377/-IuBhjEC_normal.jpg,https://pbs.twimg.com/profile_banners/230191146/1597782933,1B95E0,000000,252429,666666,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:00 +0000 2023,1633509129917538322,1633509129917538322,"Newcastle United are interested in Alex Grimaldo and contact has now been made with the Benfica star’s representatives.

That’s according to Spanish newspaper AS, who claim that Grimaldo is attracting major interest.",False,"[0, 216]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,,en,en,recent,2263640102,2263640102,RumorsTransfersNews24/7 📰,rumorstransfers,"Barca treble 2009,15 🏆🏆🏆(ALW replies) ","Keep up with the latest transfer news  right here! rumours ,gossip from Euro,EFL,MLS ,South America newspapers  around the web, scout talents, quizzes 24/7📰⚽️",https://t.co/hOU5enl2gG,"[{'url': 'https://t.co/hOU5enl2gG', 'expanded_url': 'https://rumorstransfers.wordpress.com/', 'display_url': 'rumorstransfers.wordpress.com', 'indices': [0, 23]}]",[],False,5764,5119,64,Fri Dec 27 02:27:48 +0000 2013,75750,,,False,False,101130,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1303411329487822848/tOf-IfAF_normal.jpg,https://pbs.twimg.com/profile_images/1303411329487822848/tOf-IfAF_normal.jpg,https://pbs.twimg.com/profile_banners/2263640102/1579813017,91D2FA,000000,000000,000000,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:41:45 +0000 2023,1633508311197708288,1633508311197708288,"@CraigKean4 @CPFC This is points gained coming from behind, not points dropped from in front. Newcastle United have 4 draws from games where they were behind. (MCI home, Wolves Away, Bournemouth home and Bournemouth away).",False,"[18, 222]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6335054681727058e+18,1633505468172705809,1.0834472236717588e+18,1083447223671758854,CraigKean4,,,,,False,0,0,False,False,,en,en,recent,1073208617514516481,1073208617514516481,TheOther14,Other14The,,"Stats and tables for the players and teams other than the ""big 6"" in the English Premier League.  (Thats ""big 6"" not top 6).",,,[],False,41934,628,188,Thu Dec 13 13:30:48 +0000 2018,1620,,,False,False,9391,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1075848426842177544/bH4vaQ5k_normal.jpg,https://pbs.twimg.com/profile_images/1075848426842177544/bH4vaQ5k_normal.jpg,https://pbs.twimg.com/profile_banners/1073208617514516481/1653845692,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:41:31 +0000 2023,1633508253815513093,1633508253815513093,"@mulletrider Spurs deserve no happiness and no good things ever. Neither do Manchester United. Liverpool I can accept, Newcastle I agree with the other person saying their rise needs to be delayed as long as possible. Not sure who that leaves, can I have Brighton?",False,"[13, 264]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6335027879914783e+18,1633502787991478273,340413554.0,340413554,mulletrider,,,,,False,0,2,False,False,,en,en,recent,3246869357,3246869357,jan,janhopi,,pigs.....in there?,,,[],False,1154,854,9,Mon May 11 22:03:59 +0000 2015,33943,,,False,False,36468,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1631656226932105217/e2jyO5e__normal.jpg,https://pbs.twimg.com/profile_images/1631656226932105217/e2jyO5e__normal.jpg,,FA743E,000000,000000,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:30:17 +0000 2023,1633505428385722373,1633505428385722373,Allan Saint-Maximin's latest act of kindness as Newcastle United fan goes viral #HowayTheLads #ToonArmy #Toon #NUFC https://t.co/jgFBycMJTX,False,"[0, 139]","<a href=""https://socialbee.com/"" rel=""nofollow"">SocialBee</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,348171640,348171640,Newcastle Utd Fans,geordienewsonly,,Newcastle Utd News & Views. Fan Page NOT linked to Official Club  #GallowgateEnd #StJamesPark #NewcastleUtd #HowayTheLads #NUFCFans #ToonArmy #Toon #NUFC,,,[],False,1378,798,9,Thu Aug 04 00:24:30 +0000 2011,0,,,False,False,60134,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/921082353794957312/-qCH5lxt_normal.jpg,https://pbs.twimg.com/profile_images/921082353794957312/-qCH5lxt_normal.jpg,https://pbs.twimg.com/profile_banners/348171640/1433456025,89C9FA,000000,FFFFFF,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:30:00 +0000 2023,1633505357543923712,1633505357543923712,"""Their time will come, and let's hope it's not too long.""
 
🙋🏼‍♂️ @alanshearer reflects on Newcastle United's loss at Wembley and Bruno Guimarães picking up the 2022 Player of the Year award at @theofficialfwa North East awards.

🎙 @leephelps https://t.co/liRTk9WWPa",False,"[0, 242]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,16667278,16667278,William Hill,WilliamHill,,"It's who you play with | Home of #YourOdds |🏇 @WillHillRacing | @WillHillHelp

18+ | Find out how to limit gambling ads on social media - https://t.co/goyN0XhTeC",https://t.co/wosvAdrdWp,"[{'url': 'https://t.co/wosvAdrdWp', 'expanded_url': 'https://wh.bet/SportHome', 'display_url': 'wh.bet/SportHome', 'indices': [0, 23]}]","[{'url': 'https://t.co/goyN0XhTeC', 'expanded_url': 'http://wh.bet/Ads', 'display_url': 'wh.bet/Ads', 'indices': [138, 161]}]",False,242968,32,1227,Thu Oct 09 15:02:44 +0000 2008,2579,,,False,True,588174,,False,False,False,102C54,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1427886731685244936/cIl92wn-_normal.jpg,https://pbs.twimg.com/profile_images/1427886731685244936/cIl92wn-_normal.jpg,https://pbs.twimg.com/profile_banners/16667278/1671444976,00004D,FFFFFF,EFF3FF,003056,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:30:00 +0000 2023,1633505355983630342,1633505355983630342,"Unusual Newcastle United shirt spotted in K-Pop music video

https://t.co/vsDrxhL4Bf

#football #footballtickets #footballgame #footballnews #PremierLeague #footballclub #footballteam #footballfans #footballers #kpop #NewcastleUnited",False,"[0, 233]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,486635155,486635155,ticket4football.com,ticket4futball,"Murcia, Spain","Ticket4Football offers fans affordable #Soccer #Tickets like #Premiership Tickets, #FaCup Tickets, #ChampionsLeague Tickets, #Scottish #Football Tickets.",https://t.co/f1vHUW6YXl,"[{'url': 'https://t.co/f1vHUW6YXl', 'expanded_url': 'http://www.ticket4football.com/', 'display_url': 'ticket4football.com', 'indices': [0, 23]}]",[],False,913,2191,5,Wed Feb 08 14:07:50 +0000 2012,421,,,True,False,1047,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1062692432960196614/uu0ZIs0N_normal.jpg,https://pbs.twimg.com/profile_images/1062692432960196614/uu0ZIs0N_normal.jpg,https://pbs.twimg.com/profile_banners/486635155/1668086511,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:27:55 +0000 2023,1633504832131670030,1633504832131670030,@mulletrider Don’t let Newcastle kick on but let United and spurs rot in Europa cups. Liverpool win by default haha,False,"[13, 115]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335027879914783e+18,1633502787991478273,340413554.0,340413554,mulletrider,,,,,False,0,1,False,False,,en,en,recent,1513981411,1513981411,Nate,PintManReborn,"Belfast, Northern Ireland",Software Engineer | Arsenal,,,[],False,170,352,2,Thu Jun 13 17:16:38 +0000 2013,3425,,,True,False,4227,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1503415599199891457/0Zu3ewce_normal.jpg,https://pbs.twimg.com/profile_images/1503415599199891457/0Zu3ewce_normal.jpg,https://pbs.twimg.com/profile_banners/1513981411/1639607759,BCF442,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:27:52 +0000 2023,1633504817086701570,1633504817086701570,"It’s 🏴󠁧󠁢󠁥󠁮󠁧󠁿 or 🏴󠁧󠁢󠁳󠁣󠁴󠁿 for one Magpies star #NUFC

https://t.co/uTWHpTqmF3",False,"[0, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1397890646673969161,1397890646673969161,NewcastleWorld,newcastle_world,Newcastle,"NewcastleWorld is a news website serving Newcastle with quality local journalism.

Part of the @NationalWorld group.",https://t.co/YnXew1nAJJ,"[{'url': 'https://t.co/YnXew1nAJJ', 'expanded_url': 'http://www.newcastleworld.com', 'display_url': 'newcastleworld.com', 'indices': [0, 23]}]",[],False,5310,222,37,Thu May 27 12:24:45 +0000 2021,210,,,True,True,13161,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1590108729181179905/Cgsod6Pe_normal.jpg,https://pbs.twimg.com/profile_images/1590108729181179905/Cgsod6Pe_normal.jpg,https://pbs.twimg.com/profile_banners/1397890646673969161/1648110836,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:26:26 +0000 2023,1633504455957131264,1633504455957131264,"Newcastle United v Wolverhampton Wanderers Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Sunday's game at St James' Park

#NUFC #WWFC 
https://t.co/PcsCbdoSTF https://t.co/xgk2bRMzuO",False,"[0, 189]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:25:19 +0000 2023,1633504178210316290,1633504178210316290,"🏆 16 years ago today he was lifting the Intertoto Cup with Newcastle United - now Scott Parker has been sacked just 6⃣7⃣ days into his reign as Club Brugge manager 

😬 Life comes at you fast...

#NUFC 

https://t.co/sP0UU7hzNw",False,"[0, 226]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,480579806,480579806,Joe Buck,16joebuck,,⚽️ Football Writer ✍️ @shieldsgazette @MouthOfTynePod @SunderlandEcho @HUFCMail ⬛️ DMs open ⬜️ Views my own,https://t.co/JwcMz8o3U2,"[{'url': 'https://t.co/JwcMz8o3U2', 'expanded_url': 'http://joebuckjournalist.wordpress.com', 'display_url': 'joebuckjournalist.wordpress.com', 'indices': [0, 23]}]",[],False,600,1005,5,Wed Feb 01 17:17:06 +0000 2012,20397,,,True,False,8147,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1530545323881504769/TcBcfFPu_normal.jpg,https://pbs.twimg.com/profile_images/1530545323881504769/TcBcfFPu_normal.jpg,https://pbs.twimg.com/profile_banners/480579806/1563133040,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:25:18 +0000 2023,1633504172342484999,1633504172342484999,🟨Two Premier League stars have reached 10 bookings and 12 more are walking a suspension tightrope - and they include one current Magpies star #NUFC https://t.co/d4L4pat7Dj,False,"[0, 171]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1397890646673969161,1397890646673969161,NewcastleWorld,newcastle_world,Newcastle,"NewcastleWorld is a news website serving Newcastle with quality local journalism.

Part of the @NationalWorld group.",https://t.co/YnXew1nAJJ,"[{'url': 'https://t.co/YnXew1nAJJ', 'expanded_url': 'http://www.newcastleworld.com', 'display_url': 'newcastleworld.com', 'indices': [0, 23]}]",[],False,5310,222,37,Thu May 27 12:24:45 +0000 2021,210,,,True,True,13161,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1590108729181179905/Cgsod6Pe_normal.jpg,https://pbs.twimg.com/profile_images/1590108729181179905/Cgsod6Pe_normal.jpg,https://pbs.twimg.com/profile_banners/1397890646673969161/1648110836,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:12 +0000 2023,1633503644631937026,1633503644631937026,"@mulletrider Liverpool and United, I’ve always had a strange soft spot for Liverpool b/c I lived there for a few years at uni and loved the city. Don’t want Newcastle there b/c it accelerates their project and don’t want Spurs for obvious reasons.",False,"[13, 247]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335027879914783e+18,1633502787991478273,340413554.0,340413554,mulletrider,,,,,False,0,2,False,False,,en,en,recent,1007199973853859841,1007199973853859841,Max,Rads__Gooner,,24 • @Arsenal Season Ticket Holder 🔴⚪️ and @ArsenalWFC supporter • @AST_Arsenal Member ✊ • Occasional Blogger 📝 • @LivUni Alum 👨‍🎓. Martin Ødegaard Enjoyer.,https://t.co/eKPB2AocRa,"[{'url': 'https://t.co/eKPB2AocRa', 'expanded_url': 'https://northbankview.wordpress.com/', 'display_url': 'northbankview.wordpress.com', 'indices': [0, 23]}]",[],False,188,1145,0,Thu Jun 14 09:56:01 +0000 2018,24592,,,True,False,11787,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1546976042547658755/mIn7H7Rg_normal.jpg,https://pbs.twimg.com/profile_images/1546976042547658755/mIn7H7Rg_normal.jpg,https://pbs.twimg.com/profile_banners/1007199973853859841/1596313611,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:47 +0000 2023,1633503540944715776,1633503540944715776,"Formation, tactics and team selection - The battle is real #nufc https://t.co/JvVLtkjqnD",False,"[0, 88]","<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,372384501,372384501,The Mag,NUFCTheMag,Newcastle upon Tyne,The Independent Voice Of Newcastle United - Est. 1988.,http://t.co/ku8YGcBtmQ,"[{'url': 'http://t.co/ku8YGcBtmQ', 'expanded_url': 'http://www.themag.co.uk', 'display_url': 'themag.co.uk', 'indices': [0, 22]}]",[],False,28721,147,265,Mon Sep 12 17:34:42 +0000 2011,118,,,True,False,59161,,False,False,False,0F0F0F,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1072169918215393280/h1PkCmJI_normal.jpg,https://pbs.twimg.com/profile_images/1072169918215393280/h1PkCmJI_normal.jpg,https://pbs.twimg.com/profile_banners/372384501/1633899124,00BFFF,FFFFFF,1C1C1C,666666,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:21:36 +0000 2023,1633503241051725824,1633503241051725824,"Newcastle United v Wolverhampton Wanderers All-Time Premier League Match Records ahead of Sunday's game at St James' Park

Newcastle Wins: 3
Draws: 10
Wolves Wins: 2
Goals Scored: Newcastle 20-17 Wolves     

#NUFC #WWFC 
https://t.co/dh5hv3tR4R https://t.co/VP9PzmmFgP",False,"[0, 245]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:20:35 +0000 2023,1633502986184843266,1633502986184843266,"Former Newcastle United captain Scott Parker has been sacked as manager of Club Brugge after just 67 days, 12 games and two wins in all competitions #NUFC
https://t.co/TTD8F34t2D",False,"[0, 178]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,223668283,223668283,Mark Carruthers,MarkCarruthers_,"North East, England","Football Writer @ChronicleLive, @SunderlandEcho, @Newcastle_World & @NonLeaguePaper | Also featured in @FourFourTwo and @WSC_Magazine | @IfUCareShare Ambassador",https://t.co/BKy7TC8ONW,"[{'url': 'https://t.co/BKy7TC8ONW', 'expanded_url': 'https://www.facebook.com/MCarruthersJourno', 'display_url': 'facebook.com/MCarruthersJou…', 'indices': [0, 23]}]",[],False,10667,3902,106,Tue Dec 07 00:50:32 +0000 2010,21618,,,True,True,97742,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1619046389656305671/fYSd3LqZ_normal.jpg,https://pbs.twimg.com/profile_images/1619046389656305671/fYSd3LqZ_normal.jpg,https://pbs.twimg.com/profile_banners/223668283/1677857902,1B95E0,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:20:00 +0000 2023,1633502838163935232,1633502838163935232,"Who else should be on this list?
#NUFC 
https://t.co/6P15RWxHHw",False,"[0, 63]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,1,3,False,False,False,en,en,recent,65033270,65033270,The Chronicle,ChronicleNUFC,Newcastle upon Tyne,𝗡𝗲𝘄𝗰𝗮𝘀𝘁𝗹𝗲 𝗨𝗻𝗶𝘁𝗲𝗱 ⚫⚪ News | Live Updates | Opinion | Matches | Transfers  | Rumours | Podcast: https://t.co/r0ijJHj5Ew,https://t.co/EAlYF1Fyqo,"[{'url': 'https://t.co/EAlYF1Fyqo', 'expanded_url': 'https://www.chroniclelive.co.uk/nufc/', 'display_url': 'chroniclelive.co.uk/nufc/', 'indices': [0, 23]}]","[{'url': 'https://t.co/r0ijJHj5Ew', 'expanded_url': 'http://bit.ly/3vP0TQM', 'display_url': 'bit.ly/3vP0TQM', 'indices': [94, 117]}]",False,151218,266,669,Wed Aug 12 13:22:21 +0000 2009,1377,,,True,True,189188,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1567944157913563138/RWEqjlBM_normal.jpg,https://pbs.twimg.com/profile_images/1567944157913563138/RWEqjlBM_normal.jpg,https://pbs.twimg.com/profile_banners/65033270/1661178387,0084B4,BDDCAD,BEBFBD,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
