created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 13:09:08 +0000 2023,1633454804163854337,1633454804163854337,"Hi @Morgie_89, I'm studying MA in Television Journalism at City, University of London. I was hoping to get your views on the Women’s Tottenham Hotspur v Leicester City game on Wednesday 15th March. Is it possible to do a quick zoom interview with you this week? Thank you!",False,"[0, 272]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1349351727204593666,1349351727204593666,Scarlett McCabe-Abel,smccabeabel,,"MA Television Journalism @CityUniLondon | Freelancer @itvnews (Network), @itvtonight and @itvonassignment at @itn | Work Placement at Turquoise TV",,,[],False,105,735,0,Wed Jan 13 13:45:08 +0000 2021,199,,,False,False,51,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1606645020349587456/ObGmRKV-_normal.jpg,https://pbs.twimg.com/profile_images/1606645020349587456/ObGmRKV-_normal.jpg,https://pbs.twimg.com/profile_banners/1349351727204593666/1610545666,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 13:07:56 +0000 2023,1633454504518508546,1633454504518508546,A look at all of the upcoming fixtures from all clubs 12th and down between now and the end of the season. #lcfc https://t.co/X1X8TqaWdy,False,"[0, 136]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,2,False,False,False,en,en,recent,1547971206,1547971206,LCFC Live,LiveLCFC,Leicester,"Leicester City news, views and transfer rumours brought to you by Leicestershire Live. Sign up for our newsletter below:",https://t.co/HxSKt71auR,"[{'url': 'https://t.co/HxSKt71auR', 'expanded_url': 'https://www.leicestermercury.co.uk/newsletter-preference-centre/', 'display_url': 'leicestermercury.co.uk/newsletter-pre…', 'indices': [0, 23]}]",[],False,22590,271,192,Wed Jun 26 11:40:32 +0000 2013,244,,,False,True,74331,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1560211871818518528/zarz7fa0_normal.jpg,https://pbs.twimg.com/profile_images/1560211871818518528/zarz7fa0_normal.jpg,https://pbs.twimg.com/profile_banners/1547971206/1621113199,1B95E0,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 13:07:54 +0000 2023,1633454497358815235,1633454497358815235,"City of London kensington chelsea sloane square kings road cambridge oxford Kingston upon Hull Glasgow Leicester Manchester Sunderland Dundee Birmingham Leeds essex Westminster Camden Wandsworth Hounslow Richmond upon Thames Surrey Sussex Berkshire Buckinghamshire
#feelHappyNow https://t.co/Tp0W9swnD4",False,"[0, 278]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1449669615676792833,1449669615676792833,Judith cohen,Judith_cohen_18,,,https://t.co/GiiFuDCh4x,"[{'url': 'https://t.co/GiiFuDCh4x', 'expanded_url': 'https://www.ebay.co.uk/sch/m.html?item=266022824600&_ssn=lovetobidmore&_sop=15&_ipg=240&rt=nc', 'display_url': 'ebay.co.uk/sch/m.html?ite…', 'indices': [0, 23]}]",[],False,1290,1503,1,Sun Oct 17 09:33:07 +0000 2021,151,,,False,False,630,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1488182178487930883/MNigKuWP_normal.jpg,https://pbs.twimg.com/profile_images/1488182178487930883/MNigKuWP_normal.jpg,https://pbs.twimg.com/profile_banners/1449669615676792833/1660212483,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 13:07:42 +0000 2023,1633454445815029761,1633454445815029761,"Premier League winners 1992/23 - 2021/22

Man United 13
Man City 6
Chelsea 5
Arsenal 3
Blackburn 1
Leicester 1
Liverpool 1

#MUFC https://t.co/fZZkVmzYRZ",False,"[0, 129]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,934084797764382720,934084797764382720,Achmed Irwin,IrwinAchmed,"Mombasa, Kenya",You dont wanna know,,,[],False,11,5,0,Fri Nov 24 15:42:25 +0000 2017,253,,,True,False,1244,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/959323125476462592/J6k7HhKm_normal.jpg,https://pbs.twimg.com/profile_images/959323125476462592/J6k7HhKm_normal.jpg,https://pbs.twimg.com/profile_banners/934084797764382720/1517555429,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],00898c39711b03a8,https://api.twitter.com/1.1/geo/id/00898c39711b03a8.json,city,Mombasa,"Mombasa, Kenya",KE,Kenya,[],Polygon,"[[[39.6408074, -4.0794005], [39.682793, -4.0794005], [39.682793, -4.0302199], [39.6408074, -4.0302199]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 13:05:16 +0000 2023,1633453831794176002,1633453831794176002,"Having been the hero in Blackburns' recent FA Cup win over Leicester City, Szmodics could now play for Ireland this month 🎲

Full story ⬇ https://t.co/BFF1nRFxXf",False,"[0, 137]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,12,False,False,False,en,en,recent,1291091208,1291091208,SportsJOE,SportsJOEdotie,Ireland,"Ireland’s leading sports platform. Home of https://t.co/PIW3TLSRVO, @TheGAAHour, @HouseOfRugby, @GAA__JOE and SportsJOE Live: The Great Debate.",https://t.co/hhbqdlPbeE,"[{'url': 'https://t.co/hhbqdlPbeE', 'expanded_url': 'http://www.SportsJOE.ie', 'display_url': 'SportsJOE.ie', 'indices': [0, 23]}]","[{'url': 'https://t.co/PIW3TLSRVO', 'expanded_url': 'http://SportsJOE.ie', 'display_url': 'SportsJOE.ie', 'indices': [43, 66]}]",False,129189,1150,339,Sat Mar 23 10:50:25 +0000 2013,9243,,,True,True,224652,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1521806759547092992/g07kwP1y_normal.jpg,https://pbs.twimg.com/profile_images/1521806759547092992/g07kwP1y_normal.jpg,https://pbs.twimg.com/profile_banners/1291091208/1651661980,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:54:23 +0000 2023,1633511491906437122,1633511491906437122,"@tiredddshre Arey but we were winning anyways without that goal, it was 1-0, became 2-0 as city were pushing for a point

Why wasn't he brought on vs sevilla or Leicester fa cup when we were losing?",False,"[13, 198]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335110073257615e+18,1633511007325761537,8.804358053695324e+17,880435805369532416,tiredddshre,,,,,False,0,0,False,False,,en,en,recent,1369167201970786304,1369167201970786304,Harrish,Harrishspeaks,,"And miles to go before I sleep.
Likes aren't an endorsement.
I am a professional hater and troller.",,,[],False,224,225,0,Tue Mar 09 06:04:38 +0000 2021,26448,,,False,False,31011,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632571307463426049/aCWy9lCp_normal.jpg,https://pbs.twimg.com/profile_images/1632571307463426049/aCWy9lCp_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:18 +0000 2023,1633511217774960652,1633511217774960652,Great to see Delphi score her 1⃣8⃣th goal of the season for the Birmingham City Academy this afternoon in a 4-1 win over Leicester City! ⚽️🔥⚽️🔥 . Go Delphi! https://t.co/SwhxyyX4Ba,False,"[0, 156]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1263438733564616704,1263438733564616704,Coley 🇺🇦🇺🇦 He/Him/Lord/Sir,simonco48440538,,"Birmingham City women’s fan (and therefore an interest in Birmingham City mens) and Crystal Palace men’s fan. Cars, art and photography.",https://t.co/N0lSa9Nitx,"[{'url': 'https://t.co/N0lSa9Nitx', 'expanded_url': 'http://www.technicaldrive.co.uk', 'display_url': 'technicaldrive.co.uk', 'indices': [0, 23]}]",[],False,245,683,0,Thu May 21 11:57:40 +0000 2020,2148,,,True,False,2668,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1496075965239341058/I5CuM54O_normal.jpg,https://pbs.twimg.com/profile_images/1496075965239341058/I5CuM54O_normal.jpg,https://pbs.twimg.com/profile_banners/1263438733564616704/1644002252,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:56 +0000 2023,1633511127475789845,1633511127475789845,"@codysgh @CalArsenal @kwesibeats sure. my dude mentioned leicester referrencing the first tweet, about ""being leader due to city fallout"", because that was the case when leicester won. Does that make sense",False,"[33, 205]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335099866546504e+18,1633509986654650368,1.0210757917513277e+18,1021075791751327745,codysgh,,,,,False,0,0,False,False,,en,en,recent,48025808,48025808,leonardo curtindo o verão,lnrdmrn,"30°03'56.00""S 51°14'09.00""W",leonardo moreno | the only true death is to never live,,,[],False,326,553,4,Wed Jun 17 16:49:31 +0000 2009,2146,,,True,False,129326,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1587648307228250114/iEmlEVak_normal.jpg,https://pbs.twimg.com/profile_images/1587648307228250114/iEmlEVak_normal.jpg,https://pbs.twimg.com/profile_banners/48025808/1531869097,010105,FFFFFF,EFEFEF,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:40 +0000 2023,1633510556341608467,1633510556341608467,Elsewhere Aston Villa remain level on points at the top of the Northern Section with a 3-2 home win against Manchester City. Third-placed Durham won 2-1 away at Everton. Birmingham City climb a place to fourth after recording a 4-1 home win against Leicester City.,False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335067061215232e+18,1633506706121523200,46643528.0,46643528,sjbakes,,,,,False,0,0,False,False,,en,en,recent,46643528,46643528,Steve Baker,sjbakes,Timperley,Freelance Graphic Designer. South Manchester. MUFC / MUWFC / Alty FC,,,[],False,1137,4998,2,Fri Jun 12 12:48:13 +0000 2009,18317,,,True,False,3124,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_banners/46643528/1455193641,2FC2EF,FFFFFF,252429,666666,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:18 +0000 2023,1633509207214534656,1633509207214534656,Principal Accountant - Hybrid working - Home and Leicester City Offices - Leicester City Council https://t.co/iJZJIocuL9,False,"[0, 120]","<a href=""http://www.madgex.com"" rel=""nofollow"">Madgex Twitter Tweeter</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,36041853,36041853,Public Finance Jobs,pfjobs,United Kingdom,Public Finance will help you search for top quality Public Sector Finance and Accountancy jobs. Start looking for your next career move now.,http://t.co/KqmVQjA2rG,"[{'url': 'http://t.co/KqmVQjA2rG', 'expanded_url': 'http://www.pfjobs.co.uk/', 'display_url': 'pfjobs.co.uk', 'indices': [0, 22]}]",[],False,1761,1300,37,Tue Apr 28 11:26:08 +0000 2009,4,,,False,False,14401,,False,False,False,E3003B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/714769992558985216/XwTW2Z7e_normal.jpg,https://pbs.twimg.com/profile_images/714769992558985216/XwTW2Z7e_normal.jpg,https://pbs.twimg.com/profile_banners/36041853/1459249399,B4001D,FFFFFF,EFE0D7,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:43:56 +0000 2023,1633508861033234433,1633508861033234433,"@LDNFootbalI We always do good business with Leicester city apart from Danny

Kudos to him",False,"[13, 90]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334117527915356e+18,1633411752791535618,1926045878.0,1926045878,LDNFootbalI,,,,,False,0,0,False,False,,en,en,recent,3230102356,3230102356,BlaqNation,SpydoNation,Abuja,Always Obi-Dient,,,[],False,66,195,0,Sun May 03 08:05:15 +0000 2015,6183,,,True,False,1474,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1630213595857297410/exyNplqx_normal.jpg,https://pbs.twimg.com/profile_images/1630213595857297410/exyNplqx_normal.jpg,https://pbs.twimg.com/profile_banners/3230102356/1645464409,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:38:44 +0000 2023,1633507553547100185,1633507553547100185,@TheAnfieldBuzz @jac_talbot Kelleher needs to go for his own development. Leicester City would be a good move for him. Hopefully he’ll come back in a couple of seasons and challenge for No 1 jersey 🙌,False,"[28, 199]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6334516331734712e+18,1633451633173471233,9.508813085106954e+17,950881308510695430,TheAnfieldBuzz,,,,,False,0,0,False,False,,en,en,recent,23433006,23433006,Michael Lavelle,michaeldlavelle,Dublin,"Proud to work @Oracle, Dad to 2 boys, Husband, Tech lover and @LFC. All views are my own and not of my employer. 🇮🇪 🇺🇦",,,[],False,284,2633,13,Mon Mar 09 13:14:53 +0000 2009,6078,,,True,False,7439,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2585266394/bz4m15jjvfeyul87l3tg_normal.jpeg,https://pbs.twimg.com/profile_images/2585266394/bz4m15jjvfeyul87l3tg_normal.jpeg,https://pbs.twimg.com/profile_banners/23433006/1595457751,4A913C,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:26:01 +0000 2023,1633504351925723136,1633504351925723136,@GaryLineker YOU BRING SHAME on the majority of Leicester City Supporters or are we all Nazis who think differently  to a virtue signalling Communist loving big eared T***,False,"[13, 171]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6334244706637332e+18,1633424470663733248,471287735.0,471287735,GaryLineker,,,,,False,0,0,False,False,,en,en,recent,1429873776339169280,1429873776339169280,Barbara Cross,Barbara26011171,,,,,[],False,39,96,2,Mon Aug 23 18:33:47 +0000 2021,13867,,,False,False,1200,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:43 +0000 2023,1633503774076547073,1633503774076547073,Everything links back to Rome. Why can’t Leicester City Council repair pot holes to last like the Romans? https://t.co/rsAkFvDxtD,False,"[0, 105]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1014890338559852549,1014890338559852549,ManishThanki,Manish_S_Thanki,"Leicester, England",Embrace change,,,[],False,13,8,0,Thu Jul 05 15:14:47 +0000 2018,69,,,True,False,886,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1562762467817803776/YuLB5APc_normal.jpg,https://pbs.twimg.com/profile_images/1562762467817803776/YuLB5APc_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:23:25 +0000 2023,1633503698818154496,1633503698818154496,"Leicester City v Chelsea Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Saturday's game at the King Power Stadium

#LCFC #CFC 
https://t.co/PcsCbdoSTF https://t.co/sNvyNQtPqA",False,"[0, 180]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:55:42 +0000 2023,1633511823994413062,1633511823994413062,"He was happy last night 

As a fan I need more 

Lets go and beat Leicester city https://t.co/BSTSctRrXL",False,"[0, 80]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1561580393693958146,1561580393693958146,The Coolest Chels,Coolest_Chels,,"@ChelseaFC
#CFC
#SpaceHost 
#Contentcreator
https://t.co/WHBJTTHHrO…",,,"[{'url': 'https://t.co/WHBJTTHHrO', 'expanded_url': 'http://youtube.com/channel/UCYy2P', 'display_url': 'youtube.com/channel/UCYy2P', 'indices': [44, 67]}]",False,1197,969,2,Mon Aug 22 05:06:01 +0000 2022,8441,,,False,False,8787,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1561580581779111937/ncKoFa4G_normal.jpg,https://pbs.twimg.com/profile_images/1561580581779111937/ncKoFa4G_normal.jpg,https://pbs.twimg.com/profile_banners/1561580393693958146/1661415577,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:55:40 +0000 2023,1633511816906121222,1633511816906121222,"@UtdPlug @SkySportsPL Man u that almost ruined you. Even as a man u fan, I don't support any fast growing African player to join man u. Man u don't have regard for African players.

Join any other club.
City
Chelsea
Arsenal
Liverpool
Leicester City. But not Man u.",False,"[22, 264]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633179744308015e+18,1633179744308015106,1599057055.0,1599057055,UtdPlug,,,,,False,0,0,False,False,,en,en,recent,1326107449598898176,1326107449598898176,Godwin Omagbe,GOmagbe,,Factual,,,[],False,13,142,0,Tue Nov 10 10:21:02 +0000 2020,131,,,False,False,282,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326107844563906565/nQqqHDnS_normal.jpg,https://pbs.twimg.com/profile_images/1326107844563906565/nQqqHDnS_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:54:23 +0000 2023,1633511491906437122,1633511491906437122,"@tiredddshre Arey but we were winning anyways without that goal, it was 1-0, became 2-0 as city were pushing for a point

Why wasn't he brought on vs sevilla or Leicester fa cup when we were losing?",False,"[13, 198]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335110073257615e+18,1633511007325761537,8.804358053695324e+17,880435805369532416,tiredddshre,,,,,False,0,0,False,False,,en,en,recent,1369167201970786304,1369167201970786304,Harrish,Harrishspeaks,,"And miles to go before I sleep.
Likes aren't an endorsement.
I am a professional hater and troller.",,,[],False,224,225,0,Tue Mar 09 06:04:38 +0000 2021,26448,,,False,False,31012,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632571307463426049/aCWy9lCp_normal.jpg,https://pbs.twimg.com/profile_images/1632571307463426049/aCWy9lCp_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:18 +0000 2023,1633511217774960652,1633511217774960652,Great to see Delphi score her 1⃣8⃣th goal of the season for the Birmingham City Academy this afternoon in a 4-1 win over Leicester City! ⚽️🔥⚽️🔥 . Go Delphi! https://t.co/SwhxyyX4Ba,False,"[0, 156]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,3,False,False,False,en,en,recent,1263438733564616704,1263438733564616704,Coley 🇺🇦🇺🇦 He/Him/Lord/Sir,simonco48440538,,"Birmingham City women’s fan (and therefore an interest in Birmingham City mens) and Crystal Palace men’s fan. Cars, art and photography.",https://t.co/N0lSa9Nitx,"[{'url': 'https://t.co/N0lSa9Nitx', 'expanded_url': 'http://www.technicaldrive.co.uk', 'display_url': 'technicaldrive.co.uk', 'indices': [0, 23]}]",[],False,245,683,0,Thu May 21 11:57:40 +0000 2020,2148,,,True,False,2668,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1496075965239341058/I5CuM54O_normal.jpg,https://pbs.twimg.com/profile_images/1496075965239341058/I5CuM54O_normal.jpg,https://pbs.twimg.com/profile_banners/1263438733564616704/1644002252,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
