created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 16:02:54 +0000 2023,1633498535911112705,1633498535911112705,MANCHESTER CITY legend Yaya Toure has shared his Premier League title predictions and praised an Arsenal star https://t.co/ruNuoOl4wu,False,"[0, 133]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,301527968,301527968,Irish Sun Sport,IrishSunSport,Dublin,"The latest on GAA, League of Ireland, Premier League & Champions League.  Home of https://t.co/P4NKYOtpb9",https://t.co/4rHj0lsU1H,"[{'url': 'https://t.co/4rHj0lsU1H', 'expanded_url': 'http://www.thesun.ie', 'display_url': 'thesun.ie', 'indices': [0, 23]}]","[{'url': 'https://t.co/P4NKYOtpb9', 'expanded_url': 'http://play.acast.com/s/therockyroad', 'display_url': 'play.acast.com/s/therockyroad', 'indices': [82, 105]}]",False,8077,1997,142,Thu May 19 16:33:26 +0000 2011,966,,,True,True,190156,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/876164395268796416/Vdr_VqDS_normal.jpg,https://pbs.twimg.com/profile_images/876164395268796416/Vdr_VqDS_normal.jpg,https://pbs.twimg.com/profile_banners/301527968/1562007733,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:02:11 +0000 2023,1633498356272996352,1633498356272996352,"Juventus and Athletic Bilbao are among five clubs interested in Aymeric Laporte.

https://t.co/LxjMVdI048",False,"[0, 105]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,9,248,False,False,False,en,en,recent,872833914083188737,872833914083188737,City Xtra,City_Xtra,"Manchester, England","Complete #ManCity coverage: News, transfers, match commentary • @The_FCAs Best Premier League Club Creator Winner 2021 & 2022 • Contact: contact@cityxtra.co.uk",https://t.co/jdx6qE8sbs,"[{'url': 'https://t.co/jdx6qE8sbs', 'expanded_url': 'http://cityxtra.co.uk', 'display_url': 'cityxtra.co.uk', 'indices': [0, 23]}]",[],False,573895,999,1364,Thu Jun 08 15:13:16 +0000 2017,16882,,,True,True,66936,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1344966114367991813/PVlXJ6Qg_normal.jpg,https://pbs.twimg.com/profile_images/1344966114367991813/PVlXJ6Qg_normal.jpg,https://pbs.twimg.com/profile_banners/872833914083188737/1678034840,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:02:06 +0000 2023,1633498333787332611,1633498333787332611,Cheshire Police says its investigating Manchester City and England defender Kyle Walker. Its over a video circulating on social media relating to an alleged indecent exposure at a bar. #CapitalReports https://t.co/ZnVA7hFNYU,False,"[0, 200]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,3001431934,3001431934,Capital North West News,CapitalNWNews,"North West, England",The news team for @CapitalManc and @CapLancashire. Tweet us your stories or e-mail northwest.news@global.com,https://t.co/vf6hILxRsK,"[{'url': 'https://t.co/vf6hILxRsK', 'expanded_url': 'http://www.capitalfm.com/manchester/', 'display_url': 'capitalfm.com/manchester/', 'indices': [0, 23]}]",[],False,4593,4739,47,Tue Jan 27 13:54:07 +0000 2015,44,,,True,True,29105,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1587675939416276998/u_e1_h9F_normal.jpg,https://pbs.twimg.com/profile_images/1587675939416276998/u_e1_h9F_normal.jpg,https://pbs.twimg.com/profile_banners/3001431934/1667366417,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:54:01 +0000 2023,1633511397773459457,1633511397773459457,"Kevin De Bruyne 🇧🇪 19/20 - 21/22
Club - Manchester City
Position - Central Midfielder
Accolades - 2x PL Titles, 1x Top Assist Provider https://t.co/YGnNYhGRa2",False,"[0, 134]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633511389372326e+18,1633511389372325888,1.5614219609821757e+18,1561421960982175745,Ibrc7_,,,,,False,0,0,False,False,False,en,en,recent,1561421960982175745,1561421960982175745,IBRC7,Ibrc7_,,Football fan | 25 | Stats & Opinions ⚽️,,,[],False,221,202,1,Sun Aug 21 18:36:41 +0000 2022,18,,,False,False,109,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1590313191812354048/eXuOkCYk_normal.jpg,https://pbs.twimg.com/profile_images/1590313191812354048/eXuOkCYk_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:24 +0000 2023,1633510993954324480,1633510993954324480,"In April Liverpool play...
• Manchester City (a)
• Chelsea (a)
• Arsenal (h)
• Leeds (a)
• Forest (h)
• West Ham (a)
• Spurs (h) https://t.co/lbd2oT00gk",False,"[0, 128]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1148221499544940546,1148221499544940546,Anyone But United TV,AnyoneButUtdTV,Everywhere,"It's the watch-along channel for fans who love to see Manchester United lose and, ideally, lose badly.",https://t.co/wz5tJimnO1,"[{'url': 'https://t.co/wz5tJimnO1', 'expanded_url': 'https://www.tiktok.com/@anyonebutunitedtv', 'display_url': 'tiktok.com/@anyonebutunit…', 'indices': [0, 23]}]",[],False,3210,1305,2,Mon Jul 08 13:25:13 +0000 2019,1334,,,False,False,2276,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1600794888395710468/DoMLVH1F_normal.jpg,https://pbs.twimg.com/profile_images/1600794888395710468/DoMLVH1F_normal.jpg,https://pbs.twimg.com/profile_banners/1148221499544940546/1678055394,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:51:45 +0000 2023,1633510830951071744,1633510830951071744,Erling Haaland shocked Manchester City teammate Julian Alvarez with surprise club he supports https://t.co/6obEIyh3yf,False,"[0, 117]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,346207646,346207646,itz_sure,Abiola_Musbizu,Abuja,"i'm quiet because I value my words, and speak only when there's reason.",https://t.co/eMJftme9Ps,"[{'url': 'https://t.co/eMJftme9Ps', 'expanded_url': 'http://musbizusblog.co', 'display_url': 'musbizusblog.co', 'indices': [0, 23]}]",[],False,273,753,5,Sun Jul 31 22:20:59 +0000 2011,72,,,True,False,98601,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1289629827063001088/1RfMzGuD_normal.jpg,https://pbs.twimg.com/profile_images/1289629827063001088/1RfMzGuD_normal.jpg,https://pbs.twimg.com/profile_banners/346207646/1572199820,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:52 +0000 2023,1633510605637431296,1633510605637431296,"Well done to all of our amazing 2023 Youth Buzz Awards winners! 🐝 🥳 

Thank you for everything you've done for your community and this city. 

Read more about the event and winners: https://t.co/ltshTh2Okf

#YBA23 #YouthBuzzAwards https://t.co/FOq0Skzz15",False,"[0, 230]","<a href=""https://orlo.tech"" rel=""nofollow"">Orlo</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,26461381,26461381,Manchester City Council,ManCityCouncil,"Manchester, England",Official Twitter page of Manchester City Council. Monitored by the Communications Team. We'll try our best to find answers to your questions.,https://t.co/5U7DHzN5Rs,"[{'url': 'https://t.co/5U7DHzN5Rs', 'expanded_url': 'https://www.manchester.gov.uk', 'display_url': 'manchester.gov.uk', 'indices': [0, 23]}]",[],False,207495,1171,1174,Wed Mar 25 09:16:58 +0000 2009,21143,,,True,True,66013,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1610928541289402370/WbABScOz_normal.jpg,https://pbs.twimg.com/profile_images/1610928541289402370/WbABScOz_normal.jpg,https://pbs.twimg.com/profile_banners/26461381/1669455790,B40004,FFFFFF,FDFCFC,1015A8,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:40 +0000 2023,1633510556341608467,1633510556341608467,Elsewhere Aston Villa remain level on points at the top of the Northern Section with a 3-2 home win against Manchester City. Third-placed Durham won 2-1 away at Everton. Birmingham City climb a place to fourth after recording a 4-1 home win against Leicester City.,False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335067061215232e+18,1633506706121523200,46643528.0,46643528,sjbakes,,,,,False,0,0,False,False,,en,en,recent,46643528,46643528,Steve Baker,sjbakes,Timperley,Freelance Graphic Designer. South Manchester. MUFC / MUWFC / Alty FC,,,[],False,1137,4998,2,Fri Jun 12 12:48:13 +0000 2009,18317,,,True,False,3124,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_banners/46643528/1455193641,2FC2EF,FFFFFF,252429,666666,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:34 +0000 2023,1633510529468702721,1633510529468702721,"@ivatt2 @MandSBankArena @LCRMayor @Regen_Lpool With cities such as London having multiple venues, and closer to home  Manchester’s plans to build a second arena in the city surely there is a strong enough market for a larger venue in Liverpool?",False,"[47, 244]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335007366412698e+18,1633500736641269764,302619961.0,302619961,ivatt2,,,,,False,0,0,False,False,,en,en,recent,1400178057462308873,1400178057462308873,Liverpolitan,Liverpolitans,Liverpool,The online magazine offering the thinking person's perspective on the Liverpool City Region. New contributors welcome.,https://t.co/MnIXcEFZND,"[{'url': 'https://t.co/MnIXcEFZND', 'expanded_url': 'http://www.liverpolitan.co.uk', 'display_url': 'liverpolitan.co.uk', 'indices': [0, 23]}]",[],False,2151,1407,13,Wed Jun 02 19:52:24 +0000 2021,3520,,,True,False,5216,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1400200560003977224/Ge-bYxo6_normal.jpg,https://pbs.twimg.com/profile_images/1400200560003977224/Ge-bYxo6_normal.jpg,https://pbs.twimg.com/profile_banners/1400178057462308873/1647876632,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],544762ebf7fda780,https://api.twitter.com/1.1/geo/id/544762ebf7fda780.json,city,Islington,"Islington, London",GB,United Kingdom,[],Polygon,"[[[-0.1420579, 51.5185518], [-0.076305, 51.5185518], [-0.076305, 51.575301], [-0.1420579, 51.575301]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:09 +0000 2023,1633510426251075596,1633510426251075596,"🇳🇴 | Erling Haaland (22)
Position(s) | CF
Club | Manchester City 🏴󠁧󠁢󠁥󠁮󠁧󠁿

Haaland has an incredible goal record for club and country. If Norway are to qualify for their first major tournament since 2000, Haaland will need to be in form.

Caps 🇳🇴: 23
Goals ⚽️: 21

@EliteserienFr https://t.co/MG5wVaEign",False,"[0, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335104210040013e+18,1633510421004001283,1.2795952106627113e+18,1279595210662711302,CapTied,,,,,False,0,0,False,False,False,en,en,recent,1279595210662711302,1279595210662711302,CapTied,CapTied,,Following the International game ⚽️ | Podcast coming soon 🎙️,,,[],False,93,348,0,Sun Jul 05 02:00:51 +0000 2020,684,,,True,False,144,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1279610389395845120/-GjBi7cF_normal.jpg,https://pbs.twimg.com/profile_images/1279610389395845120/-GjBi7cF_normal.jpg,https://pbs.twimg.com/profile_banners/1279595210662711302/1673811391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:48:49 +0000 2023,1633510092661301248,1633510092661301248,@ESPNFC Manchester city,False,"[8, 23]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633231732211331e+18,1633231732211331072,18091004.0,18091004,ESPNFC,,,,,False,0,0,False,False,,en,en,recent,1098305511026503682,1098305511026503682,Heriberto🇨🇲,Heriber41251112,"Nord-Ouest, Cameroon",,,,[],False,93,393,0,Wed Feb 20 19:36:54 +0000 2019,1396,,,False,False,228,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1559482700188229634/PwkVvp4g_normal.jpg,https://pbs.twimg.com/profile_images/1559482700188229634/PwkVvp4g_normal.jpg,https://pbs.twimg.com/profile_banners/1098305511026503682/1639569573,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:47:51 +0000 2023,1633509846061404160,1633509846061404160,"🇵🇹 Bayern Munich have rejected the chance to sign Joao Cancelo permanently, with Chelsea now reportedly ready to make a shock move 👀👇 https://t.co/KPqKI4qXco",False,"[0, 157]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,23075315,23075315,TEAMtalk,TEAMtalk,"Leeds, UK","Football transfer gossip and rumours, breaking news, stats, exclusive features and more...👇",https://t.co/0UB4N4Z2dr,"[{'url': 'https://t.co/0UB4N4Z2dr', 'expanded_url': 'http://www.teamtalk.com', 'display_url': 'teamtalk.com', 'indices': [0, 23]}]",[],False,88863,7668,1313,Fri Mar 06 15:19:44 +0000 2009,5541,,,False,True,188687,,False,False,False,156946,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1583035846290292737/g0neNv08_normal.jpg,https://pbs.twimg.com/profile_images/1583035846290292737/g0neNv08_normal.jpg,https://pbs.twimg.com/profile_banners/23075315/1666260132,156946,FFFFFF,F1F5EF,050605,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:47:33 +0000 2023,1633509771725914114,1633509771725914114,"Plans to build hundreds of homes and a new community centre on land where Manchester City’s stadium once stood have been approved. 🏠 

https://t.co/GFnyox7AZp",False,"[0, 158]","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,348647639,348647639,I Love Manchester,ILoveMCR,"Greater Manchester, UK",The iconic city brand and trusted symbol of civic pride adopted by #Manchester people. Got a story? Get in touch: editorial@ilovemanchester.com,https://t.co/xv1u98IM8l,"[{'url': 'https://t.co/xv1u98IM8l', 'expanded_url': 'http://www.ilovemanchester.com', 'display_url': 'ilovemanchester.com', 'indices': [0, 23]}]",[],False,107052,3690,536,Thu Aug 04 19:33:28 +0000 2011,37058,,,True,True,112130,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1587428707672772608/pBJurK7A_normal.jpg,https://pbs.twimg.com/profile_images/1587428707672772608/pBJurK7A_normal.jpg,https://pbs.twimg.com/profile_banners/348647639/1635725904,E00000,FFFFFF,EFEFEF,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:56:24 +0000 2023,1633512000079769600,1633512000079769600,"@Rory_Talks_Ball Manchester City are clearly struggling . When Arsenal couldn’t win any game in 3 and Man City couldn’t utilized it, I knew they are. It does not take anything away from amazing Arsenal’s run. This stats is myopic unless you aren’t watching man city this season…",False,"[17, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633428300528771e+18,1633428300528771074,1.507459023414698e+18,1507459023414697985,Rory_Talks_Ball,,,,,False,0,0,False,False,,en,en,recent,105910960,105910960,BAY,bayour20,🇿🇦🇳🇬🇬🇧🇺🇸,Strangers think I’m quiet...My Best friends know that I’m completely insane. A Musicophile and Cinephile.         God || Football || Family ||,https://t.co/fxFXywTvqS,"[{'url': 'https://t.co/fxFXywTvqS', 'expanded_url': 'http://www.instagram.com/bayour20', 'display_url': 'instagram.com/bayour20', 'indices': [0, 23]}]",[],False,8602,6963,4,Sun Jan 17 22:29:38 +0000 2010,45417,,,True,False,95519,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1367953865937666051/C9JEcxG2_normal.jpg,https://pbs.twimg.com/profile_images/1367953865937666051/C9JEcxG2_normal.jpg,https://pbs.twimg.com/profile_banners/105910960/1653823209,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:55:56 +0000 2023,1633511882022858752,1633511882022858752,Kyle Walker being investigated by police over indecent exposure allegations https://t.co/MHpQ2sUWAV,False,"[0, 99]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,524235256,524235256,Indy Football,IndyFootball,United Kingdom,"Football news, comment and features. Facebook: https://t.co/XolVsnfDGz Instagram: https://t.co/9rU9kYKeIP",https://t.co/VXlHUtHZPr,"[{'url': 'https://t.co/VXlHUtHZPr', 'expanded_url': 'http://www.independent.co.uk/sport/football/', 'display_url': 'independent.co.uk/sport/football/', 'indices': [0, 23]}]","[{'url': 'https://t.co/XolVsnfDGz', 'expanded_url': 'https://www.facebook.com/TheIndependentFootball', 'display_url': 'facebook.com/TheIndependent…', 'indices': [47, 70]}, {'url': 'https://t.co/9rU9kYKeIP', 'expanded_url': 'https://www.instagram.com/independentsport/', 'display_url': 'instagram.com/independentspo…', 'indices': [82, 105]}]",False,97898,100,1306,Wed Mar 14 10:44:23 +0000 2012,133,,,False,True,213731,,False,False,False,059426,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/981894325297647617/DQQ7XZQU_normal.jpg,https://pbs.twimg.com/profile_images/981894325297647617/DQQ7XZQU_normal.jpg,,E41E2B,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:24 +0000 2023,1633510993954324480,1633510993954324480,"In April Liverpool play...
• Manchester City (a)
• Chelsea (a)
• Arsenal (h)
• Leeds (a)
• Forest (h)
• West Ham (a)
• Spurs (h) https://t.co/lbd2oT00gk",False,"[0, 128]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1148221499544940546,1148221499544940546,Anyone But United TV,AnyoneButUtdTV,Everywhere,"It's the watch-along channel for fans who love to see Manchester United lose and, ideally, lose badly.",https://t.co/wz5tJimnO1,"[{'url': 'https://t.co/wz5tJimnO1', 'expanded_url': 'https://www.tiktok.com/@anyonebutunitedtv', 'display_url': 'tiktok.com/@anyonebutunit…', 'indices': [0, 23]}]",[],False,3210,1305,2,Mon Jul 08 13:25:13 +0000 2019,1334,,,False,False,2276,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1600794888395710468/DoMLVH1F_normal.jpg,https://pbs.twimg.com/profile_images/1600794888395710468/DoMLVH1F_normal.jpg,https://pbs.twimg.com/profile_banners/1148221499544940546/1678055394,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:51:45 +0000 2023,1633510830951071744,1633510830951071744,Erling Haaland shocked Manchester City teammate Julian Alvarez with surprise club he supports https://t.co/6obEIyh3yf,False,"[0, 117]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,346207646,346207646,itz_sure,Abiola_Musbizu,Abuja,"i'm quiet because I value my words, and speak only when there's reason.",https://t.co/eMJftme9Ps,"[{'url': 'https://t.co/eMJftme9Ps', 'expanded_url': 'http://musbizusblog.co', 'display_url': 'musbizusblog.co', 'indices': [0, 23]}]",[],False,273,753,5,Sun Jul 31 22:20:59 +0000 2011,72,,,True,False,98601,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1289629827063001088/1RfMzGuD_normal.jpg,https://pbs.twimg.com/profile_images/1289629827063001088/1RfMzGuD_normal.jpg,https://pbs.twimg.com/profile_banners/346207646/1572199820,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
