created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
Wed Mar 08 16:49:30 +0000 2023,1633510262861963276,1633510262861963276,#MOT View: 18-year-old appears all set to make #Leeds debut after behind-the-scenes impressions https://t.co/Beks2QgPSq,False,"[0, 119]","<a href=""https://www.google.com"" rel=""nofollow"">Sgt Wilkos 1919</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1141436762197245952,1141436762197245952,Sgt Wilkos 1919,sgtwilkos1919,,Sgt Wilkos 1919 💙💛 All things #LUFC. Unique Leeds Utd clothing #MOT #ALAW #LeedsUnited,https://t.co/FpuhO3arqw,"[{'url': 'https://t.co/FpuhO3arqw', 'expanded_url': 'https://sgtwilkos1919.bigcartel.com/', 'display_url': 'sgtwilkos1919.bigcartel.com', 'indices': [0, 23]}]",[],False,1040,1547,3,Wed Jun 19 20:05:05 +0000 2019,1600,,,False,False,44111,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_banners/1141436762197245952/1560975676,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:48:00 +0000 2023,1633509884581879832,1633509884581879832,"Leeds United have survival lessons to learn from 2022 escape act #lufc 
https://t.co/4FDB1EpeLi",False,"[0, 95]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,917724321585467395,917724321585467395,Leeds United Live,liveleedsunited,"Leeds, England","Leeds United Football Club news from Leeds Live. 
We're on Facebook: https://t.co/I1dzdR6p87
Get our newsletter from https://t.co/jmPTiOw1Q5",https://t.co/9YrDi0VzQR,"[{'url': 'https://t.co/9YrDi0VzQR', 'expanded_url': 'http://www.leeds-live.co.uk/sport/leeds-united/', 'display_url': 'leeds-live.co.uk/sport/leeds-un…', 'indices': [0, 23]}]","[{'url': 'https://t.co/I1dzdR6p87', 'expanded_url': 'http://facebook.com/LeedsUtdLive', 'display_url': 'facebook.com/LeedsUtdLive', 'indices': [69, 92]}, {'url': 'https://t.co/jmPTiOw1Q5', 'expanded_url': 'http://bit.ly/3lveGq5', 'display_url': 'bit.ly/3lveGq5', 'indices': [117, 140]}]",False,18869,310,176,Tue Oct 10 12:11:43 +0000 2017,229,,,True,True,62138,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1504431325759119369/qT40Jtlx_normal.jpg,https://pbs.twimg.com/profile_images/1504431325759119369/qT40Jtlx_normal.jpg,https://pbs.twimg.com/profile_banners/917724321585467395/1647519354,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:00 +0000 2023,1633509129917538323,1633509129917538323,"👀 Gnonto through the middle? That's what Mancini thinks. #lufc 

https://t.co/nhHuMejX47",False,"[0, 88]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,1,5,False,False,False,en,en,recent,966291292874592256,966291292874592256,Leeds United News,LeedsUnitedYEP,"Leeds, England",Subscribe to @LeedsNews for unlimited access to all the biggest news and sports stories in Leeds with 70% fewer ads: https://t.co/ktmTJXqcLX,https://t.co/rYDsDKvxls,"[{'url': 'https://t.co/rYDsDKvxls', 'expanded_url': 'https://www.yorkshireeveningpost.co.uk/sport/football/leeds-united', 'display_url': 'yorkshireeveningpost.co.uk/sport/football…', 'indices': [0, 23]}]","[{'url': 'https://t.co/ktmTJXqcLX', 'expanded_url': 'https://bit.ly/YEPsubscription', 'display_url': 'bit.ly/YEPsubscription', 'indices': [117, 140]}]",False,45770,308,271,Wed Feb 21 12:39:31 +0000 2018,33,,,True,False,38472,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1389355963749126151/V6r9x509_normal.jpg,https://pbs.twimg.com/profile_images/1389355963749126151/V6r9x509_normal.jpg,https://pbs.twimg.com/profile_banners/966291292874592256/1638747175,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:44:22 +0000 2023,1633508970567434241,1633508970567434241,"Leeds United senior player could be axed by Javi Gracia
https://t.co/BhJIs4SdB9",False,"[0, 79]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1513316725151969281,1513316725151969281,VCP Soccer,VCPSoccer,,"VCP Soccer is a curated soccer (football) website that pulls in articles, photos, and videos from sites around the globe.",https://t.co/GV6d8TbJAp,"[{'url': 'https://t.co/GV6d8TbJAp', 'expanded_url': 'https://vcpsoccer.com/', 'display_url': 'vcpsoccer.com', 'indices': [0, 23]}]",[],False,714,1734,1,Mon Apr 11 00:43:31 +0000 2022,10,,,False,False,35038,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1513318008051179521/9n5QFJbW_normal.jpg,https://pbs.twimg.com/profile_images/1513318008051179521/9n5QFJbW_normal.jpg,https://pbs.twimg.com/profile_banners/1513316725151969281/1651037719,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:44:19 +0000 2023,1633508957166739462,1633508957166739462,@Wohlverine If you’re driving you could also do the Leeds mural tour! (I’m yet to do this but it’s good!) https://t.co/c40UnFwe1m,False,"[12, 129]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335082762424566e+18,1633508276242456579,71436211.0,71436211,Wohlverine,,,,,False,0,0,False,False,True,en,en,recent,1147529516606197761,1147529516606197761,Beth,bethgabriel_,West Yorkshire ,"stressed, depressed, wildlife obsessed. advocate for the unappreciated 🐘🐋🐊🐆🦈 #lufc",,,[],False,5419,3181,7,Sat Jul 06 15:35:31 +0000 2019,192009,,,False,False,87111,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1491857841136836615/SrZyy9tE_normal.jpg,https://pbs.twimg.com/profile_images/1491857841136836615/SrZyy9tE_normal.jpg,https://pbs.twimg.com/profile_banners/1147529516606197761/1659945802,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:43:56 +0000 2023,1633508861406584850,1633508861406584850,"This is also @DanGriffin21 camera when theres Leeds United related orgasm noises from the next room.

To hear those in audio form check out the new episode of Rantermeisters now with @witticismsofben and @yodahew88 at all good podcast distribution centres!
https://t.co/QrjO81MMbv https://t.co/tW9g6Cgwe9",False,"[0, 280]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,2,2,False,False,False,en,en,recent,1558833691438227456,1558833691438227456,Rantermeisters,rantermeisters,,"A podcast hosted by @witticismsofben & @yodahew88 featuring ranting and raving about things that winds people up.

Logo credit @kpimagesanddsgn",https://t.co/t0Q5wakhL0,"[{'url': 'https://t.co/t0Q5wakhL0', 'expanded_url': 'http://pod.link/1643129030', 'display_url': 'pod.link/1643129030', 'indices': [0, 23]}]",[],False,306,614,0,Sun Aug 14 15:11:45 +0000 2022,878,,,False,False,651,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607488842491125760/ZWcY4r1y_normal.jpg,https://pbs.twimg.com/profile_images/1607488842491125760/ZWcY4r1y_normal.jpg,https://pbs.twimg.com/profile_banners/1558833691438227456/1668669983,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.6334413404605276e+18,1633441340460527616,Wed Mar 08 12:15:38 +0000 2023,1.6334413404605276e+18,1633441340460527616,@DanGriffin21 https://t.co/W69DFD6PQs,False,"[13, 13]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334402678049997e+18,1633440267804999680,90425867.0,90425867,DanGriffin21,110376681.0,110376681,🅺🅸🅽🅶 🅿🅸🅶🆂🅱🅻🅰🅳🅳🅴🆁🆂,pigsbladders,Nottingham,"Arsenal FC, Wrassling and talking nonsense",,[],False,3116.0,4887.0,7.0,Mon Feb 01 09:50:25 +0000 2010,3897.0,,,True,False,6198.0,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1612173278054912003/JJhVL_jy_normal.jpg,https://pbs.twimg.com/profile_images/1612173278054912003/JJhVL_jy_normal.jpg,https://pbs.twimg.com/profile_banners/110376681/1671538505,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none,[],,,,,False,0.0,2.0,False,False,False,qme,,,,,,,,,,,
Wed Mar 08 16:42:36 +0000 2023,1633508525912498176,1633508525912498176,"@Anastasiajoh200 @TrollFootball Lol, I’m a Liverpool fan
Yh, we won the title but we were shite
Started with a 3-3 draw vs Leeds, no new signings 
We were bad… meanwhile Aston villa had something to prove as new comers
But Manchester United took 6 at home, shameful",False,"[32, 265]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335079978160906e+18,1633507997816090625,1.567184372104577e+18,1567184372104577025,Anastasiajoh200,,,,,False,0,0,False,False,,en,en,recent,1457963326135283712,1457963326135283712,Daniel 🐆,DanniDefi,,Sports Betting ⚔️ Web 3,,,[],False,34,92,1,Tue Nov 09 06:49:02 +0000 2021,503,,,False,False,1105,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623711246531932164/i4k0Q8Kz_normal.jpg,https://pbs.twimg.com/profile_images/1623711246531932164/i4k0Q8Kz_normal.jpg,https://pbs.twimg.com/profile_banners/1457963326135283712/1675699315,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:40:00 +0000 2023,1633507871936716817,1633507871936716817,Report: Out-of-work manager set for long-term job after #Leeds United deal collapsed https://t.co/glQVqH6rq7,False,"[0, 108]","<a href=""https://www.google.com"" rel=""nofollow"">Sgt Wilkos 1919</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1141436762197245952,1141436762197245952,Sgt Wilkos 1919,sgtwilkos1919,,Sgt Wilkos 1919 💙💛 All things #LUFC. Unique Leeds Utd clothing #MOT #ALAW #LeedsUnited,https://t.co/FpuhO3arqw,"[{'url': 'https://t.co/FpuhO3arqw', 'expanded_url': 'https://sgtwilkos1919.bigcartel.com/', 'display_url': 'sgtwilkos1919.bigcartel.com', 'indices': [0, 23]}]",[],False,1040,1547,3,Wed Jun 19 20:05:05 +0000 2019,1600,,,False,False,44111,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_banners/1141436762197245952/1560975676,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:35:33 +0000 2023,1633506753840046082,1633506753840046082,#Leeds United have Premier League survival lessons to learn from 2022 escape act https://t.co/Y8kSmK3PTL,False,"[0, 104]","<a href=""https://www.google.com"" rel=""nofollow"">Sgt Wilkos 1919</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1141436762197245952,1141436762197245952,Sgt Wilkos 1919,sgtwilkos1919,,Sgt Wilkos 1919 💙💛 All things #LUFC. Unique Leeds Utd clothing #MOT #ALAW #LeedsUnited,https://t.co/FpuhO3arqw,"[{'url': 'https://t.co/FpuhO3arqw', 'expanded_url': 'https://sgtwilkos1919.bigcartel.com/', 'display_url': 'sgtwilkos1919.bigcartel.com', 'indices': [0, 23]}]",[],False,1040,1547,3,Wed Jun 19 20:05:05 +0000 2019,1600,,,False,False,44111,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_banners/1141436762197245952/1560975676,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:35:12 +0000 2023,1633506665264816132,1633506665264816132,Selling 2x tickets for Arsenal vs Leeds United. Message me if interested.,False,"[0, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1306709767,1306709767,James Cadman,james_cadman11,"London, England",Football lover…,,,[],False,329,3,0,Wed Mar 27 06:33:49 +0000 2013,0,,,False,False,204,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1632796432108339200/ZSEJvt6h_normal.jpg,https://pbs.twimg.com/profile_images/1632796432108339200/ZSEJvt6h_normal.jpg,https://pbs.twimg.com/profile_banners/1306709767/1678123993,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:33:00 +0000 2023,1633506109574230017,1633506109574230017,"Leeds United U21s duo hailed as supporters send Javi Gracia Brighton team selection message

#lufc https://t.co/NUUzauJUq6",False,"[0, 122]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,917724321585467395,917724321585467395,Leeds United Live,liveleedsunited,"Leeds, England","Leeds United Football Club news from Leeds Live. 
We're on Facebook: https://t.co/I1dzdR6p87
Get our newsletter from https://t.co/jmPTiOw1Q5",https://t.co/9YrDi0VzQR,"[{'url': 'https://t.co/9YrDi0VzQR', 'expanded_url': 'http://www.leeds-live.co.uk/sport/leeds-united/', 'display_url': 'leeds-live.co.uk/sport/leeds-un…', 'indices': [0, 23]}]","[{'url': 'https://t.co/I1dzdR6p87', 'expanded_url': 'http://facebook.com/LeedsUtdLive', 'display_url': 'facebook.com/LeedsUtdLive', 'indices': [69, 92]}, {'url': 'https://t.co/jmPTiOw1Q5', 'expanded_url': 'http://bit.ly/3lveGq5', 'display_url': 'bit.ly/3lveGq5', 'indices': [117, 140]}]",False,18869,310,176,Tue Oct 10 12:11:43 +0000 2017,229,,,True,True,62138,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1504431325759119369/qT40Jtlx_normal.jpg,https://pbs.twimg.com/profile_images/1504431325759119369/qT40Jtlx_normal.jpg,https://pbs.twimg.com/profile_banners/917724321585467395/1647519354,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:31:16 +0000 2023,1633505676013051919,1633505676013051919,"João Palhinha’s remarkable strike against Leeds United has been voted Fulham’s Goal of the Month for February.
Personally I'd have gone with Willian 😉 ⚫⚪ #FFC #FulhamFC  https://t.co/nG4lxqAOiX",False,"[0, 193]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,7,False,False,False,en,en,recent,1300843965093154817,1300843965093154817,FulhamFanNews,FulhamTransfer,"South East, England","FAN ACCOUNT. ✍️Writer/Contributor @Hammyend FulhamFC news🗞️ as soon as it breaks.🚨⚫⚪ FFN15 for 15% off at ➡️
https://t.co/XkueXM7B6U",https://t.co/bGPcomypl2,"[{'url': 'https://t.co/bGPcomypl2', 'expanded_url': 'https://hammyend.com/', 'display_url': 'hammyend.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/XkueXM7B6U', 'expanded_url': 'https://foco-uk.sjv.io/c/4009549/1601376/12766', 'display_url': 'foco-uk.sjv.io/c/4009549/1601…', 'indices': [109, 132]}]",False,8430,864,42,Tue Sep 01 17:12:31 +0000 2020,3514,,,False,False,18080,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1614191093330939904/mbwBt4Ov_normal.jpg,https://pbs.twimg.com/profile_images/1614191093330939904/mbwBt4Ov_normal.jpg,https://pbs.twimg.com/profile_banners/1300843965093154817/1673466686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:30:49 +0000 2023,1633505560308981772,1633505560308981772,'Leaving the comfort zone' - #Leeds United man Diego Llorente breaks silence on January loan exit https://t.co/aYBY6geutL,False,"[0, 121]","<a href=""https://www.google.com"" rel=""nofollow"">Sgt Wilkos 1919</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1141436762197245952,1141436762197245952,Sgt Wilkos 1919,sgtwilkos1919,,Sgt Wilkos 1919 💙💛 All things #LUFC. Unique Leeds Utd clothing #MOT #ALAW #LeedsUnited,https://t.co/FpuhO3arqw,"[{'url': 'https://t.co/FpuhO3arqw', 'expanded_url': 'https://sgtwilkos1919.bigcartel.com/', 'display_url': 'sgtwilkos1919.bigcartel.com', 'indices': [0, 23]}]",[],False,1040,1547,3,Wed Jun 19 20:05:05 +0000 2019,1600,,,False,False,44111,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg,https://pbs.twimg.com/profile_banners/1141436762197245952/1560975676,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:54 +0000 2023,1633503568534675461,1633503568534675461,"Leeds United v Brighton &amp; Hove Albion Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Saturday's game at Elland Road

#LUFC #BHAFC 
https://t.co/PcsCbdoSTF https://t.co/8nByE9aQki",False,"[0, 188]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:20:18 +0000 2023,1633502913153703939,1633502913153703939,"@goonerdave420 @Junior10Muzza @WelBeast Show me your global fans , how many Epl and a Champions league. Leeds United is bigger than Arsenal.",False,"[40, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335009230655078e+18,1633500923065507846,1.58573190134784e+18,1585731901347840000,goonerdave420,,,,,False,0,0,False,False,,en,en,recent,941117509675122688,941117509675122688,HERE WE DON’T GO!!!,ZUBEYR_H,"Manchester, England",MANCHESTER BY BIRTH AND UNITED BY BLOOD 🩸.,,,[],False,3,164,0,Thu Dec 14 01:27:54 +0000 2017,130,,,False,False,133,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631508216482869249/1pZZo33k_normal.jpg,https://pbs.twimg.com/profile_images/1631508216482869249/1pZZo33k_normal.jpg,https://pbs.twimg.com/profile_banners/941117509675122688/1677816856,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:17:58 +0000 2023,1633502329193234434,1633502329193234434,"Leeds United v Brighton &amp; Hove Albion All-Time Premier League Match Records ahead of Saturday's game at Elland Road 

Leeds Wins: 0
Draws: 2
Brighton Wins: 3
Goals Scored: Leeds 1-5 Brighton 

#LUFC #BHAFC 
https://t.co/iNxyZl8nMK https://t.co/gWP9JGKqNE",False,"[0, 234]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
