created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 03:09:22 +0000 2023,1633303870515593216,1633303870515593216,"Aight imma say it, with them being knocked out of Europe, Dortmund will solely focus on the Bundesliga now, and they WILL win it. Borussia Dortmund will be the champions of the Bundesliga 22/23.",False,"[0, 194]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1541947356181999616,1541947356181999616,LewandowskiAppreciator,Notyellowlemon,,Just a guy who loves Football and FC Barcelona,,[],False,8,39,0,Wed Jun 29 00:52:26 +0000 2022,9691,,,False,False,1221,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1614790442973040641/wCUvdEYZ_normal.jpg,https://pbs.twimg.com/profile_images/1614790442973040641/wCUvdEYZ_normal.jpg,https://pbs.twimg.com/profile_banners/1541947356181999616/1674975351,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:08:46 +0000 2023,1633303717423267840,1633303717423267840,"‘VAR is ruining the sport’ – furious fans brutally hit out at VAR after controversial penalty decision against Borussia Dortmund
https://t.co/nerlRe2UaF",False,"[0, 152]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1499684987532197888,1499684987532197888,usa jaun news,UsaJaun,,,,[],False,5325,4859,1,Fri Mar 04 09:56:07 +0000 2022,135,,,False,False,219915,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1500147894481035265/Y73g8L6H_normal.jpg,https://pbs.twimg.com/profile_images/1500147894481035265/Y73g8L6H_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:06:46 +0000 2023,1633303215138545665,1633303215138545665,https://t.co/31DK9uSDVd  Kai Havertz penalty drama helps Chelsea edge past Borussia Dortmund https://t.co/Mnn47uEu9U,False,"[0, 92]","<a href=""https://www.socialchamp.io"" rel=""nofollow"">SocialChamp IO </a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1134829494315954182,1134829494315954182,Spreaditghana,spreaditghana,Ghana,#Blogging #Viral #Broadcast #Reports #Interviews #Polls #Entertainment #Community #Music #Politics #Campaign #OnLine #Ghana #Accra #Tv #Radio #News #Voice 🇬🇭,https://t.co/pLTvveZ6SS,[],False,57,518,0,Sat Jun 01 14:30:10 +0000 2019,10,,,False,False,13534,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1604083476663353345/qqWHjsKB_normal.jpg,https://pbs.twimg.com/profile_images/1604083476663353345/qqWHjsKB_normal.jpg,https://pbs.twimg.com/profile_banners/1134829494315954182/1671278278,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/pLTvveZ6SS', 'expanded_url': 'https://spreaditghana.com/', 'display_url': 'spreaditghana.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:06:09 +0000 2023,1633303061329506304,1633303061329506304,"Chelsea kept their season alive by beating Borussia Dortmund 2-0 at Stamford Bridge to progress to the quarter-finals of the Champions League 2-1 on aggregate yesterday. 

https://t.co/0chOwtipst",False,"[0, 195]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1300483034739691520,1300483034739691520,TheVibes.com,thevibesnews,"Kuala Lumpur, Malaysia","Malaysia’s fastest-growing news portal featuring breaking news, exclusive interviews, and all the relevant insight #FromEverySide",https://t.co/PEDcbU3GOI,[],False,46257,228,192,Mon Aug 31 17:18:20 +0000 2020,140,,,True,False,66532,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1531536431826763776/W3n6yLsJ_normal.jpg,https://pbs.twimg.com/profile_images/1531536431826763776/W3n6yLsJ_normal.jpg,https://pbs.twimg.com/profile_banners/1300483034739691520/1657187112,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/PEDcbU3GOI', 'expanded_url': 'http://thevibes.com', 'display_url': 'thevibes.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:04:42 +0000 2023,1633302693358731265,1633302693358731265,#youtube Edin Terzić's DISAPPOINTMENT after the ELIMINATION of Borussia Dortmund against Chelsea in the UCL https://t.co/yGHFcZPBuE,False,"[0, 131]","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1399515371217080324,1399515371217080324,TJ Sports USA,TJSportsUSA,"Riverside, California","Here you'll find the latest news from the NBA, MLS, MLB, and more! 

Follow us! 

Se habla español: @TJSportsMX

Other languages: @TJSportsExtra",https://t.co/1E2CK7zK2d,[],False,118,10,1,Mon May 31 23:57:28 +0000 2021,42,,,False,False,10016,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1437325791843561482/dn-fJU2u_normal.jpg,https://pbs.twimg.com/profile_images/1437325791843561482/dn-fJU2u_normal.jpg,https://pbs.twimg.com/profile_banners/1399515371217080324/1622505959,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/1E2CK7zK2d', 'expanded_url': 'http://www.youtube.com/TJSportsUSA', 'display_url': 'youtube.com/TJSportsUSA', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:04:41 +0000 2023,1633302691265880065,1633302691265880065,#youtube Graham Potter's REACTION to Chelsea's incredible WIN over Borussia Dortmund in the Champions League https://t.co/oyoMXiErFj,False,"[0, 132]","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1399515371217080324,1399515371217080324,TJ Sports USA,TJSportsUSA,"Riverside, California","Here you'll find the latest news from the NBA, MLS, MLB, and more! 

Follow us! 

Se habla español: @TJSportsMX

Other languages: @TJSportsExtra",https://t.co/1E2CK7zK2d,[],False,118,10,1,Mon May 31 23:57:28 +0000 2021,42,,,False,False,10016,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1437325791843561482/dn-fJU2u_normal.jpg,https://pbs.twimg.com/profile_images/1437325791843561482/dn-fJU2u_normal.jpg,https://pbs.twimg.com/profile_banners/1399515371217080324/1622505959,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/1E2CK7zK2d', 'expanded_url': 'http://www.youtube.com/TJSportsUSA', 'display_url': 'youtube.com/TJSportsUSA', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:03:24 +0000 2023,1633302367251644419,1633302367251644419,"Champions League

128°. Chelsea 2 x 0 Borussia Dortmund. https://t.co/X4oJiV5y0s",False,"[0, 56]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6329395518186537e+18,1632939551818653697,1.185917774914347e+18,1185917774914347009,spfcrealmd,,,,,False,0,0,False,False,en,en,recent,1185917774914347009,1185917774914347009,k. 🇾🇪🐏,spfcrealmd,"São Paulo, Brasil","ah mano, nem eu sei mais",https://t.co/2aH0Wy08Ke,[],False,1265,1284,6,Sun Oct 20 13:56:55 +0000 2019,24789,,,False,False,38761,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620208433659105280/r3Sn_f3z_normal.jpg,https://pbs.twimg.com/profile_images/1620208433659105280/r3Sn_f3z_normal.jpg,https://pbs.twimg.com/profile_banners/1185917774914347009/1653319213,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/2aH0Wy08Ke', 'expanded_url': 'http://16.xn--02-oth', 'display_url': '16.02ಌ', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:01:07 +0000 2023,1633301792342548485,1633301792342548485,Chelsea star Ben Chilwell has smoke canister thrown at him by Dortmund fans as referee is forced to halt match https://t.co/Pf9WkTfPAQ,False,"[0, 134]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,301527968,301527968,Irish Sun Sport,IrishSunSport,Dublin,"The latest on GAA, League of Ireland, Premier League & Champions League.  Home of https://t.co/P4NKYOtpb9",https://t.co/4rHj0lsU1H,"[{'url': 'https://t.co/P4NKYOtpb9', 'expanded_url': 'http://play.acast.com/s/therockyroad', 'display_url': 'play.acast.com/s/therockyroad', 'indices': [82, 105]}]",False,8076,1997,142,Thu May 19 16:33:26 +0000 2011,966,,,True,True,190134,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/876164395268796416/Vdr_VqDS_normal.jpg,https://pbs.twimg.com/profile_images/876164395268796416/Vdr_VqDS_normal.jpg,https://pbs.twimg.com/profile_banners/301527968/1562007733,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/4rHj0lsU1H', 'expanded_url': 'http://www.thesun.ie', 'display_url': 'thesun.ie', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:00:18 +0000 2023,1633301586402263040,1633301586402263040,"The decision to allow Kai Havertz to re-take his penalty was a ""joke"", Borussia Dortmund midfielder Jude Bellingham said after Chelsea knocked the German club out of the Champions League on Tuesday. https://t.co/2YGaeZdr1W",False,"[0, 222]","<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,26851173,26851173,Reuters Sports,ReutersSports,Global,Full coverage of international sports from Reuters.,http://t.co/E7h3bU6yVL,[],False,43477,358,1524,Thu Mar 26 21:06:30 +0000 2009,35,,,False,True,122944,,False,False,False,444444,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1151162297668296709/MosL-F45_normal.png,https://pbs.twimg.com/profile_images/1151162297668296709/MosL-F45_normal.png,https://pbs.twimg.com/profile_banners/26851173/1561491190,006F97,F5F5F5,F5F5F5,333333,False,False,False,False,False,False,False,none,[],False,"[{'url': 'http://t.co/E7h3bU6yVL', 'expanded_url': 'http://www.reuters.com', 'display_url': 'reuters.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:00:04 +0000 2023,1633301527745138688,1633301527745138688,"Chelsea vs. Borussia Dortmund Champions League participant rankings: Raheem Sterling steps up; Gio Reyna disappoints #sportnews #sportingnews
https://t.co/jV3oIYZ381",False,"[0, 165]","<a href=""https://www.fs-poster.com/"" rel=""nofollow"">FS Poster by FS Code</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1306344123306323970,1306344123306323970,URL4EVER,Url4Ever,United States,World trends from Global News resource's.,https://t.co/l6smdNexe1,[],False,75,11,1,Wed Sep 16 21:28:18 +0000 2020,11,,,False,False,78642,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1350325726260699136/F9VU99I0_normal.jpg,https://pbs.twimg.com/profile_images/1350325726260699136/F9VU99I0_normal.jpg,https://pbs.twimg.com/profile_banners/1306344123306323970/1600292133,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/l6smdNexe1', 'expanded_url': 'http://url4ever.com', 'display_url': 'url4ever.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:00:02 +0000 2023,1633301521235431425,1633301521235431425,"#Chelsea 2-0 #BorussiaDortmund (2-1 agg): #ChampionsLeague last 16
 - https://t.co/eSvIJ8ae2U",False,"[0, 93]","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,125481375,125481375,2getaticket.com,2getaticket,London UK,"Buy Tickets for Concerts,Festivals,Sports & Exclusive VIP Event Tickets. Film Premieres, Film Festivals & Award ceremonies",http://t.co/OEdEtCz0yV,[],False,8001,3697,66,Mon Mar 22 23:41:05 +0000 2010,3419,,,True,False,30605,,False,False,False,870B47,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,True,http://pbs.twimg.com/profile_images/884035073/Copy_of_2gLogo_normal.jpg,https://pbs.twimg.com/profile_images/884035073/Copy_of_2gLogo_normal.jpg,https://pbs.twimg.com/profile_banners/125481375/1355798897,CC3366,E619D8,E6F6F9,333333,True,False,False,False,False,False,False,none,[],False,"[{'url': 'http://t.co/OEdEtCz0yV', 'expanded_url': 'http://2getaticket.com', 'display_url': '2getaticket.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:59:49 +0000 2023,1633301466344570880,1633301466344570880,Chelsea vs Borussia Dortmund was on TNT (brazil). Coverage presented by Taynah Espinoza. With commentary from André Henning. Co-commentator is Vitor Sérgio Rodrigues. Reporter is Fred Caldeira.  For more details see https://t.co/AaJOO2AU5D #Chelsea #BorussiaDortmund #TNTbrazil,False,"[0, 277]","<a href=""https://icdb.tv"" rel=""nofollow"">ICDB2022</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1183712712146198528,1183712712146198528,Internet Commentator Database ICDb,ICDb_tv,UK,Internet Commentator Database,https://t.co/NZTJcBgu2b,[],False,1939,5004,20,Mon Oct 14 11:54:42 +0000 2019,32336,,,False,False,269765,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1183713659471745024/rrBuraMz_normal.jpg,https://pbs.twimg.com/profile_images/1183713659471745024/rrBuraMz_normal.jpg,https://pbs.twimg.com/profile_banners/1183712712146198528/1675285658,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/NZTJcBgu2b', 'expanded_url': 'https://www.icdb.tv', 'display_url': 'icdb.tv', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:57:19 +0000 2023,1633300836062224385,1633300836062224385,"Champions League 2023 Chelsea x Borussia Dortmund (1/8 finais, 2ª) com André Henning (TNT Sports) 2t
https://t.co/2vXMJNgR6B
Champions League 2023 (Blog): https://t.co/2mqKxUMMNf",False,"[0, 178]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,576303088,576303088,Futebol Total GJ,FutebolTotalGJ,Fortaleza,⚽️,https://t.co/ZzguL7enhn,[],False,25,2,0,Thu May 10 14:59:13 +0000 2012,1,,,False,False,1077,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1146838748644204544/Dycedfdg_normal.png,https://pbs.twimg.com/profile_images/1146838748644204544/Dycedfdg_normal.png,https://pbs.twimg.com/profile_banners/576303088/1658173668,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/ZzguL7enhn', 'expanded_url': 'https://futeboltotalgrandesjogos.blogspot.com/', 'display_url': 'futeboltotalgrandesjogos.blogspot.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:56:28 +0000 2023,1633300621909544965,1633300621909544965,"#UCL Round of 16 Results: 

Benfica 5-1 Club Bruges (Agg 7-1)
Chelsea 2-0 Borussia Dortmund (Agg 2-1)",False,"[0, 101]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,242308246,242308246,EWN Sport,EWNsport,,Stories from the EWN Sport desk with score updates on selected live sporting fixtures. Mail us on ewnsport@ewn.co.za or visit https://t.co/nLJyAJImuv,https://t.co/xx3aGI89Jt,"[{'url': 'https://t.co/nLJyAJImuv', 'expanded_url': 'https://ewn.co.za/categories/sport', 'display_url': 'ewn.co.za/categories/spo…', 'indices': [126, 149]}]",False,55337,4328,350,Mon Jan 24 13:36:36 +0000 2011,76,,,True,True,179050,,False,False,False,F8F8F8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/498685319789568002/ZIb8DpOD_normal.png,https://pbs.twimg.com/profile_images/498685319789568002/ZIb8DpOD_normal.png,https://pbs.twimg.com/profile_banners/242308246/1582007121,DC0707,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,[],,"[{'url': 'https://t.co/xx3aGI89Jt', 'expanded_url': 'http://bit.ly/3x9GfJM', 'display_url': 'bit.ly/3x9GfJM', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:55:52 +0000 2023,1633300472827203584,1633300472827203584,Chelsea Overcome Borussia Dortmund To Reach Last Eight – https://t.co/J74CM6HpqE,False,"[0, 80]","<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1616938266842009605,1616938266842009605,Kamran Jamili,JamiliKamran,,,,[],False,4,4,0,Sat Jan 21 23:18:34 +0000 2023,7,,,False,False,3076,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616938667909734401/8IXQaXbm_normal.jpg,https://pbs.twimg.com/profile_images/1616938667909734401/8IXQaXbm_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:55:51 +0000 2023,1633300468897132544,1633300468897132544,Chelsea Overcome Borussia Dortmund To Reach Last Eight – https://t.co/guLYH8TZ9A,False,"[0, 80]","<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1617117972396666880,1617117972396666880,Jani G,JaniG74096240,,,,[],False,4,13,0,Sun Jan 22 11:12:31 +0000 2023,24,,,False,False,4165,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1617118800872345602/6p_Vj7PL_normal.jpg,https://pbs.twimg.com/profile_images/1617118800872345602/6p_Vj7PL_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:49:50 +0000 2023,1633298954409463808,1633298954409463808,"Champions League 2023 Chelsea x Borussia Dortmund (1/8 finais, 2ª) com André Henning (TNT Sports) 1t
https://t.co/eYVfom71dU
Champions League 2023 (Blog): https://t.co/2mqKxUMMNf",False,"[0, 178]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,576303088,576303088,Futebol Total GJ,FutebolTotalGJ,Fortaleza,⚽️,https://t.co/ZzguL7enhn,[],False,25,2,0,Thu May 10 14:59:13 +0000 2012,1,,,False,False,1077,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1146838748644204544/Dycedfdg_normal.png,https://pbs.twimg.com/profile_images/1146838748644204544/Dycedfdg_normal.png,https://pbs.twimg.com/profile_banners/576303088/1658173668,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/ZzguL7enhn', 'expanded_url': 'https://futeboltotalgrandesjogos.blogspot.com/', 'display_url': 'futeboltotalgrandesjogos.blogspot.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:49:03 +0000 2023,1633298757159665664,1633298757159665664,"Chelsea beat Borussia Dortmund 2-0 to book their spot in the Champions League quarter-final
https://t.co/jYuFz47HOQ",False,"[0, 115]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1499684987532197888,1499684987532197888,usa jaun news,UsaJaun,,,,[],False,5325,4859,1,Fri Mar 04 09:56:07 +0000 2022,135,,,False,False,219915,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1500147894481035265/Y73g8L6H_normal.jpg,https://pbs.twimg.com/profile_images/1500147894481035265/Y73g8L6H_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:47:57 +0000 2023,1633298478867595265,1633298478867595265,"Chelsea 2–0 Borussia Dortmund, UEFA Champions League 2022–23: Blues Mount Second Leg Comeback to Enter Quarterfinals (Watch Goal Video Highlights)

@ChelseaFC @BlackYellow @ChampionsLeague #CHEBVB #ChampionsLeague #UCL 

https://t.co/azKu6aSK8v",False,"[0, 244]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,828841083257778176,828841083257778176,LatestLY,latestly,"Mumbai, India","https://t.co/UVDtERUJlr focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news.",https://t.co/UVDtERUJlr,"[{'url': 'https://t.co/UVDtERUJlr', 'expanded_url': 'https://www.LatestLY.com', 'display_url': 'LatestLY.com', 'indices': [0, 23]}]",False,75097,352,130,Tue Feb 07 05:41:28 +0000 2017,146,,,True,True,312963,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/950961428181037056/pXvuVpuy_normal.jpg,https://pbs.twimg.com/profile_images/950961428181037056/pXvuVpuy_normal.jpg,https://pbs.twimg.com/profile_banners/828841083257778176/1539250679,8700C6,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/UVDtERUJlr', 'expanded_url': 'https://www.LatestLY.com', 'display_url': 'LatestLY.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
