created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 00:05:23 +0000 2023,1633257567454482432,1633257567454482432,"*Cont
( @LFC beat Deportivo Álavés 5-4 (A-Westfalenstadion) (Uefa Cup Final)
(Golden Goal in Extra Time)
(Goals: Markus Babbel, A Worldie from Steven Gerrard MBE, Gary McAllister MBE (Pen), @Robbie9Fowler &amp; Delfi Geli OG (Golden Goal) )

( @LFC  win the Uefa Cup for the 3rd time)",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,545913078,545913078,GERRARDINHO ® Matt A 🏆PL CHAMP19NS🏆 🇺🇦,GerrardinhoNo8,"Liverpool, England",Huge @LFC Fan #YNWA #JF97 6x🏆 #LFCFamily & @Neighbours fan #DontBuyTheSun followed by @LFC @RealRazor @KarleeLeilani @Holyfield @TonyTodd54 @JohnCena 💙 #NHS,,[],False,5308,5903,20,Thu Apr 05 09:22:15 +0000 2012,135159,,,False,False,104152,,False,False,False,C31014,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1591943231910158336/jX-NrBWw_normal.jpg,https://pbs.twimg.com/profile_images/1591943231910158336/jX-NrBWw_normal.jpg,https://pbs.twimg.com/profile_banners/545913078/1668383822,FF1011,FFFFFF,DDEEF6,0084B4,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:33:49 +0000 2023,1633234524002996224,1633234524002996224,@Fsnikk1 Name 5 Alaves players without googling,False,"[9, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332293209560474e+18,1633229320956047366,1.5288739027972055e+18,1528873902797205505,Fsnikk1,,,,,False,0,0,False,False,en,en,recent,1077619323970084864,1077619323970084864,#MountOut #HavertzOut #GalladogOut,W4RAKIRI,"Москва, Россия",real hater,,[],False,389,255,3,Tue Dec 25 17:37:22 +0000 2018,25317,,,True,False,60509,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623314588052897792/bNJefI0u_normal.jpg,https://pbs.twimg.com/profile_images/1623314588052897792/bNJefI0u_normal.jpg,https://pbs.twimg.com/profile_banners/1077619323970084864/1657297166,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:10:25 +0000 2023,1633168240208760832,1633168240208760832,"Alaves
#LigaF 
·futfem https://t.co/xU0EHlVWqc",False,"[0, 22]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,251534146,251534146,noski sky,noskisky,Euskal Herria,,,[],False,1845,221,12,Sun Feb 13 10:03:00 +0000 2011,1375,,,True,False,8210,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1254885650551234564/pLWtB8xQ_normal.jpg,https://pbs.twimg.com/profile_images/1254885650551234564/pLWtB8xQ_normal.jpg,https://pbs.twimg.com/profile_banners/251534146/1588021977,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:04:07 +0000 2023,1633151553925181454,1633151553925181454,"@Fly89_ This is totally right. That said, I think we definitely have a free transfer in place for the summer window. I know Alaves’ left back fits our profile and played with Miazga while he was on loan there. He’s out of contract and could likely be brought in for about $5-600K",False,"[8, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331486604554732e+18,1633148660455473153,1.313981428397478e+18,1313981428397477890,Fly89_,,,,,False,0,2,False,False,en,en,recent,1330559108521598978,1330559108521598978,Adam Kuhn,crackityFC,"Ohio, USA",Soccer fanatic and new podcaster for You Ain’t Lion #YAL,,[],False,166,118,7,Sun Nov 22 17:09:59 +0000 2020,5662,,,False,False,4326,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1488944366009913345/hFohBbBM_normal.jpg,https://pbs.twimg.com/profile_images/1488944366009913345/hFohBbBM_normal.jpg,https://pbs.twimg.com/profile_banners/1330559108521598978/1606067194,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:12:55 +0000 2023,1633108468000337921,1633108468000337921,@Alaves_eus file:///C:/Users/Usuario/Downloads/pdfcoffee.com_bodyweight-sports-training-5-pdf-free.pdf,False,"[12, 102]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6330249388597207e+18,1633024938859720706,7.585778628531323e+17,758577862853132288,Alaves_eus,,,,,False,0,0,False,False,en,en,recent,1600266725353836549,1600266725353836549,Karlota Gorrotxategui Aguirre,CGorrocha,"Vitoria,Euskadi,España","Doctora en ciencias del deporte,doctora  en ciencias marciales y culturista ifbb.Kirol zientzietan doktorea, arte martzialetan doktorea eta bodybuilder ifbb",https://t.co/1lhpZ2zvmw,[],False,26,55,0,Tue Dec 06 23:12:00 +0000 2022,4651,,,False,False,6526,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633189185564672001/ukFHCPRY_normal.jpg,https://pbs.twimg.com/profile_images/1633189185564672001/ukFHCPRY_normal.jpg,https://pbs.twimg.com/profile_banners/1600266725353836549/1678060096,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/1lhpZ2zvmw', 'expanded_url': 'https://canal-muscle.webnode.es/', 'display_url': 'canal-muscle.webnode.es', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:39:27 +0000 2023,1633100048660570112,1633100048660570112,As a result of Alaves losing Eibars price has been cut . But what I’m puzzled about is why Granada are 8-1? 🤔 I could have sworn they were previously 6-1 but I must surely be wrong because it would make no sense. But even if they were 8-1 why have they not been cut too ?,False,"[0, 271]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1079530578,1079530578,Tony Morris,moggis200,"London, England",A genuine loser who stumbled on the easiest way to win money from sports betting and now seems to be in one of those Twilight Zones where things r back to front,,[],False,159,152,3,Fri Jan 11 12:38:23 +0000 2013,225,,,True,False,1729,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1563020905659375616/WU_O3cj7_normal.jpg,https://pbs.twimg.com/profile_images/1563020905659375616/WU_O3cj7_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:38:47 +0000 2023,1633099878707363844,1633099878707363844,@MadridXtra I remember that alaves games,False,"[12, 40]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.63305816651767e+18,1633058166517669891,1.3265641522913157e+18,1326564152291315713,MadridXtra,,,,,False,0,6,False,False,en,en,recent,1380078022800384002,1380078022800384002,v🕙🇺🇸🇺🇸,Sammy_RMFC,Somewhere,"a fede valverde, real Madrid and Ronaldo big fan",,[],False,319,549,1,Thu Apr 08 08:40:33 +0000 2021,10022,,,False,False,7492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1610245183513190400/H3tf2vD6_normal.jpg,https://pbs.twimg.com/profile_images/1610245183513190400/H3tf2vD6_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:35:08 +0000 2023,1633098961954242561,1633098961954242561,"Last night was a very very good one for me . One thing that happened was Alaves losing which has finally, finally made the trickiest of markets significantly more straightforward. However there’s an aspect of this market that I’m now a bit puzzled about . https://t.co/TwyruMjBHo",False,"[0, 255]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1079530578,1079530578,Tony Morris,moggis200,"London, England",A genuine loser who stumbled on the easiest way to win money from sports betting and now seems to be in one of those Twilight Zones where things r back to front,,[],False,159,152,3,Fri Jan 11 12:38:23 +0000 2013,225,,,True,False,1729,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1563020905659375616/WU_O3cj7_normal.jpg,https://pbs.twimg.com/profile_images/1563020905659375616/WU_O3cj7_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:08:27 +0000 2023,1633092245967589376,1633092245967589376,Deportivo Alaves 4-1 was so beautiful https://t.co/ANOs0p45Z9 https://t.co/Fzy926jYrC,False,"[0, 61]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,1,False,False,en,en,recent,1479125898024689667,1479125898024689667,•🕸•,ViggeComps,,𝘙𝘦𝘢𝘭 𝘔𝘢𝘥𝘳𝘪𝘥 • 𝘍𝘶𝘭𝘩𝘢𝘮 𝘍𝘊 • 𝘍𝘰𝘰𝘵𝘣𝘢𝘭𝘭 𝘊𝘰𝘮𝘱𝘴 🎥 •,https://t.co/UNeHn2TJ5e,[],False,890,160,4,Thu Jan 06 16:21:24 +0000 2022,7738,,,False,False,2298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1557859449930452992/xvKGU6hK_normal.jpg,https://pbs.twimg.com/profile_images/1557859449930452992/xvKGU6hK_normal.jpg,https://pbs.twimg.com/profile_banners/1479125898024689667/1650878931,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/UNeHn2TJ5e', 'expanded_url': 'https://youtube.com/channel/UChwo4tGnQ-ASQd3Ak74SOPA', 'display_url': 'youtube.com/channel/UChwo4…', 'indices': [0, 23]}]",1.63305816651767e+18,1633058166517669891,Tue Mar 07 10:53:02 +0000 2023,1.63305816651767e+18,1633058166517669891,"❗️🇫🇷 David Bettoni (the assistant to Zinedine Zidane) has become a first team coach for the first time in his career. He will manage the Switzerland side, FC Sion. https://t.co/v0DaPmkrs5",False,"[0, 163]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.3265641522913157e+18,1326564152291315713,Madrid Xtra,MadridXtra,"Madrid, Spain.","📲 All Real Madrid updates, transfer news, stats, pictures and much more are found right here. A page for the fans.",https://t.co/8TRH9Z7aUB,"[{'url': 'https://t.co/8TRH9Z7aUB', 'expanded_url': 'https://linktr.ee/madridxtra', 'display_url': 'linktr.ee/madridxtra', 'indices': [0, 23]}]",[],False,698157.0,165.0,1278.0,Wed Nov 11 16:35:27 +0000 2020,6.0,,,False,False,50723.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1543662848332677121/QHa-iUwo_normal.jpg,https://pbs.twimg.com/profile_images/1543662848332677121/QHa-iUwo_normal.jpg,https://pbs.twimg.com/profile_banners/1326564152291315713/1656872681,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,290.0,9861.0,False,False,False,en
Tue Mar 07 12:51:28 +0000 2023,1633087970424020994,1633087970424020994,"@ProdigyMahadeva @LSR_RM Sevilla have won more Europa leagues than any other team.
Valencia reached 2 Champions League finals
Villarreal won a Europa league title
Bilbao, one of the top three cup and league winners in Spain.
Betis, Celta, Deportivo, Alaves - all reached final 4 of European finals.",False,"[25, 298]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6330812841708585e+18,1633081284170858502,1.5179646139917763e+18,1517964613991776256,ProdigyMahadeva,,,,,False,0,0,False,False,en,en,recent,142725458,142725458,Jaime Solloso,jsolloso,,"An IQ of 137 which appears to trigger people...

Views are my own and not representative of my work or anything regarding more significant debate. #NoToWar",,[],False,959,943,1,Tue May 11 15:56:34 +0000 2010,183331,,,True,False,78554,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1422982871602667526/KLv6GB1s_normal.jpg,https://pbs.twimg.com/profile_images/1422982871602667526/KLv6GB1s_normal.jpg,https://pbs.twimg.com/profile_banners/142725458/1549113182,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 12:03:53 +0000 2023,1633075998219464704,1633075998219464704,@michaelluk222 @Alaves you lost your money 🤣🤣🫵,False,"[23, 46]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6328623668525916e+18,1632862366852591616,1.1143638660691231e+18,1114363866069123072,michaelluk222,,,,,False,0,0,False,False,en,en,recent,877919137888178176,877919137888178176,👀,ivan14lgns,el leganés es el admv,cdl/sda — arbitro de fútbol,,[],False,215,246,1,Thu Jun 22 16:00:08 +0000 2017,4788,,,True,False,2867,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1625402787176628224/vmj3bdrX_normal.jpg,https://pbs.twimg.com/profile_images/1625402787176628224/vmj3bdrX_normal.jpg,https://pbs.twimg.com/profile_banners/877919137888178176/1676416625,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 12:03:15 +0000 2023,1633075838538194946,1633075838538194946,@CroBoy__ @Alaves you lost your money 🤣🤣🫵,False,"[18, 41]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.632861751682429e+18,1632861751682428928,1.566359346883154e+18,1566359346883153921,CroBoy__,,,,,False,0,0,False,False,en,en,recent,877919137888178176,877919137888178176,👀,ivan14lgns,el leganés es el admv,cdl/sda — arbitro de fútbol,,[],False,215,246,1,Thu Jun 22 16:00:08 +0000 2017,4788,,,True,False,2867,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1625402787176628224/vmj3bdrX_normal.jpg,https://pbs.twimg.com/profile_images/1625402787176628224/vmj3bdrX_normal.jpg,https://pbs.twimg.com/profile_banners/877919137888178176/1676416625,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 10:54:11 +0000 2023,1633058458168614916,1633058458168614916,@MadridXtra That 4:1 against alaves https://t.co/WBhqxS3n3x,False,"[12, 35]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.63305816651767e+18,1633058166517669891,1.3265641522913157e+18,1326564152291315713,MadridXtra,,,,,False,3,148,False,False,en,en,recent,1360245098907381760,1360245098907381760,TruiRMA,Madridsta010,,@realmadrid,,[],False,245,579,1,Fri Feb 12 15:11:27 +0000 2021,113256,,,False,False,8897,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628910014969614336/6wiSrHoB_normal.jpg,https://pbs.twimg.com/profile_images/1628910014969614336/6wiSrHoB_normal.jpg,https://pbs.twimg.com/profile_banners/1360245098907381760/1678141999,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 10:11:23 +0000 2023,1633047686508101636,1633047686508101636,"ICYMI: Monday in Segunda

The mini submarine took a huge scalp in the ceramica and denied Alaves a spot in the automatic promotion spots thanks to a first half goal from Alberto Del Moral 

Villarreal B 10 from the play offs, 11 from the drop 
Alaves down in 5th and 4 off top https://t.co/gLhpgTu5Ml",False,"[0, 276]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1379037442561486851,1379037442561486851,Spanish Segunda,SegundaSpanish,Spain,"Covering the Spanish Segunda Division, (LaLiga Smartbank) All of the teams, news & analysis, in one place 🎙The Spanish Segunda Show - host @mallorcalex100🎙",https://t.co/f8muTep6Wc,[],False,2491,698,34,Mon Apr 05 11:45:36 +0000 2021,4973,,,True,False,7489,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1406552490271707136/emDK2ybz_normal.jpg,https://pbs.twimg.com/profile_images/1406552490271707136/emDK2ybz_normal.jpg,https://pbs.twimg.com/profile_banners/1379037442561486851/1619525398,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/f8muTep6Wc', 'expanded_url': 'http://www.otbfootball.net/segunda/', 'display_url': 'otbfootball.net/segunda/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 10:09:53 +0000 2023,1633047307326201856,1633047307326201856,"Eibar and Granada the only two teams to win in the top five this weekend in Segunda. Las Palmas drew while Levante and Alaves suffered losses away from home. 

It’s going to go to the wire isn’t it… https://t.co/6tXVvQohbU",False,"[0, 198]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,14,False,False,en,en,recent,1311395742716694528,1311395742716694528,The European Football Express,TheEuroFE,"Newcastle Upon Tyne, England",Est 2020. Your place for everything European Football. NUFC and Eibar. 🇪🇸🇩🇪🇫🇷🇮🇹🇳🇱🇵🇹🇦🇺 https://t.co/fMiVluyvlj,,"[{'url': 'https://t.co/fMiVluyvlj', 'expanded_url': 'http://patreon.com/EuroFE', 'display_url': 'patreon.com/EuroFE', 'indices': [86, 109]}]",False,496,1427,2,Wed Sep 30 20:01:29 +0000 2020,10520,,,False,False,4564,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1343434138372763649/CQ5GFWLj_normal.jpg,https://pbs.twimg.com/profile_images/1343434138372763649/CQ5GFWLj_normal.jpg,https://pbs.twimg.com/profile_banners/1311395742716694528/1674476533,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 10:06:10 +0000 2023,1633046373749645312,1633046373749645312,"Villarreal B are continuing to enjoy a fine season in Segunda especially at home. They beat promotion chasing Alaves last night 1-0 after a good performance. 

This of course means @SDEibarEN end the Jornada in 2nd place. 

Twelve games to go, it’s in Eibar’s hands again. https://t.co/b5G21G3jTu",False,"[0, 272]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,14,False,False,en,en,recent,1311395742716694528,1311395742716694528,The European Football Express,TheEuroFE,"Newcastle Upon Tyne, England",Est 2020. Your place for everything European Football. NUFC and Eibar. 🇪🇸🇩🇪🇫🇷🇮🇹🇳🇱🇵🇹🇦🇺 https://t.co/fMiVluyvlj,,"[{'url': 'https://t.co/fMiVluyvlj', 'expanded_url': 'http://patreon.com/EuroFE', 'display_url': 'patreon.com/EuroFE', 'indices': [86, 109]}]",False,496,1427,2,Wed Sep 30 20:01:29 +0000 2020,10520,,,False,False,4564,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1343434138372763649/CQ5GFWLj_normal.jpg,https://pbs.twimg.com/profile_images/1343434138372763649/CQ5GFWLj_normal.jpg,https://pbs.twimg.com/profile_banners/1311395742716694528/1674476533,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 08:02:22 +0000 2023,1633015218149158912,1633015218149158912,"The same Alaves that scored in every match. Got to my turn, dey slept...it is well 🙏🙏 https://t.co/NBNoXLStzD",False,"[0, 85]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,4,False,False,en,en,recent,261656134,261656134,Auto Goc,stanleko,Lasgidi,"I luv God, Actor,  (Malabite), Auto broker, My vbank ( 1000526443 ) Photographer, Aries , DM for promos and ads . Chelsea 4life!!!",https://t.co/Urvo9w1bx2,[],False,13178,2382,41,Sun Mar 06 12:02:02 +0000 2011,25931,,,False,False,52601,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1630326048729583622/xwSdJTLm_normal.jpg,https://pbs.twimg.com/profile_images/1630326048729583622/xwSdJTLm_normal.jpg,https://pbs.twimg.com/profile_banners/261656134/1676706882,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/Urvo9w1bx2', 'expanded_url': 'https://t.me/+pxv6yZy2fekxYzU0', 'display_url': 't.me/+pxv6yZy2fekxY…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 07:54:04 +0000 2023,1633013128584732672,1633013128584732672,@TalentedFBG I swear and alaves too,False,"[13, 35]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6330035679580897e+18,1633003567958089728,1.242464871679058e+18,1242464871679057927,TalentedFBG,,,,,False,0,0,False,False,en,en,recent,4391822476,4391822476,Get ur sh^t together,Tonero_Ftp,"Lekki,Lagos","Nice and easygoing dude..#CFC
6'1 ft....ig: Tonytonero_z",,[],False,2811,3852,1,Sun Dec 06 07:53:48 +0000 2015,130755,,,True,False,8645,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1465725556264218630/__wBkOQH_normal.jpg,https://pbs.twimg.com/profile_images/1465725556264218630/__wBkOQH_normal.jpg,https://pbs.twimg.com/profile_banners/4391822476/1587575111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
