created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 03:26:57 +0000 2023,1633308293593538560,1633308293593538560,"@goddeketal @rodstewart He’s moved on to warmongering now … he will be adding to the voices that will be actually causing the deaths of many very young soldiers, clearly he’d happily see UK soldiers sent over to be wiped out too. As long as he can still swan off on a yacht in Monaco he won’t care.Vile!",False,"[24, 303]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331261055689073e+18,1633126105568907265,1.2241856907134607e+18,1224185690713460736,goddeketal,,,,,False,0,0,False,False,en,en,recent,20091634,20091634,Tracey Hurst,InfoEmpires,"Solihull, England","Mom 2 Boys I adore/Publisher https://t.co/Bv1sQOi801 https://t.co/e6B8uEM5Rm Against all discrimination, corruption & tyranny.",https://t.co/6mbFXJBesd,"[{'url': 'https://t.co/6mbFXJBesd', 'expanded_url': 'http://www.CreativeEmpires.com', 'display_url': 'CreativeEmpires.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/Bv1sQOi801', 'expanded_url': 'http://creativeempires.redbubble.com', 'display_url': 'creativeempires.redbubble.com', 'indices': [29, 52]}, {'url': 'https://t.co/e6B8uEM5Rm', 'expanded_url': 'http://amazon.com/author/traceychurst', 'display_url': 'amazon.com/author/traceyc…', 'indices': [53, 76]}]",False,3677,5001,44,Wed Feb 04 20:48:37 +0000 2009,44065,,,False,False,8344,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1244751180/Snapshot_20110201_37_normal.jpg,https://pbs.twimg.com/profile_images/1244751180/Snapshot_20110201_37_normal.jpg,https://pbs.twimg.com/profile_banners/20091634/1534278351,A7060E,181A1E,D3D1DC,080202,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:17:15 +0000 2023,1633305852684673024,1633305852684673024,"Let's recall birthday man Evan Jager as he takes it on over the final km and pours on the pace round the last 800m to destroy the field with aplomb for a runaway win in 8:01.29 (WL) over the men's 3000m SC at the Herculis, Monaco (DL), in late July 2017 https://t.co/Jhe27jUYOw",False,"[0, 253]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,2,False,False,en,en,recent,1314660755250216960,1314660755250216960,Costas Goulas,LsabreAvenger,"London, UK","A teacher of Computer Science and English, an emerging historian, and love athletics either on the competitive, coaching or journalistic end plus music & cinema",,,[],False,3337,2361,22,Fri Oct 09 20:16:20 +0000 2020,194930,,,False,False,36715,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1314661169634914304/TQ3cWzyc_normal.jpg,https://pbs.twimg.com/profile_images/1314661169634914304/TQ3cWzyc_normal.jpg,https://pbs.twimg.com/profile_banners/1314660755250216960/1602276075,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:06:10 +0000 2023,1633303063095046144,1633303063095046144,"@monaco_rachael @AJentleson And slowly getting back to work in a controlled environment is absolutely part of his treatment, as are his therapy sessions &amp; groups, and monitoring new meds, which is why he's still admitted.",False,"[28, 225]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6333020721823089e+18,1633302072182308864,8.065959782288097e+17,806595978228809728,craigweekstweet,,,,,False,0,0,False,False,en,en,recent,806595978228809728,806595978228809728,Craig Weeks,craigweekstweet,,,,,[],False,16,263,0,Wed Dec 07 20:27:21 +0000 2016,5149,,,False,False,62,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1526752546517397511/4gUDV3lr_normal.jpg,https://pbs.twimg.com/profile_images/1526752546517397511/4gUDV3lr_normal.jpg,https://pbs.twimg.com/profile_banners/806595978228809728/1652841243,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:06:17 +0000 2023,1633287993426321410,1633287993426321410,@ilove_aviation The A380 is a fantastic plane. The bar on the 2nd floor in the Business Class is legendary. That's why I like to book Emirates to enjoy it. Unfortunately this model is no longer produced. Enjoy as long as you can!,False,"[16, 229]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.632405933518213e+18,1632405933518213124,2546037755.0,2546037755,ilove_aviation,,,,,False,0,0,False,False,en,en,recent,1285320477439860737,1285320477439860737,Monaco,monaco_biotech,Monaco,#biotech investor since 1998.Currently only swing trades in🐻market: Run-up plays+readouts/data.Fitness addict&dog owner🦮 My tweets are not investment advice.,,,[],False,839,760,25,Mon Jul 20 21:08:06 +0000 2020,54481,,,False,False,3680,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1386087651485392899/AaipIJMR_normal.jpg,https://pbs.twimg.com/profile_images/1386087651485392899/AaipIJMR_normal.jpg,https://pbs.twimg.com/profile_banners/1285320477439860737/1619303126,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:34:08 +0000 2023,1633279902840500224,1633279902840500224,I hope my Aston Martin jersey and bucket hat arrive before the second race of the season. Also Monaco is overrated as fuck as a circuit. I love it in sims to drive but as a spectator there is 0 space for anything so you don’t get any action,False,"[0, 240]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3294609880,3294609880,Hennessy Tennessee,hennesseetenny,,mi twitter es chiste y no se debería tomar enserio,https://t.co/5bFsgYWh7C,"[{'url': 'https://t.co/5bFsgYWh7C', 'expanded_url': 'http://henryosso.com', 'display_url': 'henryosso.com', 'indices': [0, 23]}]",[],False,309,303,2,Fri May 22 22:36:38 +0000 2015,42205,,,True,False,46763,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1600546964134936590/o3XnJlbc_normal.jpg,https://pbs.twimg.com/profile_images/1600546964134936590/o3XnJlbc_normal.jpg,https://pbs.twimg.com/profile_banners/3294609880/1671375243,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:07:29 +0000 2023,1633273197821870080,1633273197821870080,@MikeLUHG2 But when Kimpembe pulled the PSG players to apologise to the away fans after being shafted by Monaco away it was a positive? Far better than just a meaningless paragraph and stats on his story the following days as PR,False,"[11, 228]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332723259686748e+18,1633272325968674816,377364713.0,377364713,MikeLUHG2,,,,,False,0,2,False,False,en,en,recent,1332705763857477633,1332705763857477633,RV🇾🇪,RV19LUHG,Stretford End,@raphaelvarane • Vini Jr Enthusiast 🔰 #GlazersOut • LH44 💜 • I follow back 💪🏽,,,[],False,521,523,1,Sat Nov 28 15:20:02 +0000 2020,3664,,,False,False,10018,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632547941448654849/1US5380S_normal.jpg,https://pbs.twimg.com/profile_images/1632547941448654849/1US5380S_normal.jpg,https://pbs.twimg.com/profile_banners/1332705763857477633/1676909779,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:05:34 +0000 2023,1633272714340483073,1633272714340483073,"@sverresj And I mean this very seriously. Assuming non-tax havens can agree on international minimum rates, countries like Monaco should be coerced into signing on as well.",False,"[10, 172]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633272492843475e+18,1633272492843474944,1.446380008868438e+18,1446380008868438021,BridgersRevival,,,,,False,0,0,False,False,en,en,recent,1446380008868438021,1446380008868438021,PBPS,BridgersRevival,23. they/them. northwesterner.,"Incumbent mandate of heaven holder
Moderate socialist
Low-salience gender-haver",,,[],False,167,30,1,Fri Oct 08 07:40:53 +0000 2021,31454,,,False,False,16625,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1609291682071339009/Yu8ZnvSD_normal.jpg,https://pbs.twimg.com/profile_images/1609291682071339009/Yu8ZnvSD_normal.jpg,https://pbs.twimg.com/profile_banners/1446380008868438021/1663565257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:53:18 +0000 2023,1633269627290632197,1633269627290632197,"@OpenSoccerFdn @TheChampions @Concacaf @AustinFC @MLS Bodo/Glimt 6-1 AS Roma 

(14th place at the time) Stade Rennes 3-1 Arsenal

AS Roma beating is the best description as it was away, and a B team line up more or less. Violette are former winners though so I would say it’s like Porto 3-0 Monaco in other ways too.",False,"[54, 316]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633265436115587e+18,1633265436115587073,8.664568138640916e+17,866456813864091649,OpenSoccerFdn,,,,,False,0,2,False,False,en,en,recent,3263114473,3263114473,Michael A. 🇲🇬,__prodigalson,,,,,[],False,101,110,2,Wed Jul 01 08:43:56 +0000 2015,28649,,,False,False,13369,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1229566938793164800/hLhkGyJ8_normal.jpg,https://pbs.twimg.com/profile_images/1229566938793164800/hLhkGyJ8_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:35:35 +0000 2023,1633265169529700352,1633265169529700352,DeLand High wants to give a big congratulations to Mr. Andrew Peck who was recognized as VCS CTE rookie teacher of the year.  And Mr. Joseph Monaco as DHS’s CTE teacher of the year. 🎉🥳🎊🙌🏻 https://t.co/iiJyPRlvpx,False,"[0, 187]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,6,False,False,en,en,recent,2795647264,2795647264,DeLand High Bulldogs,delandbulldogs,"DeLand, FL","Rooted in tradition, destined for greatness. Instagram: @DeLandBulldogs | #DeLandHigh | #DeLandBulldogs | #WeAreDeLand",https://t.co/pHdJ5yU53Q,"[{'url': 'https://t.co/pHdJ5yU53Q', 'expanded_url': 'http://ow.ly/CsDRI', 'display_url': 'ow.ly/CsDRI', 'indices': [0, 23]}]",[],False,2565,234,14,Tue Sep 30 17:11:23 +0000 2014,14573,,,True,False,10363,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/578370846764482561/FFsYpkJg_normal.jpeg,https://pbs.twimg.com/profile_images/578370846764482561/FFsYpkJg_normal.jpeg,https://pbs.twimg.com/profile_banners/2795647264/1532979036,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:23:14 +0000 2023,1633262062058045442,1633262062058045442,"@rockrapunzel @JoAnneO36069666 @MirrorRoyal Prince of Monaco, active head of state as an American citizenship as his sisters! Cry a river now!",False,"[44, 142]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332605038070006e+18,1633260503807000578,19530175.0,19530175,rockrapunzel,,,,,False,0,0,False,False,en,en,recent,1189314867385245698,1189314867385245698,Kaheina3009 #LiveToLead,kaheina3009,"Paris, France",SussexSquad #BrazenHussy,,,[],False,3934,2426,24,Tue Oct 29 22:55:46 +0000 2019,439173,,,False,False,99626,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1368815848278929414/vPmHT_r5_normal.jpg,https://pbs.twimg.com/profile_images/1368815848278929414/vPmHT_r5_normal.jpg,https://pbs.twimg.com/profile_banners/1189314867385245698/1669913330,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:22:08 +0000 2023,1633261784105644032,1633261784105644032,@rockrapunzel @JoAnneO36069666 @MirrorRoyal Nope! Albert of Monaco held an American citizenship as a French one as a monégasque one and all this while being the head of Monaco and prince by birth as his sisters! Try again,False,"[44, 221]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633261344290906e+18,1633261344290906114,19530175.0,19530175,rockrapunzel,,,,,False,0,0,False,False,en,en,recent,1189314867385245698,1189314867385245698,Kaheina3009 #LiveToLead,kaheina3009,"Paris, France",SussexSquad #BrazenHussy,,,[],False,3934,2426,24,Tue Oct 29 22:55:46 +0000 2019,439173,,,False,False,99626,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1368815848278929414/vPmHT_r5_normal.jpg,https://pbs.twimg.com/profile_images/1368815848278929414/vPmHT_r5_normal.jpg,https://pbs.twimg.com/profile_banners/1189314867385245698/1669913330,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:19:14 +0000 2023,1633261055148171264,1633261055148171264,"@rockrapunzel @JoAnneO36069666 @MirrorRoyal And don’t reply to me « but nobility » the best case is Prince Albert of Monaco as his sisters who all old not a dual but triple citizenships: Monegesque, French and American!",False,"[44, 219]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332590066920817e+18,1633259006692081670,19530175.0,19530175,rockrapunzel,,,,,False,0,0,False,False,en,en,recent,1189314867385245698,1189314867385245698,Kaheina3009 #LiveToLead,kaheina3009,"Paris, France",SussexSquad #BrazenHussy,,,[],False,3934,2426,24,Tue Oct 29 22:55:46 +0000 2019,439173,,,False,False,99626,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1368815848278929414/vPmHT_r5_normal.jpg,https://pbs.twimg.com/profile_images/1368815848278929414/vPmHT_r5_normal.jpg,https://pbs.twimg.com/profile_banners/1189314867385245698/1669913330,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:02:47 +0000 2023,1633256914690666499,1633256914690666499,@PVSportFR @AS_Monaco @WissBenYedder @WissBenYedder le boss💜,False,"[37, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633135630803714e+18,1633135630803714049,1.4127222565816975e+18,1412722256581697540,PVSportFR,,,,,False,0,0,False,False,en,en,recent,1497278161192636417,1497278161192636417,E_tfc31,e_tfc31,,@toulousefc💜 ( virage Brice taton🥷),,,[],False,80,121,0,Fri Feb 25 18:32:06 +0000 2022,1204,,,False,False,982,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1593334376024227840/CGWpzPEp_normal.jpg,https://pbs.twimg.com/profile_images/1593334376024227840/CGWpzPEp_normal.jpg,https://pbs.twimg.com/profile_banners/1497278161192636417/1673735653,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:02:17 +0000 2023,1633241687828103168,1633241687828103168,"Construction begins at The Monaco, Main Beach apartment tower, as penthouse sells for $9.5 million https://t.co/fnxVLoqauf
#realestate",False,"[0, 134]","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,346392691,346392691,Australian Real Estate Investors,AustRealEstate1,Australia,News and Tips for Australian Property Investors,https://t.co/HkuUAUJ4kk,"[{'url': 'https://t.co/HkuUAUJ4kk', 'expanded_url': 'https://QldPropertyInvestor.com.au', 'display_url': 'QldPropertyInvestor.com.au', 'indices': [0, 23]}]",[],False,7706,3024,119,Mon Aug 01 05:44:08 +0000 2011,4751,,,False,False,27489,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1472097583/16-Free-Real-Estate-Vector-Logo-types_normal.jpg,https://pbs.twimg.com/profile_images/1472097583/16-Free-Real-Estate-Vector-Logo-types_normal.jpg,https://pbs.twimg.com/profile_banners/346392691/1422146456,3B94D9,C0DEED,9BC8DB,333333,True,False,False,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:56:53 +0000 2023,1633240331700301824,1633240331700301824,His home club is as monaco no? https://t.co/rYSulXfzaE,False,"[0, 30]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,852644300429152256,852644300429152256,Kelä,Kelahuma,Pareia,,,,[],False,1305,424,7,Thu Apr 13 22:06:57 +0000 2017,27024,,,False,False,39625,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628672391596449792/04nAb3AO_normal.jpg,https://pbs.twimg.com/profile_images/1628672391596449792/04nAb3AO_normal.jpg,https://pbs.twimg.com/profile_banners/852644300429152256/1677140291,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],True,1.6331960024161608e+18,1633196002416160768,Tue Mar 07 20:00:44 +0000 2023,1.6331960024161608e+18,1633196002416160768,"🚨 Kylian Mbappé is aware that winning a first Champions League at PSG, his home club, would mean more to him than winning several Champions League trophies elsewhere. 

It would have a special flavour to it.

(Source: @lequipe) https://t.co/JmRcD7vlun",False,"[0, 227]",en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,1030711922.0,1030711922,Transfer News Live,DeadlineDayLive,twittersupplement@gmail.com,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",https://t.co/UtKrlV3f96,"[{'url': 'https://t.co/UtKrlV3f96', 'expanded_url': 'http://facebook.com/DeadlineDayLive', 'display_url': 'facebook.com/DeadlineDayLive', 'indices': [0, 23]}]",[],False,1660491.0,196.0,5102.0,Sun Dec 23 14:48:42 +0000 2012,36.0,,,True,False,64072.0,,False,False,False,E8EBED,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg,https://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg,https://pbs.twimg.com/profile_banners/1030711922/1629902963,4D4D52,FFFFFF,EFEFEF,333333,True,True,False,False,False,False,False,none,[],,,,,False,113.0,1967.0,False,False,False,en,,,,,,,,,,,
Tue Mar 07 22:51:56 +0000 2023,1633239082531799042,1633239082531799042,"@the_futgaffer @MLS_Buzz De Bontin also has a soccer mind and experience with the Red Bulls and AS Monaco, and both clubs succeeded on the field under his tenure. John Thorington with LAFC is another I’d go hard after. He’s been excellent. Built a winner. Made the tough decision to fire Bradley.",False,"[25, 296]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332377139429908e+18,1633237713942990848,1.3749109579741348e+18,1374910957974134784,the_futgaffer,,,,,False,0,0,False,False,en,en,recent,40938008,40938008,DB,Dbaum3223,"Los Angeles, CA","International, Award Winning Television Director/Producer Instagram @dbaum3223",https://t.co/nZDosqutUL,"[{'url': 'https://t.co/nZDosqutUL', 'expanded_url': 'http://www.TradeWindFilms.com', 'display_url': 'TradeWindFilms.com', 'indices': [0, 23]}]",[],False,84,123,1,Mon May 18 18:51:08 +0000 2009,607,,,False,False,1224,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1182507125076942848/W0rg4hwv_normal.jpg,https://pbs.twimg.com/profile_images/1182507125076942848/W0rg4hwv_normal.jpg,https://pbs.twimg.com/profile_banners/40938008/1604959088,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:29:04 +0000 2023,1633233329758584834,1633233329758584834,@MariusF144 @stanreport You are too biased towards Fernando. Alonso would struggled as hamilton coz it's litteraly in hungary track... the monaco without the barriers.,False,"[24, 167]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331476719081062e+18,1633147671908106241,276602302.0,276602302,MariusF144,,,,,False,0,0,False,False,en,en,recent,1476218094196506630,1476218094196506630,Alex lacl,AlexLacl,,,,,[],False,39,152,0,Wed Dec 29 15:46:53 +0000 2021,11347,,,False,False,1067,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1553229271757455360/9RAdhDVM_normal.jpg,https://pbs.twimg.com/profile_images/1553229271757455360/9RAdhDVM_normal.jpg,https://pbs.twimg.com/profile_banners/1476218094196506630/1659551147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:35:53 +0000 2023,1633219944853962752,1633219944853962752,"@ChuckG064 @jpwestergaard @laurenboebert That’s odd. Harry isn’t a Prince. He’s still called that though. Even after he left the royal family and relinquished his duties. But you trace his line and you know otherwise. 
Meanwhile in Monaco, you have a King that some people refer to as Prince. His line says differently.",False,"[41, 319]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633216516924625e+18,1633216516924624897,1.537065190381994e+18,1537065190381993984,ChuckG064,,,,,False,0,0,False,False,en,en,recent,1071531751510405120,1071531751510405120,Mathew Abides,DudeManMateo,I BOUNCE A LOT. ,"Husband. Dad. Coach. Former TV Chef. Cook For 2 US Pres, 1 King, The Stones, and Hollywood’s Finest. Guitarist. Hippie/Punk Rocker. Poli-Ind. Stop the insanity.",,,[],False,140,175,0,Sat Dec 08 22:27:32 +0000 2018,27185,,,False,False,8085,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1516203510483730433/SvydWPEi_normal.jpg,https://pbs.twimg.com/profile_images/1516203510483730433/SvydWPEi_normal.jpg,https://pbs.twimg.com/profile_banners/1071531751510405120/1631472742,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
